from_snapshot,to_snapshot,from_local_id,to_local_id,overlap_size,jaccard,prev_size,curr_size
0,1,0,1,80,0.5797101449275363,110,108
0,1,1,4,68,0.6538461538461539,100,72
0,1,5,3,57,0.75,57,76
0,1,6,7,31,0.5344827586206896,50,39
0,1,8,6,45,0.8490566037735849,47,51
0,1,11,11,27,0.9310344827586207,27,29
0,1,12,12,24,1.0,24,24
1,2,0,0,137,0.7025641025641025,155,177
1,2,1,2,76,0.6909090909090909,108,78
1,2,2,1,74,0.6851851851851852,83,99
1,2,3,3,74,0.925,76,78
1,2,4,5,70,0.9210526315789473,72,74
1,2,5,7,53,0.9464285714285714,55,54
1,2,6,8,46,0.8518518518518519,51,49
1,2,7,6,35,0.5737704918032787,39,57
1,2,10,10,29,0.9666666666666667,29,30
1,2,11,9,29,0.9354838709677419,29,31
2,3,0,0,163,0.8907103825136612,177,169
2,3,1,3,67,0.6203703703703703,99,76
2,3,2,1,75,0.75,78,97
2,3,3,2,78,0.9176470588235294,78,85
2,3,4,4,66,0.8048780487804879,75,73
2,3,5,5,69,0.8961038961038961,74,72
2,3,6,6,54,0.84375,57,61
2,3,7,7,51,0.9107142857142857,54,53
2,3,8,8,47,0.9038461538461539,49,50
2,3,9,10,31,1.0,31,31
2,3,10,9,30,0.967741935483871,30,31
2,3,11,12,6,0.6,7,9
3,4,0,0,164,0.9010989010989011,169,177
3,4,1,1,76,0.5467625899280576,97,118
3,4,2,3,83,0.8383838383838383,85,97
3,4,3,2,68,0.5714285714285714,76,111
3,4,5,4,71,0.922077922077922,72,76
3,4,6,6,57,0.9047619047619048,61,59
3,4,8,7,50,0.9090909090909091,50,55
3,4,9,5,31,0.5166666666666667,31,60
3,4,10,8,31,1.0,31,31
4,5,0,0,169,0.8848167539267016,177,183
4,5,1,5,66,0.515625,118,76
4,5,2,1,104,0.9122807017543859,111,107
4,5,3,2,92,0.8846153846153846,97,99
4,5,4,4,74,0.925,76,78
4,5,5,7,60,0.967741935483871,60,62
4,5,6,6,57,0.890625,59,62
4,5,7,8,51,0.8947368421052632,55,53
4,5,8,9,31,1.0,31,31
4,5,9,10,27,1.0,27,27
5,6,0,0,170,0.8947368421052632,183,177
5,6,1,1,101,0.9181818181818182,107,104
5,6,2,2,98,0.9423076923076923,99,103
5,6,3,7,59,0.6629213483146067,86,62
5,6,4,3,77,0.9058823529411765,78,84
5,6,5,4,65,0.7303370786516854,76,78
5,6,6,5,61,0.9384615384615385,62,64
5,6,7,6,62,0.96875,62,64
5,6,8,8,53,0.9464285714285714,53,56
5,6,9,9,31,1.0,31,31
5,6,10,10,26,0.896551724137931,27,28
5,6,11,12,7,0.875,7,8
6,7,0,0,171,0.8465346534653465,177,196
6,7,1,1,102,0.8360655737704918,104,120
6,7,2,2,103,0.9279279279279279,103,111
6,7,3,3,76,0.7378640776699029,84,95
6,7,4,7,51,0.6144578313253012,78,56
6,7,5,5,59,0.8676470588235294,64,63
6,7,6,4,64,0.9552238805970149,64,67
6,7,7,6,58,0.90625,62,60
6,7,8,8,55,0.9821428571428571,56,55
6,7,9,9,31,0.96875,31,32
6,7,10,11,27,0.9642857142857143,28,27
6,7,11,10,24,0.8571428571428571,24,28
6,7,12,12,8,0.8,8,10
7,8,0,0,165,0.7857142857142857,196,179
7,8,1,1,116,0.8992248062015504,120,125
7,8,2,2,107,0.9145299145299145,111,113
7,8,3,3,79,0.7821782178217822,95,85
7,8,4,5,67,0.9436619718309859,67,71
7,8,5,6,61,0.8970588235294118,63,66
7,8,6,7,59,0.9516129032258065,60,61
7,8,7,4,51,0.6623376623376623,56,72
7,8,8,9,55,0.9821428571428571,55,56
7,8,9,8,32,0.5517241379310345,32,58
7,8,10,11,28,0.9333333333333333,28,30
7,8,11,10,27,0.8709677419354839,27,31
7,8,12,12,10,1.0,10,10
8,9,0,0,144,0.6127659574468085,179,200
8,9,1,2,112,0.875,125,115
8,9,2,1,112,0.8888888888888888,113,125
8,9,3,4,78,0.8863636363636364,85,81
8,9,4,3,70,0.8235294117647058,72,83
8,9,5,5,70,0.9090909090909091,71,76
8,9,7,6,52,0.7323943661971831,61,62
8,9,8,8,33,0.5689655172413793,58,33
8,9,9,7,54,0.8709677419354839,56,60
8,9,10,12,26,0.7878787878787878,31,28
8,9,11,11,30,1.0,30,30
8,9,12,14,10,1.0,10,10
9,10,0,0,194,0.7950819672131147,200,238
9,10,1,1,119,0.9296875,125,122
9,10,2,2,115,0.9745762711864406,115,118
9,10,3,4,79,0.9404761904761905,83,80
9,10,4,3,81,0.9529411764705882,81,85
9,10,5,5,75,0.974025974025974,76,76
9,10,6,6,60,0.8450704225352113,62,69
9,10,7,7,54,0.8709677419354839,60,56
9,10,8,8,33,1.0,33,33
9,10,10,11,24,0.8,30,24
9,10,11,9,30,1.0,30,30
9,10,12,10,28,1.0,28,28
9,10,13,12,14,1.0,14,14
9,10,14,13,10,1.0,10,10
