from_snapshot,to_snapshot,from_local_id,to_local_id,overlap_size,jaccard,prev_size,curr_size
0,1,0,0,65,0.5158730158730159,110,81
0,1,1,2,64,0.6095238095238096,100,69
0,1,2,3,44,0.5116279069767442,61,69
0,1,5,5,46,0.6133333333333333,57,64
0,1,8,8,36,0.6923076923076923,47,41
0,1,10,11,23,0.6388888888888888,27,32
0,1,11,9,25,0.625,27,38
1,2,0,3,61,0.6161616161616161,81,79
1,2,2,2,58,0.5918367346938775,69,87
1,2,5,5,49,0.6447368421052632,64,61
1,2,8,7,35,0.6862745098039216,41,45
1,2,9,9,23,0.5609756097560976,38,26
2,3,5,3,56,0.7368421052631579,61,71
2,3,7,8,39,0.7222222222222222,45,48
2,3,13,13,3,0.5,5,4
3,4,3,2,64,0.7111111111111111,71,83
3,4,5,6,45,0.7627118644067796,55,49
3,4,8,8,38,0.7037037037037037,48,44
4,5,2,2,61,0.6288659793814433,83,75
4,5,6,4,47,0.7230769230769231,49,63
4,5,8,8,31,0.6326530612244898,44,36
4,5,10,11,25,0.8333333333333334,26,29
4,5,12,14,17,0.7083333333333334,22,19
4,5,13,13,17,0.5862068965517241,21,25
5,6,1,2,53,0.5096153846153846,78,79
5,6,2,1,66,0.7021276595744681,75,85
5,6,4,7,47,0.7014925373134329,63,51
5,6,7,4,37,0.5,43,68
5,6,8,8,32,0.6808510638297872,36,43
5,6,9,9,25,0.6756756756756757,34,28
5,6,11,10,24,0.7272727272727273,29,28
5,6,12,12,18,0.6206896551724138,26,21
5,6,13,11,18,0.6,25,23
5,6,15,14,3,0.6,3,5
6,7,1,1,71,0.7171717171717171,85,85
6,7,7,5,49,0.7903225806451613,51,60
6,7,8,9,38,0.7450980392156863,43,46
6,7,9,11,23,0.7931034482758621,28,24
6,7,14,13,4,0.5714285714285714,5,6
7,8,0,3,66,0.515625,99,95
7,8,1,5,68,0.6355140186915887,85,90
7,8,2,0,71,0.5259259259259259,82,124
7,8,5,4,53,0.5247524752475248,60,94
7,8,7,6,47,0.8703703703703703,50,51
7,8,9,7,36,0.6545454545454545,46,45
7,8,10,8,31,0.5961538461538461,44,39
7,8,12,10,13,0.6190476190476191,20,14
8,9,1,1,69,0.5476190476190477,105,90
8,9,2,2,73,0.6697247706422018,96,86
8,9,3,4,62,0.5904761904761905,95,72
8,9,4,3,60,0.5263157894736842,94,80
8,9,5,0,74,0.6166666666666667,90,104
8,9,7,7,37,0.7115384615384616,45,44
8,9,8,8,31,0.7560975609756098,39,33
8,9,9,12,20,0.7142857142857143,24,24
8,9,10,14,12,0.6,14,18
9,10,2,1,68,0.6126126126126126,86,93
9,10,3,4,56,0.6222222222222222,80,66
9,10,5,6,42,0.5185185185185185,71,52
9,10,7,5,38,0.5846153846153846,44,59
9,10,8,8,26,0.7647058823529411,33,27
9,10,11,9,22,0.7333333333333333,25,27
9,10,12,11,19,0.7037037037037037,24,22
9,10,13,14,14,0.6666666666666666,21,14
9,10,14,13,16,0.7619047619047619,18,19
