approach,snapshot_index,snapshot_label,start_day,end_day,temporal_edges,nodes,weighted_edges,communities
interval,0,days_0_50,0.00,50.00,28517,738,4361,15
interval,1,days_50_100,50.00,100.00,23774,732,4427,14
interval,2,days_100_150,100.00,150.00,30695,723,4434,14
interval,3,days_150_200,150.00,200.00,31318,742,4632,14
interval,4,days_200_250,200.00,250.00,39715,746,5092,15
interval,5,days_250_300,250.00,300.00,20347,710,3753,16
interval,6,days_300_350,300.00,350.00,30786,724,4708,15
interval,7,days_350_400,350.00,400.00,37648,766,5092,14
interval,8,days_400_450,400.00,450.00,21251,779,4429,11
interval,9,days_450_500,450.00,500.00,43817,804,5774,16
interval,10,days_500_526,500.00,526.00,22042,751,3989,15
