from_snapshot,to_snapshot,from_local_id,to_local_id,overlap_size,jaccard,prev_size,curr_size
0,1,1,3,63,0.6237623762376238,100,64
0,1,2,5,52,0.8125,61,55
0,1,5,6,50,0.8620689655172413,57,51
0,1,6,9,29,0.5178571428571429,50,35
0,1,8,8,43,0.8775510204081632,47,45
0,1,10,12,22,0.7333333333333333,27,25
0,1,11,10,26,0.8666666666666667,27,29
0,1,12,13,21,0.84,24,22
0,1,13,14,10,0.8333333333333334,10,12
0,1,14,15,6,0.8571428571428571,6,7
1,2,1,7,43,0.5119047619047619,75,52
1,2,3,2,60,0.821917808219178,64,69
1,2,4,6,53,0.8833333333333333,59,54
1,2,5,3,44,0.55,55,69
1,2,6,5,46,0.6666666666666666,51,64
1,2,8,8,36,0.72,45,41
1,2,9,10,30,0.75,35,35
1,2,10,9,26,0.6341463414634146,29,38
1,2,11,12,26,0.8387096774193549,27,30
1,2,12,11,22,0.6285714285714286,25,32
2,3,2,3,58,0.7435897435897436,69,67
2,3,3,4,50,0.6172839506172839,69,62
2,3,5,1,57,0.6705882352941176,64,78
2,3,6,6,47,0.8545454545454545,54,48
2,3,8,7,39,0.78,41,48
2,3,9,12,24,0.6153846153846154,38,25
2,3,10,8,31,0.6595744680851063,35,43
2,3,12,11,25,0.8064516129032258,30,26
2,3,13,14,9,0.5,17,10
3,4,1,5,58,0.7160493827160493,78,61
3,4,3,2,60,0.6382978723404256,67,87
3,4,6,8,25,0.5,48,27
3,4,7,7,42,0.8235294117647058,48,45
3,4,10,11,19,0.5588235294117647,31,22
3,4,12,9,24,0.8888888888888888,25,26
4,5,0,1,80,0.7142857142857143,100,92
4,5,1,2,56,0.5137614678899083,96,69
4,5,5,3,56,0.7671232876712328,61,68
4,5,7,6,41,0.7321428571428571,45,52
4,5,9,11,26,0.9629629629629629,26,27
4,5,10,12,19,0.6333333333333333,25,24
4,5,11,13,19,0.8636363636363636,22,19
5,6,3,3,64,0.8533333333333334,68,71
5,6,4,4,49,0.765625,57,56
5,6,5,5,52,0.896551724137931,55,55
5,6,6,8,39,0.639344262295082,52,48
5,6,9,10,21,0.65625,29,24
5,6,10,9,23,0.7931034482758621,27,25
5,6,11,7,25,0.5,27,48
6,7,3,3,66,0.75,71,83
6,7,5,6,50,0.8620689655172413,55,53
6,7,7,7,43,0.7962962962962963,48,49
6,7,8,8,36,0.6101694915254238,48,47
6,7,10,9,20,0.6896551724137931,24,25
6,7,13,12,4,1.0,4,4
7,8,1,1,89,0.7542372881355932,98,109
7,8,3,2,77,0.8651685393258427,83,83
7,8,5,4,52,0.7222222222222222,66,58
7,8,6,6,47,0.8545454545454545,53,49
7,8,8,8,39,0.75,47,44
7,8,9,9,22,0.5,25,41
7,8,11,13,18,0.8571428571428571,18,21
8,9,1,0,85,0.551948051948052,109,130
8,9,2,2,65,0.6701030927835051,83,79
8,9,3,4,54,0.7397260273972602,62,65
8,9,5,9,38,0.7450980392156863,49,40
8,9,6,6,47,0.8245614035087719,49,55
8,9,7,5,39,0.6290322580645161,44,57
8,9,8,8,36,0.7346938775510204,44,41
8,9,9,7,38,0.8444444444444444,41,42
8,9,10,10,26,0.9285714285714286,26,28
8,9,12,12,18,0.782608695652174,22,19
8,9,13,11,20,0.9090909090909091,21,21
9,10,2,2,62,0.6739130434782609,79,75
9,10,6,4,53,0.8153846153846154,55,63
9,10,7,9,26,0.52,42,34
9,10,8,8,33,0.75,41,36
9,10,10,11,26,0.8387096774193549,28,29
9,10,11,13,18,0.6428571428571429,21,25
9,10,12,14,18,0.9,19,19
10,11,2,2,68,0.7906976744186046,75,79
10,11,7,5,38,0.6666666666666666,43,52
10,11,8,8,32,0.7111111111111111,36,41
10,11,11,10,25,0.8064516129032258,29,27
10,11,12,12,16,0.5714285714285714,26,18
10,11,13,11,18,0.5625,25,25
10,11,15,13,3,0.75,3,4
11,12,0,0,77,0.6260162601626016,112,88
11,12,1,3,62,0.5585585585585585,96,77
11,12,2,1,72,0.782608695652174,79,85
11,12,3,2,62,0.6595744680851063,77,79
11,12,4,9,28,0.5185185185185185,54,28
11,12,5,4,49,0.6901408450704225,52,68
11,12,6,6,36,0.5454545454545454,48,54
11,12,8,8,38,0.8260869565217391,41,43
11,12,9,7,28,0.5185185185185185,31,51
11,12,10,10,24,0.7741935483870968,27,28
11,12,11,11,20,0.7142857142857143,25,23
11,12,12,12,17,0.7727272727272727,18,21
11,12,13,14,4,0.8,4,5
12,13,0,3,74,0.7789473684210526,88,81
12,13,1,2,74,0.7474747474747475,85,88
12,13,2,1,66,0.6285714285714286,79,92
12,13,5,4,56,0.6292134831460674,65,80
12,13,7,6,51,0.8793103448275862,51,58
12,13,8,7,40,0.851063829787234,43,44
12,13,9,10,24,0.8275862068965517,28,25
12,13,10,8,25,0.78125,28,29
12,13,11,12,19,0.8260869565217391,23,19
12,13,12,9,18,0.6206896551724138,21,26
12,13,14,13,4,0.5714285714285714,5,6
13,14,0,0,67,0.5037593984962406,101,99
13,14,2,1,73,0.73,88,85
13,14,4,2,65,0.6701030927835051,80,82
13,14,6,5,56,0.9032258064516129,58,60
13,14,7,9,40,0.8,44,46
13,14,8,7,28,0.5490196078431373,29,50
13,14,10,11,24,0.96,25,24
13,14,11,12,16,0.6666666666666666,20,20
13,14,13,13,5,0.7142857142857143,6,6
14,15,1,1,79,0.7669902912621359,85,97
14,15,2,4,51,0.5604395604395604,82,60
14,15,5,5,56,0.9032258064516129,60,58
14,15,7,9,26,0.5098039215686274,50,27
14,15,8,3,39,0.5131578947368421,48,67
14,15,9,7,41,0.8367346938775511,46,44
14,15,10,8,36,0.75,44,40
14,15,11,6,23,0.5,24,45
14,15,12,12,17,0.85,20,17
15,16,1,5,72,0.6260869565217392,97,90
15,16,5,4,52,0.52,58,94
15,16,7,7,37,0.7115384615384616,44,45
15,16,8,8,30,0.6122448979591837,40,39
15,16,10,9,20,0.7692307692307693,22,24
15,16,12,10,13,0.7222222222222222,17,14
16,17,0,0,117,0.7548387096774194,124,148
16,17,1,3,77,0.6936936936936937,105,83
16,17,2,1,86,0.7962962962962963,96,98
16,17,3,4,70,0.7142857142857143,95,73
16,17,4,5,58,0.5742574257425742,94,65
16,17,5,2,82,0.780952380952381,90,97
16,17,6,6,49,0.9245283018867925,51,51
16,17,7,7,41,0.7884615384615384,45,48
16,17,8,8,35,0.8333333333333334,39,38
16,17,9,10,22,0.7857142857142857,24,26
16,17,10,12,14,0.7368421052631579,14,19
17,18,1,2,77,0.719626168224299,98,86
17,18,2,0,85,0.7327586206896551,97,104
17,18,3,1,68,0.6476190476190476,83,90
17,18,4,4,64,0.7901234567901234,73,72
17,18,5,3,63,0.7682926829268293,65,80
17,18,6,9,27,0.5,51,30
17,18,7,7,40,0.7692307692307693,48,44
17,18,8,8,31,0.775,38,33
17,18,9,11,25,0.6578947368421053,38,25
17,18,10,12,23,0.8518518518518519,26,24
17,18,11,10,18,0.5806451612903226,21,28
17,18,12,14,17,0.85,19,18
18,19,0,4,58,0.5225225225225225,104,65
18,19,2,3,71,0.7553191489361702,86,79
18,19,4,1,58,0.5686274509803921,72,88
18,19,5,5,49,0.5903614457831325,71,61
18,19,6,2,68,0.8095238095238095,70,82
18,19,7,7,40,0.7843137254901961,44,47
18,19,8,9,32,0.9142857142857143,33,34
18,19,9,11,29,0.9354838709677419,30,30
18,19,11,12,23,0.8214285714285714,25,26
18,19,12,13,21,0.84,24,22
18,19,13,15,19,0.9047619047619048,21,19
18,19,15,17,4,1.0,4,4
