approach,snapshot_index,snapshot_label,start_day,end_day,temporal_edges,nodes,weighted_edges,communities
overlap,0,days_0_50,0.00,50.00,28517,738,4361,15
overlap,1,days_25_75,25.00,75.00,23794,739,4297,16
overlap,2,days_50_100,50.00,100.00,23774,732,4427,14
overlap,3,days_75_125,75.00,125.00,28493,722,4475,15
overlap,4,days_100_150,100.00,150.00,30695,723,4434,14
overlap,5,days_125_175,125.00,175.00,32448,739,4547,14
overlap,6,days_150_200,150.00,200.00,31318,742,4632,14
overlap,7,days_175_225,175.00,225.00,31754,742,4794,13
overlap,8,days_200_250,200.00,250.00,39715,746,5092,15
overlap,9,days_225_275,225.00,275.00,35389,742,4918,13
overlap,10,days_250_300,250.00,300.00,20347,710,3753,16
overlap,11,days_275_325,275.00,325.00,21508,709,3839,14
overlap,12,days_300_350,300.00,350.00,30786,724,4708,15
overlap,13,days_325_375,325.00,375.00,38480,752,5290,15
overlap,14,days_350_400,350.00,400.00,37648,766,5092,14
overlap,15,days_375_425,375.00,425.00,22847,748,3982,13
overlap,16,days_400_450,400.00,450.00,21251,779,4429,11
overlap,17,days_425_475,425.00,475.00,37684,808,5631,14
overlap,18,days_450_500,450.00,500.00,43817,804,5774,16
overlap,19,days_475_525,475.00,525.00,42936,806,5799,18
