approach,method,identity_group,stage_index,t_start,t_end,length,stage_type,start_size,end_size,global_P,global_C,global_L,global_R,global_N,global_growth,global_churn,global_revitalization,global_prosp_stability,global_retro_stability,solidity,density,segmentation_error
cumulative,classic_size_bottom_up,c01,1,1,2,2,Dynamic-Growth,155,177,155,177,18,137,40,1.141935,0.116129,0.225989,0.883871,0.774011,0.702564,0.851282,0
cumulative,classic_size_bottom_up,c01,2,2,3,2,Steady-Stability,177,169,177,169,14,163,6,0.954802,0.079096,0.035503,0.920904,0.964497,0.890710,0.945355,0
cumulative,classic_size_bottom_up,c01,3,3,5,3,Fluid-Stability,169,183,169,183,6,163,20,1.082840,0.035503,0.109290,0.964497,0.890710,0.830769,0.904274,1.000000
cumulative,classic_size_bottom_up,c01,4,5,6,2,Steady-Stability,183,177,183,177,13,170,7,0.967213,0.071038,0.039548,0.928962,0.960452,0.894737,0.947368,0
cumulative,classic_size_bottom_up,c01,5,6,7,2,Fluid-Stability,177,196,177,196,6,171,25,1.107345,0.033898,0.127551,0.966102,0.872449,0.846535,0.923267,0
cumulative,classic_size_bottom_up,c01,6,7,8,2,Fluid-Stability,196,179,196,179,31,165,14,0.913265,0.158163,0.078212,0.841837,0.921788,0.785714,0.892857,0
cumulative,classic_size_bottom_up,c01,7,8,10,3,Organic-Growth,179,238,179,238,9,170,68,1.329609,0.050279,0.285714,0.949721,0.714286,0.560484,0.829301,72.250000
cumulative,classic_size_bottom_up,c02,1,0,1,2,Organic-Growth,57,76,57,76,0,57,19,1.333333,0.000000,0.250000,1.000000,0.750000,0.750000,0.875000,0
cumulative,classic_size_bottom_up,c02,2,1,8,8,Organic-Growth,76,113,76,113,4,72,41,1.486842,0.052632,0.362832,0.947368,0.637168,0.572581,0.768145,54.285714
cumulative,classic_size_bottom_up,c02,3,8,10,3,Steady-Stability,113,122,113,122,2,111,11,1.079646,0.017699,0.090164,0.982301,0.909836,0.860465,0.930233,56.250000
cumulative,classic_size_bottom_up,c03,1,0,2,3,Dynamic-Growth,50,99,50,99,14,36,63,1.980000,0.280000,0.636364,0.720000,0.363636,0.301724,0.666667,72.250000
cumulative,classic_size_bottom_up,c03,2,2,3,2,Turnover-Shrinkage,99,76,99,76,32,67,9,0.767677,0.323232,0.118421,0.676768,0.881579,0.620370,0.810185,0
cumulative,classic_size_bottom_up,c03,3,3,4,2,Dynamic-Growth,76,111,76,111,8,68,43,1.460526,0.105263,0.387387,0.894737,0.612613,0.571429,0.785714,0
cumulative,classic_size_bottom_up,c03,4,4,6,3,Steady-Stability,111,104,111,104,9,102,2,0.936937,0.081081,0.019231,0.918919,0.980769,0.868421,0.941520,0.250000
cumulative,classic_size_bottom_up,c03,5,6,8,3,Organic-Growth,104,125,104,125,4,100,25,1.201923,0.038462,0.200000,0.961538,0.800000,0.763359,0.888041,30.250000
cumulative,classic_size_bottom_up,c03,6,8,10,3,Steady-Stability,125,118,125,118,12,113,5,0.944000,0.096000,0.042373,0.904000,0.957627,0.861538,0.917949,42.250000
cumulative,classic_size_bottom_up,c04,1,0,1,2,Erosion,100,72,100,72,32,68,4,0.720000,0.320000,0.055556,0.680000,0.944444,0.653846,0.826923,0
cumulative,classic_size_bottom_up,c04,2,1,6,6,Organic-Growth,72,84,72,84,2,70,14,1.166667,0.027778,0.166667,0.972222,0.833333,0.738636,0.863636,46.400000
cumulative,classic_size_bottom_up,c04,3,6,7,2,Organic-Growth,84,95,84,95,8,76,19,1.130952,0.095238,0.200000,0.904762,0.800000,0.737864,0.868932,0
cumulative,classic_size_bottom_up,c04,4,7,10,4,Turnover-Shrinkage,95,85,95,85,22,73,12,0.894737,0.231579,0.141176,0.768421,0.858824,0.672897,0.808411,98.222222
cumulative,classic_size_bottom_up,c05,1,0,1,2,Fluid-Stability,110,108,110,108,30,80,28,0.981818,0.272727,0.259259,0.727273,0.740741,0.579710,0.789855,0
cumulative,classic_size_bottom_up,c05,2,1,2,2,Erosion,108,78,108,78,32,76,2,0.722222,0.296296,0.025641,0.703704,0.974359,0.690909,0.845455,0
cumulative,classic_size_bottom_up,c05,3,2,4,3,Dynamic-Growth,78,118,78,118,14,64,54,1.512821,0.179487,0.457627,0.820513,0.542373,0.446809,0.692671,1.000000
cumulative,classic_size_bottom_up,c05,4,4,5,2,Turnover-Shrinkage,118,76,118,76,52,66,10,0.644068,0.440678,0.131579,0.559322,0.868421,0.515625,0.757812,0
cumulative,classic_size_bottom_up,c05,5,5,6,2,Fluid-Stability,76,78,76,78,11,65,13,1.026316,0.144737,0.166667,0.855263,0.833333,0.730337,0.865169,0
cumulative,classic_size_bottom_up,c05,6,6,7,2,Erosion,78,56,78,56,27,51,5,0.717949,0.346154,0.089286,0.653846,0.910714,0.614458,0.807229,0
cumulative,classic_size_bottom_up,c05,7,7,9,3,Dynamic-Growth,56,83,56,83,7,49,34,1.482143,0.125000,0.409639,0.875000,0.590361,0.544444,0.781481,6.250000
cumulative,classic_size_bottom_up,c05,8,9,10,2,Steady-Stability,83,80,83,80,4,79,1,0.963855,0.048193,0.012500,0.951807,0.987500,0.940476,0.970238,0
cumulative,classic_size_bottom_up,c06,1,1,3,3,Steady-Stability,29,31,29,31,0,29,2,1.068966,0.000000,0.064516,1.000000,0.935484,0.935484,0.967742,0.000000
cumulative,classic_size_bottom_up,c06,2,3,4,2,Organic-Growth,31,60,31,60,0,31,29,1.935484,0.000000,0.483333,1.000000,0.516667,0.516667,0.758333,0
cumulative,classic_size_bottom_up,c06,3,4,10,7,Organic-Growth,60,76,60,76,1,59,17,1.266667,0.016667,0.223684,0.983333,0.776316,0.756410,0.871795,10.444444
cumulative,classic_size_bottom_up,c07,1,5,6,2,Erosion,86,62,86,62,27,59,3,0.720930,0.313953,0.048387,0.686047,0.951613,0.662921,0.831461,0
cumulative,classic_size_bottom_up,c07,2,6,10,5,Organic-Growth,62,69,62,69,5,57,12,1.112903,0.080645,0.173913,0.919355,0.826087,0.640000,0.837333,61.875000
cumulative,classic_size_bottom_up,c08,1,0,10,11,Dynamic-Growth,47,56,47,56,7,40,16,1.191489,0.148936,0.285714,0.851064,0.714286,0.533333,0.712727,74.450000
cumulative,classic_size_bottom_up,c09,1,0,7,8,Organic-Growth,27,32,27,32,0,27,5,1.185185,0.000000,0.156250,1.000000,0.843750,0.843750,0.949219,13.285714
cumulative,classic_size_bottom_up,c09,2,7,8,2,Organic-Growth,32,58,32,58,0,32,26,1.812500,0.000000,0.448276,1.000000,0.551724,0.551724,0.775862,0
cumulative,classic_size_bottom_up,c09,3,8,9,2,Erosion,58,33,58,33,25,33,0,0.568966,0.431034,0.000000,0.568966,1.000000,0.568966,0.784483,0
cumulative,classic_size_bottom_up,c09,4,9,10,2,Steady-Stability,33,33,33,33,0,33,0,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0
cumulative,classic_size_bottom_up,c10,1,6,10,5,Organic-Growth,24,30,24,30,0,24,6,1.250000,0.000000,0.200000,1.000000,0.800000,0.800000,0.946667,17.500000
cumulative,classic_size_bottom_up,c11,1,4,10,7,Fluid-Stability,27,28,27,28,6,21,7,1.037037,0.222222,0.250000,0.777778,0.750000,0.588235,0.823529,11.861111
cumulative,classic_size_bottom_up,c12,1,9,10,2,Erosion,30,24,30,24,6,24,0,0.800000,0.200000,0.000000,0.800000,1.000000,0.800000,0.900000,0
cumulative,classic_size_bottom_up,c13,1,9,10,2,Steady-Stability,14,14,14,14,0,14,0,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0
cumulative,classic_size_bottom_up,c14,1,5,10,6,Organic-Growth,7,10,7,10,0,7,3,1.428571,0.000000,0.300000,1.000000,0.700000,0.700000,0.916667,5.200000
