approach,identity_group,event_stage_index,event_t_start,event_t_end,event_stage_type,classic_stage_index,classic_t_start,classic_t_end,classic_stage_type,overlap_snapshot_count,same_stage_type
cumulative,c01,1,1,2,Dynamic-Growth,1,1,2,Dynamic-Growth,2,True
cumulative,c01,1,1,2,Dynamic-Growth,2,2,3,Steady-Stability,1,False
cumulative,c01,2,2,8,Fluid-Stability,1,1,2,Dynamic-Growth,1,False
cumulative,c01,2,2,8,Fluid-Stability,2,2,3,Steady-Stability,2,False
cumulative,c01,2,2,8,Fluid-Stability,3,3,5,Fluid-Stability,3,True
cumulative,c01,2,2,8,Fluid-Stability,4,5,6,Steady-Stability,2,False
cumulative,c01,2,2,8,Fluid-Stability,5,6,7,Fluid-Stability,2,True
cumulative,c01,2,2,8,Fluid-Stability,6,7,8,Fluid-Stability,2,True
cumulative,c01,2,2,8,Fluid-Stability,7,8,10,Organic-Growth,1,False
cumulative,c01,3,8,9,Dynamic-Growth,6,7,8,Fluid-Stability,1,False
cumulative,c01,3,8,9,Dynamic-Growth,7,8,10,Organic-Growth,2,False
cumulative,c01,4,9,10,Organic-Growth,7,8,10,Organic-Growth,2,True
cumulative,c02,1,0,1,Organic-Growth,1,0,1,Organic-Growth,2,True
cumulative,c02,1,0,1,Organic-Growth,2,1,8,Organic-Growth,1,True
cumulative,c02,2,1,10,Organic-Growth,1,0,1,Organic-Growth,1,True
cumulative,c02,2,1,10,Organic-Growth,2,1,8,Organic-Growth,8,True
cumulative,c02,2,1,10,Organic-Growth,3,8,10,Steady-Stability,3,False
cumulative,c03,1,0,1,Dynamic-Growth,1,0,2,Dynamic-Growth,2,True
cumulative,c03,2,1,2,Dynamic-Growth,1,0,2,Dynamic-Growth,2,True
cumulative,c03,2,1,2,Dynamic-Growth,2,2,3,Turnover-Shrinkage,1,False
cumulative,c03,3,2,3,Turnover-Shrinkage,1,0,2,Dynamic-Growth,1,False
cumulative,c03,3,2,3,Turnover-Shrinkage,2,2,3,Turnover-Shrinkage,2,True
cumulative,c03,3,2,3,Turnover-Shrinkage,3,3,4,Dynamic-Growth,1,False
cumulative,c03,4,3,4,Dynamic-Growth,2,2,3,Turnover-Shrinkage,1,False
cumulative,c03,4,3,4,Dynamic-Growth,3,3,4,Dynamic-Growth,2,True
cumulative,c03,4,3,4,Dynamic-Growth,4,4,6,Steady-Stability,1,False
cumulative,c03,5,4,10,Fluid-Stability,3,3,4,Dynamic-Growth,1,False
cumulative,c03,5,4,10,Fluid-Stability,4,4,6,Steady-Stability,3,False
cumulative,c03,5,4,10,Fluid-Stability,5,6,8,Organic-Growth,3,False
cumulative,c03,5,4,10,Fluid-Stability,6,8,10,Steady-Stability,3,False
cumulative,c04,1,0,10,Turnover-Shrinkage,1,0,1,Erosion,2,False
cumulative,c04,1,0,10,Turnover-Shrinkage,2,1,6,Organic-Growth,6,False
cumulative,c04,1,0,10,Turnover-Shrinkage,3,6,7,Organic-Growth,2,False
cumulative,c04,1,0,10,Turnover-Shrinkage,4,7,10,Turnover-Shrinkage,4,True
cumulative,c05,1,0,1,Fluid-Stability,1,0,1,Fluid-Stability,2,True
cumulative,c05,1,0,1,Fluid-Stability,2,1,2,Erosion,1,False
cumulative,c05,2,1,2,Erosion,1,0,1,Fluid-Stability,1,False
cumulative,c05,2,1,2,Erosion,2,1,2,Erosion,2,True
cumulative,c05,2,1,2,Erosion,3,2,4,Dynamic-Growth,1,False
cumulative,c05,3,2,4,Dynamic-Growth,2,1,2,Erosion,1,False
