approach,method,identity_group,stage_index,t_start,t_end,length,stage_type,start_size,end_size,global_P,global_C,global_L,global_R,global_N,global_growth,global_churn,global_revitalization,global_prosp_stability,global_retro_stability,solidity,density,segmentation_error
cumulative,event_split_merge_boundaries,c01,1,1,2,2,Dynamic-Growth,155,177,155,177,18,137,40,1.141935,0.116129,0.225989,0.883871,0.774011,0.702564,0.851282,0
cumulative,event_split_merge_boundaries,c01,2,2,8,7,Fluid-Stability,177,179,177,179,32,145,34,1.011299,0.180791,0.189944,0.819209,0.810056,0.558036,0.802296,397.111111
cumulative,event_split_merge_boundaries,c01,3,8,9,2,Dynamic-Growth,179,200,179,200,35,144,56,1.117318,0.195531,0.280000,0.804469,0.720000,0.612766,0.806383,0
cumulative,event_split_merge_boundaries,c01,4,9,10,2,Organic-Growth,200,238,200,238,6,194,44,1.190000,0.030000,0.184874,0.970000,0.815126,0.795082,0.897541,0
cumulative,event_split_merge_boundaries,c02,1,0,1,2,Organic-Growth,57,76,57,76,0,57,19,1.333333,0.000000,0.250000,1.000000,0.750000,0.750000,0.875000,0
cumulative,event_split_merge_boundaries,c02,2,1,10,10,Organic-Growth,76,122,76,122,4,72,50,1.605263,0.052632,0.409836,0.947368,0.590164,0.507143,0.720714,137.962963
cumulative,event_split_merge_boundaries,c03,1,0,1,2,Dynamic-Growth,50,83,50,83,9,41,42,1.660000,0.180000,0.506024,0.820000,0.493976,0.445652,0.722826,0
cumulative,event_split_merge_boundaries,c03,2,1,2,2,Dynamic-Growth,83,99,83,99,9,74,25,1.192771,0.108434,0.252525,0.891566,0.747475,0.685185,0.842593,0
cumulative,event_split_merge_boundaries,c03,3,2,3,2,Turnover-Shrinkage,99,76,99,76,32,67,9,0.767677,0.323232,0.118421,0.676768,0.881579,0.620370,0.810185,0
cumulative,event_split_merge_boundaries,c03,4,3,4,2,Dynamic-Growth,76,111,76,111,8,68,43,1.460526,0.105263,0.387387,0.894737,0.612613,0.571429,0.785714,0
cumulative,event_split_merge_boundaries,c03,5,4,10,7,Fluid-Stability,111,118,111,118,15,96,22,1.063063,0.135135,0.186441,0.864865,0.813559,0.614286,0.816327,234.527778
cumulative,event_split_merge_boundaries,c04,1,0,10,11,Turnover-Shrinkage,100,85,100,85,37,63,22,0.850000,0.370000,0.258824,0.630000,0.741176,0.379310,0.565517,2436.250000
cumulative,event_split_merge_boundaries,c05,1,0,1,2,Fluid-Stability,110,108,110,108,30,80,28,0.981818,0.272727,0.259259,0.727273,0.740741,0.579710,0.789855,0
cumulative,event_split_merge_boundaries,c05,2,1,2,2,Erosion,108,78,108,78,32,76,2,0.722222,0.296296,0.025641,0.703704,0.974359,0.690909,0.845455,0
cumulative,event_split_merge_boundaries,c05,3,2,4,3,Dynamic-Growth,78,118,78,118,14,64,54,1.512821,0.179487,0.457627,0.820513,0.542373,0.446809,0.692671,1.000000
cumulative,event_split_merge_boundaries,c05,4,4,5,2,Turnover-Shrinkage,118,76,118,76,52,66,10,0.644068,0.440678,0.131579,0.559322,0.868421,0.515625,0.757812,0
cumulative,event_split_merge_boundaries,c05,5,5,10,6,Fluid-Stability,76,80,76,80,13,63,17,1.052632,0.171053,0.212500,0.828947,0.787500,0.424779,0.656342,523.400000
cumulative,event_split_merge_boundaries,c06,1,1,4,4,Organic-Growth,29,60,29,60,0,29,31,2.068966,0.000000,0.516667,1.000000,0.483333,0.483333,0.625000,435.555556
cumulative,event_split_merge_boundaries,c06,2,4,10,7,Organic-Growth,60,76,60,76,1,59,17,1.266667,0.016667,0.223684,0.983333,0.776316,0.756410,0.871795,10.444444
cumulative,event_split_merge_boundaries,c07,1,5,6,2,Erosion,86,62,86,62,27,59,3,0.720930,0.313953,0.048387,0.686047,0.951613,0.662921,0.831461,0
cumulative,event_split_merge_boundaries,c07,2,6,10,5,Organic-Growth,62,69,62,69,5,57,12,1.112903,0.080645,0.173913,0.919355,0.826087,0.640000,0.837333,61.875000
cumulative,event_split_merge_boundaries,c08,1,0,10,11,Dynamic-Growth,47,56,47,56,7,40,16,1.191489,0.148936,0.285714,0.851064,0.714286,0.533333,0.712727,74.450000
cumulative,event_split_merge_boundaries,c09,1,0,8,9,Organic-Growth,27,58,27,58,0,27,31,2.148148,0.000000,0.534483,1.000000,0.465517,0.465517,0.576628,1304.437500
cumulative,event_split_merge_boundaries,c09,2,8,9,2,Erosion,58,33,58,33,25,33,0,0.568966,0.431034,0.000000,0.568966,1.000000,0.568966,0.784483,0
cumulative,event_split_merge_boundaries,c09,3,9,10,2,Steady-Stability,33,33,33,33,0,33,0,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0
cumulative,event_split_merge_boundaries,c10,1,6,10,5,Organic-Growth,24,30,24,30,0,24,6,1.250000,0.000000,0.200000,1.000000,0.800000,0.800000,0.946667,17.500000
cumulative,event_split_merge_boundaries,c11,1,4,10,7,Fluid-Stability,27,28,27,28,6,21,7,1.037037,0.222222,0.250000,0.777778,0.750000,0.588235,0.823529,11.861111
cumulative,event_split_merge_boundaries,c12,1,9,10,2,Erosion,30,24,30,24,6,24,0,0.800000,0.200000,0.000000,0.800000,1.000000,0.800000,0.900000,0
cumulative,event_split_merge_boundaries,c13,1,9,10,2,Steady-Stability,14,14,14,14,0,14,0,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0
cumulative,event_split_merge_boundaries,c14,1,5,10,6,Organic-Growth,7,10,7,10,0,7,3,1.428571,0.000000,0.300000,1.000000,0.700000,0.700000,0.916667,5.200000
