approach,user_id,identity_group,snapshot_index,snapshot_label,observation_id
cumulative,23,c02,0,days_0_50,CUM-C0006
cumulative,30,c02,0,days_0_50,CUM-C0006
cumulative,52,c02,0,days_0_50,CUM-C0006
cumulative,77,c02,0,days_0_50,CUM-C0006
cumulative,104,c02,0,days_0_50,CUM-C0006
cumulative,111,c02,0,days_0_50,CUM-C0006
cumulative,112,c02,0,days_0_50,CUM-C0006
cumulative,126,c02,0,days_0_50,CUM-C0006
cumulative,133,c02,0,days_0_50,CUM-C0006
cumulative,166,c02,0,days_0_50,CUM-C0006
cumulative,168,c02,0,days_0_50,CUM-C0006
cumulative,186,c02,0,days_0_50,CUM-C0006
cumulative,209,c02,0,days_0_50,CUM-C0006
cumulative,232,c02,0,days_0_50,CUM-C0006
cumulative,240,c02,0,days_0_50,CUM-C0006
cumulative,256,c02,0,days_0_50,CUM-C0006
cumulative,260,c02,0,days_0_50,CUM-C0006
cumulative,267,c02,0,days_0_50,CUM-C0006
cumulative,276,c02,0,days_0_50,CUM-C0006
cumulative,294,c02,0,days_0_50,CUM-C0006
cumulative,305,c02,0,days_0_50,CUM-C0006
cumulative,313,c02,0,days_0_50,CUM-C0006
cumulative,356,c02,0,days_0_50,CUM-C0006
cumulative,392,c02,0,days_0_50,CUM-C0006
cumulative,416,c02,0,days_0_50,CUM-C0006
cumulative,439,c02,0,days_0_50,CUM-C0006
cumulative,447,c02,0,days_0_50,CUM-C0006
cumulative,459,c02,0,days_0_50,CUM-C0006
cumulative,472,c02,0,days_0_50,CUM-C0006
cumulative,478,c02,0,days_0_50,CUM-C0006
cumulative,479,c02,0,days_0_50,CUM-C0006
cumulative,517,c02,0,days_0_50,CUM-C0006
cumulative,556,c02,0,days_0_50,CUM-C0006
cumulative,557,c02,0,days_0_50,CUM-C0006
cumulative,564,c02,0,days_0_50,CUM-C0006
cumulative,573,c02,0,days_0_50,CUM-C0006
cumulative,574,c02,0,days_0_50,CUM-C0006
cumulative,575,c02,0,days_0_50,CUM-C0006
cumulative,586,c02,0,days_0_50,CUM-C0006
cumulative,602,c02,0,days_0_50,CUM-C0006
cumulative,648,c02,0,days_0_50,CUM-C0006
cumulative,674,c02,0,days_0_50,CUM-C0006
cumulative,694,c02,0,days_0_50,CUM-C0006
cumulative,743,c02,0,days_0_50,CUM-C0006
cumulative,759,c02,0,days_0_50,CUM-C0006
cumulative,762,c02,0,days_0_50,CUM-C0006
cumulative,765,c02,0,days_0_50,CUM-C0006
cumulative,803,c02,0,days_0_50,CUM-C0006
cumulative,845,c02,0,days_0_50,CUM-C0006
cumulative,859,c02,0,days_0_50,CUM-C0006
cumulative,868,c02,0,days_0_50,CUM-C0006
cumulative,869,c02,0,days_0_50,CUM-C0006
cumulative,885,c02,0,days_0_50,CUM-C0006
cumulative,889,c02,0,days_0_50,CUM-C0006
cumulative,912,c02,0,days_0_50,CUM-C0006
cumulative,944,c02,0,days_0_50,CUM-C0006
cumulative,984,c02,0,days_0_50,CUM-C0006
cumulative,8,c03,0,days_0_50,CUM-C0008
cumulative,19,c03,0,days_0_50,CUM-C0008
cumulative,59,c03,0,days_0_50,CUM-C0008
cumulative,61,c03,0,days_0_50,CUM-C0008
cumulative,101,c03,0,days_0_50,CUM-C0008
cumulative,114,c03,0,days_0_50,CUM-C0008
cumulative,127,c03,0,days_0_50,CUM-C0008
cumulative,144,c03,0,days_0_50,CUM-C0008
cumulative,145,c03,0,days_0_50,CUM-C0008
cumulative,149,c03,0,days_0_50,CUM-C0008
cumulative,158,c03,0,days_0_50,CUM-C0008
cumulative,175,c03,0,days_0_50,CUM-C0008
cumulative,184,c03,0,days_0_50,CUM-C0008
cumulative,243,c03,0,days_0_50,CUM-C0008
cumulative,246,c03,0,days_0_50,CUM-C0008
cumulative,275,c03,0,days_0_50,CUM-C0008
cumulative,293,c03,0,days_0_50,CUM-C0008
cumulative,377,c03,0,days_0_50,CUM-C0008
cumulative,393,c03,0,days_0_50,CUM-C0008
cumulative,407,c03,0,days_0_50,CUM-C0008
cumulative,423,c03,0,days_0_50,CUM-C0008
cumulative,426,c03,0,days_0_50,CUM-C0008
cumulative,436,c03,0,days_0_50,CUM-C0008
cumulative,442,c03,0,days_0_50,CUM-C0008
cumulative,446,c03,0,days_0_50,CUM-C0008
cumulative,457,c03,0,days_0_50,CUM-C0008
cumulative,467,c03,0,days_0_50,CUM-C0008
cumulative,522,c03,0,days_0_50,CUM-C0008
cumulative,563,c03,0,days_0_50,CUM-C0008
cumulative,597,c03,0,days_0_50,CUM-C0008
cumulative,650,c03,0,days_0_50,CUM-C0008
cumulative,678,c03,0,days_0_50,CUM-C0008
cumulative,681,c03,0,days_0_50,CUM-C0008
cumulative,696,c03,0,days_0_50,CUM-C0008
cumulative,708,c03,0,days_0_50,CUM-C0008
cumulative,711,c03,0,days_0_50,CUM-C0008
cumulative,716,c03,0,days_0_50,CUM-C0008
cumulative,718,c03,0,days_0_50,CUM-C0008
cumulative,724,c03,0,days_0_50,CUM-C0008
cumulative,737,c03,0,days_0_50,CUM-C0008
cumulative,754,c03,0,days_0_50,CUM-C0008
cumulative,777,c03,0,days_0_50,CUM-C0008
cumulative,779,c03,0,days_0_50,CUM-C0008
cumulative,843,c03,0,days_0_50,CUM-C0008
cumulative,849,c03,0,days_0_50,CUM-C0008
cumulative,866,c03,0,days_0_50,CUM-C0008
cumulative,883,c03,0,days_0_50,CUM-C0008
cumulative,904,c03,0,days_0_50,CUM-C0008
cumulative,907,c03,0,days_0_50,CUM-C0008
cumulative,916,c03,0,days_0_50,CUM-C0008
cumulative,1,c04,0,days_0_50,CUM-C0002
cumulative,38,c04,0,days_0_50,CUM-C0002
cumulative,42,c04,0,days_0_50,CUM-C0002
cumulative,46,c04,0,days_0_50,CUM-C0002
cumulative,49,c04,0,days_0_50,CUM-C0002
cumulative,50,c04,0,days_0_50,CUM-C0002
cumulative,64,c04,0,days_0_50,CUM-C0002
cumulative,69,c04,0,days_0_50,CUM-C0002
cumulative,76,c04,0,days_0_50,CUM-C0002
cumulative,84,c04,0,days_0_50,CUM-C0002
cumulative,91,c04,0,days_0_50,CUM-C0002
cumulative,96,c04,0,days_0_50,CUM-C0002
