approach,identity_group,snapshot_index,snapshot_label,observation_id,member_count
cumulative,c01,1,days_0_100,CUM-C0101,155
cumulative,c01,2,days_0_150,CUM-C0201,177
cumulative,c01,3,days_0_200,CUM-C0301,169
cumulative,c01,4,days_0_250,CUM-C0401,177
cumulative,c01,5,days_0_300,CUM-C0501,183
cumulative,c01,6,days_0_350,CUM-C0601,177
cumulative,c01,7,days_0_400,CUM-C0701,196
cumulative,c01,8,days_0_450,CUM-C0801,179
cumulative,c01,9,days_0_500,CUM-C0901,200
cumulative,c01,10,days_0_526,CUM-C1001,238
cumulative,c02,0,days_0_50,CUM-C0006,57
cumulative,c02,1,days_0_100,CUM-C0104,76
cumulative,c02,2,days_0_150,CUM-C0204,78
cumulative,c02,3,days_0_200,CUM-C0303,85
cumulative,c02,4,days_0_250,CUM-C0404,97
cumulative,c02,5,days_0_300,CUM-C0503,99
cumulative,c02,6,days_0_350,CUM-C0603,103
cumulative,c02,7,days_0_400,CUM-C0703,111
cumulative,c02,8,days_0_450,CUM-C0803,113
cumulative,c02,9,days_0_500,CUM-C0902,125
cumulative,c02,10,days_0_526,CUM-C1002,122
cumulative,c03,0,days_0_50,CUM-C0008,50
cumulative,c03,1,days_0_100,CUM-C0103,83
cumulative,c03,2,days_0_150,CUM-C0202,99
cumulative,c03,3,days_0_200,CUM-C0304,76
cumulative,c03,4,days_0_250,CUM-C0403,111
cumulative,c03,5,days_0_300,CUM-C0502,107
cumulative,c03,6,days_0_350,CUM-C0602,104
cumulative,c03,7,days_0_400,CUM-C0702,120
cumulative,c03,8,days_0_450,CUM-C0802,125
cumulative,c03,9,days_0_500,CUM-C0903,115
cumulative,c03,10,days_0_526,CUM-C1003,118
cumulative,c04,0,days_0_50,CUM-C0002,100
cumulative,c04,1,days_0_100,CUM-C0105,72
cumulative,c04,2,days_0_150,CUM-C0206,74
cumulative,c04,3,days_0_200,CUM-C0306,72
cumulative,c04,4,days_0_250,CUM-C0405,76
cumulative,c04,5,days_0_300,CUM-C0505,78
cumulative,c04,6,days_0_350,CUM-C0604,84
cumulative,c04,7,days_0_400,CUM-C0704,95
cumulative,c04,8,days_0_450,CUM-C0804,85
cumulative,c04,9,days_0_500,CUM-C0905,81
cumulative,c04,10,days_0_526,CUM-C1004,85
cumulative,c05,0,days_0_50,CUM-C0001,110
cumulative,c05,1,days_0_100,CUM-C0102,108
cumulative,c05,2,days_0_150,CUM-C0203,78
cumulative,c05,3,days_0_200,CUM-C0302,97
cumulative,c05,4,days_0_250,CUM-C0402,118
cumulative,c05,5,days_0_300,CUM-C0506,76
cumulative,c05,6,days_0_350,CUM-C0605,78
cumulative,c05,7,days_0_400,CUM-C0708,56
cumulative,c05,8,days_0_450,CUM-C0805,72
cumulative,c05,9,days_0_500,CUM-C0904,83
cumulative,c05,10,days_0_526,CUM-C1005,80
cumulative,c06,1,days_0_100,CUM-C0111,29
cumulative,c06,2,days_0_150,CUM-C0211,30
cumulative,c06,3,days_0_200,CUM-C0310,31
cumulative,c06,4,days_0_250,CUM-C0406,60
cumulative,c06,5,days_0_300,CUM-C0508,62
cumulative,c06,6,days_0_350,CUM-C0607,64
cumulative,c06,7,days_0_400,CUM-C0705,67
cumulative,c06,8,days_0_450,CUM-C0806,71
cumulative,c06,9,days_0_500,CUM-C0906,76
cumulative,c06,10,days_0_526,CUM-C1006,76
cumulative,c07,5,days_0_300,CUM-C0504,86
