approach,identity_group,birth_snapshot,last_snapshot,lifespan_snapshots,split_merge_event_rows,split_merge_transition_breakpoints,event_based_stage_count,point_observation_count,segment_bounds
cumulative,c01,1,10,10,10,5,4,0,1-2;2-8;8-9;9-10
cumulative,c02,0,10,11,1,1,2,0,0-1;1-10
cumulative,c03,0,10,11,5,4,5,0,0-1;1-2;2-3;3-4;4-10
cumulative,c04,0,10,11,0,0,1,0,0-10
cumulative,c05,0,10,11,5,4,5,0,0-1;1-2;2-4;4-5;5-10
cumulative,c06,1,10,10,3,2,2,0,1-4;4-10
cumulative,c07,5,10,6,3,2,2,0,5-6;6-10
cumulative,c08,0,10,11,0,0,1,0,0-10
cumulative,c09,0,10,11,3,2,3,0,0-8;8-9;9-10
cumulative,c10,6,10,5,1,1,1,0,6-10
cumulative,c11,4,10,7,1,1,1,0,4-10
cumulative,c12,9,10,2,1,1,1,0,9-10
cumulative,c13,9,10,2,1,1,1,0,9-10
cumulative,c14,5,10,6,1,1,1,0,5-10
interval,c01,4,10,7,5,4,3,0,4-8;8-9;9-10
interval,c02,8,10,3,2,2,2,0,8-9;9-10
interval,c03,5,10,6,6,4,3,0,5-7;7-9;9-10
interval,c05,1,10,10,5,4,4,0,1-3;3-8;8-9;9-10
interval,c06,0,10,11,0,0,1,0,0-10
interval,c07,9,10,2,1,1,1,0,9-10
interval,c08,0,10,11,4,3,3,0,0-1;1-4;4-10
interval,c09,7,10,4,1,1,1,0,7-10
interval,c10,9,10,2,1,1,1,0,9-10
interval,c12,8,10,3,1,1,1,0,8-10
interval,c14,7,10,4,0,0,1,0,7-10
interval,c15,9,10,2,1,1,1,0,9-10
overlap,c01,16,19,4,6,2,1,0,16-19
overlap,c02,10,19,10,13,8,7,0,10-13;13-14;14-15;15-16;16-17;17-18;18-19
overlap,c03,16,19,4,1,1,2,0,16-18;18-19
overlap,c04,14,19,6,9,4,4,0,14-15;15-16;16-18;18-19
overlap,c05,0,19,20,5,5,5,0,0-2;2-7;7-13;13-14;14-19
overlap,c06,18,19,2,1,1,1,0,18-19
overlap,c07,1,19,19,10,6,5,0,1-4;4-5;5-16;16-17;17-19
overlap,c08,0,19,20,0,0,1,0,0-19
overlap,c10,14,19,6,1,1,1,0,14-19
overlap,c12,0,19,20,4,4,5,0,0-8;8-15;15-16;16-18;18-19
overlap,c13,17,19,3,1,1,1,0,17-19
overlap,c14,15,19,5,1,1,1,0,15-19
overlap,c16,18,19,2,1,1,1,0,18-19
overlap,c18,18,19,2,1,1,1,0,18-19
