approach,method,identity_group,stage_index,t_start,t_end,length,stage_type,start_size,end_size,global_P,global_C,global_L,global_R,global_N,global_growth,global_churn,global_revitalization,global_prosp_stability,global_retro_stability,solidity,density,segmentation_error
interval,classic_size_bottom_up,c01,1,4,7,4,Dynamic-Growth,58,82,58,82,11,47,35,1.413793,0.189655,0.426829,0.810345,0.573171,0.214876,0.555785,85.000000
interval,classic_size_bottom_up,c01,2,7,8,2,Dynamic-Growth,82,124,82,124,11,71,53,1.512195,0.134146,0.427419,0.865854,0.572581,0.525926,0.762963,0
interval,classic_size_bottom_up,c01,3,8,9,2,Turnover-Shrinkage,124,70,124,70,64,60,10,0.564516,0.516129,0.142857,0.483871,0.857143,0.447761,0.723881,0
interval,classic_size_bottom_up,c01,4,9,10,2,Dynamic-Growth,70,130,70,130,14,56,74,1.857143,0.200000,0.569231,0.800000,0.430769,0.388889,0.694444,0
interval,classic_size_bottom_up,c02,1,8,10,3,Fluid-Stability,96,93,96,93,30,66,27,0.968750,0.312500,0.290323,0.687500,0.709677,0.484848,0.694444,72.250000
interval,classic_size_bottom_up,c03,1,5,7,3,Dynamic-Growth,43,99,43,99,7,36,63,2.302326,0.162791,0.636364,0.837209,0.363636,0.268293,0.569106,9.000000
interval,classic_size_bottom_up,c03,2,7,9,3,Turnover-Shrinkage,99,72,99,72,48,51,21,0.727273,0.484848,0.291667,0.515152,0.708333,0.364964,0.647202,90.250000
interval,classic_size_bottom_up,c03,3,9,10,2,Fluid-Stability,72,77,72,77,29,43,34,1.069444,0.402778,0.441558,0.597222,0.558442,0.405660,0.702830,0
interval,classic_size_bottom_up,c05,1,1,2,2,Dynamic-Growth,30,51,30,51,5,25,26,1.700000,0.166667,0.509804,0.833333,0.490196,0.446429,0.723214,0
interval,classic_size_bottom_up,c05,2,2,5,4,Dynamic-Growth,51,63,51,63,27,24,39,1.235294,0.529412,0.619048,0.470588,0.380952,0.242105,0.573684,100.000000
interval,classic_size_bottom_up,c05,3,5,6,2,Erosion,63,51,63,51,16,47,4,0.809524,0.253968,0.078431,0.746032,0.921569,0.701493,0.850746,0
interval,classic_size_bottom_up,c05,4,6,7,2,Organic-Growth,51,60,51,60,2,49,11,1.176471,0.039216,0.183333,0.960784,0.816667,0.790323,0.895161,0
interval,classic_size_bottom_up,c05,5,7,8,2,Dynamic-Growth,60,94,60,94,7,53,41,1.566667,0.116667,0.436170,0.883333,0.563830,0.524752,0.762376,0
interval,classic_size_bottom_up,c05,6,8,10,3,Turnover-Shrinkage,94,66,94,66,45,49,17,0.702128,0.478723,0.257576,0.521277,0.742424,0.395161,0.645161,0.000000
interval,classic_size_bottom_up,c06,1,0,3,4,Fluid-Stability,47,48,47,48,12,35,13,1.021277,0.255319,0.270833,0.744681,0.729167,0.477612,0.675373,47.222222
interval,classic_size_bottom_up,c06,2,3,5,3,Turnover-Shrinkage,48,36,48,36,18,30,6,0.750000,0.375000,0.166667,0.625000,0.833333,0.508475,0.723164,4.000000
interval,classic_size_bottom_up,c06,3,5,9,5,Dynamic-Growth,36,44,36,44,4,32,12,1.222222,0.111111,0.272727,0.888889,0.727273,0.453125,0.668750,70.000000
interval,classic_size_bottom_up,c06,4,9,10,2,Dynamic-Growth,44,59,44,59,6,38,21,1.340909,0.136364,0.355932,0.863636,0.644068,0.584615,0.792308,0
interval,classic_size_bottom_up,c07,1,9,10,2,Turnover-Shrinkage,71,52,71,52,29,42,10,0.732394,0.408451,0.192308,0.591549,0.807692,0.518519,0.759259,0
interval,classic_size_bottom_up,c08,1,0,2,3,Fluid-Stability,57,61,57,61,12,45,16,1.070175,0.210526,0.262295,0.789474,0.737705,0.487805,0.739837,25.000000
interval,classic_size_bottom_up,c08,2,2,4,3,Dynamic-Growth,61,83,61,83,7,54,29,1.360656,0.114754,0.349398,0.885246,0.650602,0.568421,0.754386,1.000000
interval,classic_size_bottom_up,c08,3,4,5,2,Fluid-Stability,83,75,83,75,22,61,14,0.903614,0.265060,0.186667,0.734940,0.813333,0.628866,0.814433,0
interval,classic_size_bottom_up,c08,4,5,9,5,Dynamic-Growth,75,104,75,104,9,66,38,1.386667,0.120000,0.365385,0.880000,0.634615,0.404110,0.601370,73.375000
interval,classic_size_bottom_up,c08,5,9,10,2,Erosion,104,50,104,50,59,45,5,0.480769,0.567308,0.100000,0.432692,0.900000,0.412844,0.706422,0
interval,classic_size_bottom_up,c09,1,7,10,4,Turnover-Shrinkage,44,27,44,27,20,24,3,0.613636,0.454545,0.111111,0.545455,0.888889,0.444444,0.662037,0.555556
interval,classic_size_bottom_up,c10,1,9,10,2,Fluid-Stability,25,27,25,27,3,22,5,1.080000,0.120000,0.185185,0.880000,0.814815,0.733333,0.866667,0
interval,classic_size_bottom_up,c12,1,8,10,3,Fluid-Stability,24,22,24,22,3,21,1,0.916667,0.125000,0.045455,0.875000,0.954545,0.655172,0.804598,1.000000
interval,classic_size_bottom_up,c14,1,7,10,4,Fluid-Stability,20,19,20,19,4,16,3,0.950000,0.200000,0.157895,0.800000,0.842105,0.480000,0.710000,33.888889
interval,classic_size_bottom_up,c15,1,9,10,2,Erosion,21,14,21,14,7,14,0,0.666667,0.333333,0.000000,0.666667,1.000000,0.666667,0.833333,0
