approach,identity_group,event_stage_index,event_t_start,event_t_end,event_stage_type,classic_stage_index,classic_t_start,classic_t_end,classic_stage_type,overlap_snapshot_count,same_stage_type
interval,c01,1,4,8,Dynamic-Growth,1,4,7,Dynamic-Growth,4,True
interval,c01,1,4,8,Dynamic-Growth,2,7,8,Dynamic-Growth,2,True
interval,c01,1,4,8,Dynamic-Growth,3,8,9,Turnover-Shrinkage,1,False
interval,c01,2,8,9,Turnover-Shrinkage,2,7,8,Dynamic-Growth,1,False
interval,c01,2,8,9,Turnover-Shrinkage,3,8,9,Turnover-Shrinkage,2,True
interval,c01,2,8,9,Turnover-Shrinkage,4,9,10,Dynamic-Growth,1,False
interval,c01,3,9,10,Dynamic-Growth,3,8,9,Turnover-Shrinkage,1,False
interval,c01,3,9,10,Dynamic-Growth,4,9,10,Dynamic-Growth,2,True
interval,c02,1,8,9,Turnover-Shrinkage,1,8,10,Fluid-Stability,2,False
interval,c02,2,9,10,Fluid-Stability,1,8,10,Fluid-Stability,2,True
interval,c03,1,5,7,Dynamic-Growth,1,5,7,Dynamic-Growth,3,True
interval,c03,1,5,7,Dynamic-Growth,2,7,9,Turnover-Shrinkage,1,False
interval,c03,2,7,9,Turnover-Shrinkage,1,5,7,Dynamic-Growth,1,False
interval,c03,2,7,9,Turnover-Shrinkage,2,7,9,Turnover-Shrinkage,3,True
interval,c03,2,7,9,Turnover-Shrinkage,3,9,10,Fluid-Stability,1,False
interval,c03,3,9,10,Fluid-Stability,2,7,9,Turnover-Shrinkage,1,False
interval,c03,3,9,10,Fluid-Stability,3,9,10,Fluid-Stability,2,True
interval,c05,1,1,3,Dynamic-Growth,1,1,2,Dynamic-Growth,2,True
interval,c05,1,1,3,Dynamic-Growth,2,2,5,Dynamic-Growth,2,True
interval,c05,2,3,8,Organic-Growth,2,2,5,Dynamic-Growth,3,False
interval,c05,2,3,8,Organic-Growth,3,5,6,Erosion,2,False
interval,c05,2,3,8,Organic-Growth,4,6,7,Organic-Growth,2,True
interval,c05,2,3,8,Organic-Growth,5,7,8,Dynamic-Growth,2,False
interval,c05,2,3,8,Organic-Growth,6,8,10,Turnover-Shrinkage,1,False
interval,c05,3,8,9,Turnover-Shrinkage,5,7,8,Dynamic-Growth,1,False
interval,c05,3,8,9,Turnover-Shrinkage,6,8,10,Turnover-Shrinkage,2,True
interval,c05,4,9,10,Turnover-Shrinkage,6,8,10,Turnover-Shrinkage,2,True
interval,c06,1,0,10,Dynamic-Growth,1,0,3,Fluid-Stability,4,False
interval,c06,1,0,10,Dynamic-Growth,2,3,5,Turnover-Shrinkage,3,False
interval,c06,1,0,10,Dynamic-Growth,3,5,9,Dynamic-Growth,5,True
interval,c06,1,0,10,Dynamic-Growth,4,9,10,Dynamic-Growth,2,True
interval,c07,1,9,10,Turnover-Shrinkage,1,9,10,Turnover-Shrinkage,2,True
interval,c08,1,0,1,Dynamic-Growth,1,0,2,Fluid-Stability,2,False
interval,c08,2,1,4,Dynamic-Growth,1,0,2,Fluid-Stability,2,False
interval,c08,2,1,4,Dynamic-Growth,2,2,4,Dynamic-Growth,3,True
interval,c08,2,1,4,Dynamic-Growth,3,4,5,Fluid-Stability,1,False
interval,c08,3,4,10,Turnover-Shrinkage,2,2,4,Dynamic-Growth,1,False
interval,c08,3,4,10,Turnover-Shrinkage,3,4,5,Fluid-Stability,2,False
interval,c08,3,4,10,Turnover-Shrinkage,4,5,9,Dynamic-Growth,5,False
interval,c08,3,4,10,Turnover-Shrinkage,5,9,10,Erosion,2,False
interval,c09,1,7,10,Turnover-Shrinkage,1,7,10,Turnover-Shrinkage,4,True
interval,c10,1,9,10,Fluid-Stability,1,9,10,Fluid-Stability,2,True
interval,c12,1,8,10,Fluid-Stability,1,8,10,Fluid-Stability,3,True
interval,c14,1,7,10,Fluid-Stability,1,7,10,Fluid-Stability,4,True
interval,c15,1,9,10,Erosion,1,9,10,Erosion,2,True
