approach,identity_group,birth_snapshot,last_snapshot,lifespan_snapshots,split_merge_event_rows,split_merge_transition_breakpoints,event_based_stage_count,point_observation_count,segment_bounds
interval,c01,4,10,7,5,4,3,0,4-8;8-9;9-10
interval,c02,8,10,3,2,2,2,0,8-9;9-10
interval,c03,5,10,6,6,4,3,0,5-7;7-9;9-10
interval,c05,1,10,10,5,4,4,0,1-3;3-8;8-9;9-10
interval,c06,0,10,11,0,0,1,0,0-10
interval,c07,9,10,2,1,1,1,0,9-10
interval,c08,0,10,11,4,3,3,0,0-1;1-4;4-10
interval,c09,7,10,4,1,1,1,0,7-10
interval,c10,9,10,2,1,1,1,0,9-10
interval,c12,8,10,3,1,1,1,0,8-10
interval,c14,7,10,4,0,0,1,0,7-10
interval,c15,9,10,2,1,1,1,0,9-10
