approach,method,identity_group,stage_index,t_start,t_end,length,stage_type,start_size,end_size,global_P,global_C,global_L,global_R,global_N,global_growth,global_churn,global_revitalization,global_prosp_stability,global_retro_stability,solidity,density,segmentation_error
interval,event_split_merge_boundaries,c01,1,4,8,5,Dynamic-Growth,58,124,58,124,11,47,77,2.137931,0.189655,0.620968,0.810345,0.379032,0.156250,0.491250,1436.500000
interval,event_split_merge_boundaries,c01,2,8,9,2,Turnover-Shrinkage,124,70,124,70,64,60,10,0.564516,0.516129,0.142857,0.483871,0.857143,0.447761,0.723881,0
interval,event_split_merge_boundaries,c01,3,9,10,2,Dynamic-Growth,70,130,70,130,14,56,74,1.857143,0.200000,0.569231,0.800000,0.430769,0.388889,0.694444,0
interval,event_split_merge_boundaries,c02,1,8,9,2,Turnover-Shrinkage,96,86,96,86,23,73,13,0.895833,0.239583,0.151163,0.760417,0.848837,0.669725,0.834862,0
interval,event_split_merge_boundaries,c02,2,9,10,2,Fluid-Stability,86,93,86,93,18,68,25,1.081395,0.209302,0.268817,0.790698,0.731183,0.612613,0.806306,0
interval,event_split_merge_boundaries,c03,1,5,7,3,Dynamic-Growth,43,99,43,99,7,36,63,2.302326,0.162791,0.636364,0.837209,0.363636,0.268293,0.569106,9.000000
interval,event_split_merge_boundaries,c03,2,7,9,3,Turnover-Shrinkage,99,72,99,72,48,51,21,0.727273,0.484848,0.291667,0.515152,0.708333,0.364964,0.647202,90.250000
interval,event_split_merge_boundaries,c03,3,9,10,2,Fluid-Stability,72,77,72,77,29,43,34,1.069444,0.402778,0.441558,0.597222,0.558442,0.405660,0.702830,0
interval,event_split_merge_boundaries,c05,1,1,3,3,Dynamic-Growth,30,55,30,55,5,25,30,1.833333,0.166667,0.545455,0.833333,0.454545,0.292683,0.552846,72.250000
interval,event_split_merge_boundaries,c05,2,3,8,6,Organic-Growth,55,94,55,94,5,50,44,1.709091,0.090909,0.468085,0.909091,0.531915,0.362069,0.534483,1685.400000
interval,event_split_merge_boundaries,c05,3,8,9,2,Turnover-Shrinkage,94,80,94,80,34,60,20,0.851064,0.361702,0.250000,0.638298,0.750000,0.526316,0.763158,0
interval,event_split_merge_boundaries,c05,4,9,10,2,Turnover-Shrinkage,80,66,80,66,24,56,10,0.825000,0.300000,0.151515,0.700000,0.848485,0.622222,0.811111,0
interval,event_split_merge_boundaries,c06,1,0,10,11,Dynamic-Growth,47,59,47,59,13,34,25,1.255319,0.276596,0.423729,0.723404,0.576271,0.245098,0.443850,966.600000
interval,event_split_merge_boundaries,c07,1,9,10,2,Turnover-Shrinkage,71,52,71,52,29,42,10,0.732394,0.408451,0.192308,0.591549,0.807692,0.518519,0.759259,0
interval,event_split_merge_boundaries,c08,1,0,1,2,Dynamic-Growth,57,64,57,64,11,46,18,1.122807,0.192982,0.281250,0.807018,0.718750,0.613333,0.806667,0
interval,event_split_merge_boundaries,c08,2,1,4,4,Dynamic-Growth,64,83,64,83,14,50,33,1.296875,0.218750,0.397590,0.781250,0.602410,0.433962,0.658019,119.222222
interval,event_split_merge_boundaries,c08,3,4,10,7,Turnover-Shrinkage,83,50,83,50,46,37,13,0.602410,0.554217,0.260000,0.445783,0.740000,0.224359,0.523810,3710.750000
interval,event_split_merge_boundaries,c09,1,7,10,4,Turnover-Shrinkage,44,27,44,27,20,24,3,0.613636,0.454545,0.111111,0.545455,0.888889,0.444444,0.662037,0.555556
interval,event_split_merge_boundaries,c10,1,9,10,2,Fluid-Stability,25,27,25,27,3,22,5,1.080000,0.120000,0.185185,0.880000,0.814815,0.733333,0.866667,0
interval,event_split_merge_boundaries,c12,1,8,10,3,Fluid-Stability,24,22,24,22,3,21,1,0.916667,0.125000,0.045455,0.875000,0.954545,0.655172,0.804598,1.000000
interval,event_split_merge_boundaries,c14,1,7,10,4,Fluid-Stability,20,19,20,19,4,16,3,0.950000,0.200000,0.157895,0.800000,0.842105,0.480000,0.710000,33.888889
interval,event_split_merge_boundaries,c15,1,9,10,2,Erosion,21,14,21,14,7,14,0,0.666667,0.333333,0.000000,0.666667,1.000000,0.666667,0.833333,0
