approach,identity_group,snapshot_index,snapshot_label,observation_id,member_count
interval,c01,4,days_200_250,INT-C0405,58
interval,c01,5,days_250_300,INT-C0504,64
interval,c01,6,days_300_350,INT-C0606,65
interval,c01,7,days_350_400,INT-C0703,82
interval,c01,8,days_400_450,INT-C0801,124
interval,c01,9,days_450_500,INT-C0907,70
interval,c01,10,days_500_526,INT-C1001,130
interval,c02,8,days_400_450,INT-C0803,96
interval,c02,9,days_450_500,INT-C0903,86
interval,c02,10,days_500_526,INT-C1002,93
interval,c03,5,days_250_300,INT-C0508,43
interval,c03,6,days_300_350,INT-C0605,68
interval,c03,7,days_350_400,INT-C0701,99
interval,c03,8,days_400_450,INT-C0804,95
interval,c03,9,days_450_500,INT-C0905,72
interval,c03,10,days_500_526,INT-C1003,77
interval,c04,10,days_500_526,INT-C1004,67
interval,c05,1,days_50_100,INT-C0113,30
interval,c05,2,days_100_150,INT-C0207,51
interval,c05,3,days_150_200,INT-C0306,55
interval,c05,4,days_200_250,INT-C0407,49
interval,c05,5,days_250_300,INT-C0505,63
interval,c05,6,days_300_350,INT-C0608,51
interval,c05,7,days_350_400,INT-C0706,60
interval,c05,8,days_400_450,INT-C0805,94
interval,c05,9,days_450_500,INT-C0904,80
interval,c05,10,days_500_526,INT-C1005,66
interval,c06,0,days_0_50,INT-C0009,47
interval,c06,1,days_50_100,INT-C0109,41
interval,c06,2,days_100_150,INT-C0208,45
interval,c06,3,days_150_200,INT-C0309,48
interval,c06,4,days_200_250,INT-C0409,44
interval,c06,5,days_250_300,INT-C0509,36
interval,c06,6,days_300_350,INT-C0609,43
interval,c06,7,days_350_400,INT-C0710,46
interval,c06,8,days_400_450,INT-C0808,45
interval,c06,9,days_450_500,INT-C0908,44
interval,c06,10,days_500_526,INT-C1006,59
interval,c07,9,days_450_500,INT-C0906,71
interval,c07,10,days_500_526,INT-C1007,52
interval,c08,0,days_0_50,INT-C0006,57
interval,c08,1,days_50_100,INT-C0106,64
interval,c08,2,days_100_150,INT-C0206,61
interval,c08,3,days_150_200,INT-C0304,71
interval,c08,4,days_200_250,INT-C0403,83
interval,c08,5,days_250_300,INT-C0503,75
interval,c08,6,days_300_350,INT-C0602,85
interval,c08,7,days_350_400,INT-C0702,85
interval,c08,8,days_400_450,INT-C0806,90
interval,c08,9,days_450_500,INT-C0901,104
interval,c08,10,days_500_526,INT-C1008,50
interval,c09,7,days_350_400,INT-C0711,44
interval,c09,8,days_400_450,INT-C0809,39
interval,c09,9,days_450_500,INT-C0909,33
interval,c09,10,days_500_526,INT-C1009,27
interval,c10,9,days_450_500,INT-C0912,25
interval,c10,10,days_500_526,INT-C1010,27
interval,c11,10,days_500_526,INT-C1011,24
interval,c12,8,days_400_450,INT-C0810,24
interval,c12,9,days_450_500,INT-C0913,24
interval,c12,10,days_500_526,INT-C1012,22
interval,c13,10,days_500_526,INT-C1013,20
interval,c14,7,days_350_400,INT-C0713,20
interval,c14,8,days_400_450,INT-C0811,14
interval,c14,9,days_450_500,INT-C0915,18
interval,c14,10,days_500_526,INT-C1014,19
interval,c15,9,days_450_500,INT-C0914,21
interval,c15,10,days_500_526,INT-C1015,14
