approach,method,identity_group,stage_index,t_start,t_end,length,stage_type,start_size,end_size,global_P,global_C,global_L,global_R,global_N,global_growth,global_churn,global_revitalization,global_prosp_stability,global_retro_stability,solidity,density,segmentation_error
overlap,classic_size_bottom_up,c01,1,16,17,2,Erosion,105,83,105,83,28,77,6,0.790476,0.266667,0.072289,0.733333,0.927711,0.693694,0.846847,0
overlap,classic_size_bottom_up,c01,2,17,19,3,Dynamic-Growth,83,93,83,93,35,48,45,1.120482,0.421687,0.483871,0.578313,0.516129,0.335766,0.647202,4.000000
overlap,classic_size_bottom_up,c02,1,10,12,3,Dynamic-Growth,43,68,43,68,6,37,31,1.581395,0.139535,0.455882,0.860465,0.544118,0.486842,0.714912,12.250000
overlap,classic_size_bottom_up,c02,2,12,13,2,Dynamic-Growth,68,101,68,101,22,46,55,1.485294,0.323529,0.544554,0.676471,0.455446,0.373984,0.686992,0
overlap,classic_size_bottom_up,c02,3,13,14,2,Fluid-Stability,101,99,101,99,34,67,32,0.980198,0.336634,0.323232,0.663366,0.676768,0.503759,0.751880,0
overlap,classic_size_bottom_up,c02,4,14,15,2,Dynamic-Growth,99,179,99,179,14,85,94,1.808081,0.141414,0.525140,0.858586,0.474860,0.440415,0.720207,0
overlap,classic_size_bottom_up,c02,5,15,16,2,Turnover-Shrinkage,179,95,179,95,106,73,22,0.530726,0.592179,0.231579,0.407821,0.768421,0.363184,0.681592,0
overlap,classic_size_bottom_up,c02,6,16,17,2,Erosion,95,73,95,73,25,70,3,0.768421,0.263158,0.041096,0.736842,0.958904,0.714286,0.857143,0
overlap,classic_size_bottom_up,c02,7,17,19,3,Dynamic-Growth,73,88,73,88,13,60,28,1.205479,0.178082,0.318182,0.821918,0.681818,0.518868,0.732704,72.250000
overlap,classic_size_bottom_up,c03,1,16,17,2,Organic-Growth,124,148,124,148,7,117,31,1.193548,0.056452,0.209459,0.943548,0.790541,0.754839,0.877419,0
overlap,classic_size_bottom_up,c03,2,17,18,2,Erosion,148,70,148,70,81,67,3,0.472973,0.547297,0.042857,0.452703,0.957143,0.443709,0.721854,0
overlap,classic_size_bottom_up,c03,3,18,19,2,Organic-Growth,70,82,70,82,2,68,14,1.171429,0.028571,0.170732,0.971429,0.829268,0.809524,0.904762,0
overlap,classic_size_bottom_up,c04,1,14,16,3,Dynamic-Growth,53,96,53,96,26,27,69,1.811321,0.490566,0.718750,0.509434,0.281250,0.179310,0.498851,42.250000
overlap,classic_size_bottom_up,c04,2,16,19,4,Turnover-Shrinkage,96,79,96,79,30,66,13,0.822917,0.312500,0.164557,0.687500,0.835443,0.508333,0.747917,60.555556
overlap,classic_size_bottom_up,c05,1,0,1,2,Erosion,57,51,57,51,7,50,1,0.894737,0.122807,0.019608,0.877193,0.980392,0.862069,0.931034,0
