approach,identity_group,event_stage_index,event_t_start,event_t_end,event_stage_type,classic_stage_index,classic_t_start,classic_t_end,classic_stage_type,overlap_snapshot_count,same_stage_type
overlap,c01,1,16,19,Turnover-Shrinkage,1,16,17,Erosion,2,False
overlap,c01,1,16,19,Turnover-Shrinkage,2,17,19,Dynamic-Growth,3,False
overlap,c02,1,10,13,Dynamic-Growth,1,10,12,Dynamic-Growth,3,True
overlap,c02,1,10,13,Dynamic-Growth,2,12,13,Dynamic-Growth,2,True
overlap,c02,1,10,13,Dynamic-Growth,3,13,14,Fluid-Stability,1,False
overlap,c02,2,13,14,Fluid-Stability,2,12,13,Dynamic-Growth,1,False
overlap,c02,2,13,14,Fluid-Stability,3,13,14,Fluid-Stability,2,True
overlap,c02,2,13,14,Fluid-Stability,4,14,15,Dynamic-Growth,1,False
overlap,c02,3,14,15,Dynamic-Growth,3,13,14,Fluid-Stability,1,False
overlap,c02,3,14,15,Dynamic-Growth,4,14,15,Dynamic-Growth,2,True
overlap,c02,3,14,15,Dynamic-Growth,5,15,16,Turnover-Shrinkage,1,False
overlap,c02,4,15,16,Turnover-Shrinkage,4,14,15,Dynamic-Growth,1,False
overlap,c02,4,15,16,Turnover-Shrinkage,5,15,16,Turnover-Shrinkage,2,True
overlap,c02,4,15,16,Turnover-Shrinkage,6,16,17,Erosion,1,False
overlap,c02,5,16,17,Erosion,5,15,16,Turnover-Shrinkage,1,False
overlap,c02,5,16,17,Erosion,6,16,17,Erosion,2,True
overlap,c02,5,16,17,Erosion,7,17,19,Dynamic-Growth,1,False
overlap,c02,6,17,18,Fluid-Stability,6,16,17,Erosion,1,False
overlap,c02,6,17,18,Fluid-Stability,7,17,19,Dynamic-Growth,2,False
overlap,c02,7,18,19,Dynamic-Growth,7,17,19,Dynamic-Growth,2,True
overlap,c03,1,16,18,Turnover-Shrinkage,1,16,17,Organic-Growth,2,False
overlap,c03,1,16,18,Turnover-Shrinkage,2,17,18,Erosion,2,False
overlap,c03,1,16,18,Turnover-Shrinkage,3,18,19,Organic-Growth,1,False
overlap,c03,2,18,19,Organic-Growth,2,17,18,Erosion,1,False
overlap,c03,2,18,19,Organic-Growth,3,18,19,Organic-Growth,2,True
overlap,c04,1,14,15,Dynamic-Growth,1,14,16,Dynamic-Growth,2,True
overlap,c04,2,15,16,Dynamic-Growth,1,14,16,Dynamic-Growth,2,True
overlap,c04,2,15,16,Dynamic-Growth,2,16,19,Turnover-Shrinkage,1,False
overlap,c04,3,16,18,Turnover-Shrinkage,1,14,16,Dynamic-Growth,1,False
overlap,c04,3,16,18,Turnover-Shrinkage,2,16,19,Turnover-Shrinkage,3,True
overlap,c04,4,18,19,Fluid-Stability,2,16,19,Turnover-Shrinkage,2,False
overlap,c05,1,0,2,Dynamic-Growth,1,0,1,Erosion,2,False
overlap,c05,1,0,2,Dynamic-Growth,2,1,3,Dynamic-Growth,2,True
overlap,c05,2,2,7,Dynamic-Growth,2,1,3,Dynamic-Growth,2,True
overlap,c05,2,2,7,Dynamic-Growth,3,3,4,Erosion,2,False
overlap,c05,2,2,7,Dynamic-Growth,4,4,7,Dynamic-Growth,4,True
overlap,c05,2,2,7,Dynamic-Growth,5,7,10,Fluid-Stability,1,False
overlap,c05,3,7,13,Fluid-Stability,4,4,7,Dynamic-Growth,1,False
overlap,c05,3,7,13,Fluid-Stability,5,7,10,Fluid-Stability,4,True
overlap,c05,3,7,13,Fluid-Stability,6,10,15,Dynamic-Growth,4,False
overlap,c05,4,13,14,Fluid-Stability,6,10,15,Dynamic-Growth,2,False
overlap,c05,5,14,19,Turnover-Shrinkage,6,10,15,Dynamic-Growth,2,False
overlap,c05,5,14,19,Turnover-Shrinkage,7,15,16,Fluid-Stability,2,False
overlap,c05,5,14,19,Turnover-Shrinkage,8,16,18,Dynamic-Growth,3,False
overlap,c05,5,14,19,Turnover-Shrinkage,9,18,19,Turnover-Shrinkage,2,True
overlap,c06,1,18,19,Turnover-Shrinkage,1,18,19,Turnover-Shrinkage,2,True
overlap,c07,1,1,4,Dynamic-Growth,1,1,3,Fluid-Stability,3,False
overlap,c07,1,1,4,Dynamic-Growth,2,3,4,Organic-Growth,2,False
overlap,c07,1,1,4,Dynamic-Growth,3,4,8,Fluid-Stability,1,False
overlap,c07,2,4,5,Fluid-Stability,2,3,4,Organic-Growth,1,False
overlap,c07,2,4,5,Fluid-Stability,3,4,8,Fluid-Stability,2,True
overlap,c07,3,5,16,Organic-Growth,3,4,8,Fluid-Stability,4,False
overlap,c07,3,5,16,Organic-Growth,4,8,10,Organic-Growth,3,True
overlap,c07,3,5,16,Organic-Growth,5,10,11,Erosion,2,False
overlap,c07,3,5,16,Organic-Growth,6,11,12,Organic-Growth,2,True
overlap,c07,3,5,16,Organic-Growth,7,12,15,Organic-Growth,4,True
overlap,c07,3,5,16,Organic-Growth,8,15,16,Dynamic-Growth,2,False
overlap,c07,3,5,16,Organic-Growth,9,16,17,Turnover-Shrinkage,1,False
