approach,method,identity_group,stage_index,t_start,t_end,length,stage_type,start_size,end_size,global_P,global_C,global_L,global_R,global_N,global_growth,global_churn,global_revitalization,global_prosp_stability,global_retro_stability,solidity,density,segmentation_error
overlap,event_split_merge_boundaries,c01,1,16,19,4,Turnover-Shrinkage,105,93,105,93,56,49,44,0.885714,0.533333,0.473118,0.466667,0.526882,0.273885,0.590764,373.000000
overlap,event_split_merge_boundaries,c02,1,10,13,4,Dynamic-Growth,43,101,43,101,10,33,68,2.348837,0.232558,0.673267,0.767442,0.326733,0.228346,0.519685,293.555556
overlap,event_split_merge_boundaries,c02,2,13,14,2,Fluid-Stability,101,99,101,99,34,67,32,0.980198,0.336634,0.323232,0.663366,0.676768,0.503759,0.751880,0
overlap,event_split_merge_boundaries,c02,3,14,15,2,Dynamic-Growth,99,179,99,179,14,85,94,1.808081,0.141414,0.525140,0.858586,0.474860,0.440415,0.720207,0
overlap,event_split_merge_boundaries,c02,4,15,16,2,Turnover-Shrinkage,179,95,179,95,106,73,22,0.530726,0.592179,0.231579,0.407821,0.768421,0.363184,0.681592,0
overlap,event_split_merge_boundaries,c02,5,16,17,2,Erosion,95,73,95,73,25,70,3,0.768421,0.263158,0.041096,0.736842,0.958904,0.714286,0.857143,0
overlap,event_split_merge_boundaries,c02,6,17,18,2,Fluid-Stability,73,72,73,72,9,64,8,0.986301,0.123288,0.111111,0.876712,0.888889,0.790123,0.895062,0
overlap,event_split_merge_boundaries,c02,7,18,19,2,Dynamic-Growth,72,88,72,88,14,58,30,1.222222,0.194444,0.340909,0.805556,0.659091,0.568627,0.784314,0
overlap,event_split_merge_boundaries,c03,1,16,18,3,Turnover-Shrinkage,124,70,124,70,64,60,10,0.564516,0.516129,0.142857,0.483871,0.857143,0.379747,0.721519,2601.000000
overlap,event_split_merge_boundaries,c03,2,18,19,2,Organic-Growth,70,82,70,82,2,68,14,1.171429,0.028571,0.170732,0.971429,0.829268,0.809524,0.904762,0
overlap,event_split_merge_boundaries,c04,1,14,15,2,Dynamic-Growth,53,68,53,68,25,28,40,1.283019,0.471698,0.588235,0.528302,0.411765,0.301075,0.650538,0
overlap,event_split_merge_boundaries,c04,2,15,16,2,Dynamic-Growth,68,96,68,96,25,43,53,1.411765,0.367647,0.552083,0.632353,0.447917,0.355372,0.677686,0
overlap,event_split_merge_boundaries,c04,3,16,18,3,Turnover-Shrinkage,96,86,96,86,23,73,13,0.895833,0.239583,0.151163,0.760417,0.848837,0.614035,0.818713,49.000000
overlap,event_split_merge_boundaries,c04,4,18,19,2,Fluid-Stability,86,79,86,79,15,71,8,0.918605,0.174419,0.101266,0.825581,0.898734,0.755319,0.877660,0
overlap,event_split_merge_boundaries,c05,1,0,2,3,Dynamic-Growth,57,64,57,64,11,46,18,1.122807,0.192982,0.281250,0.807018,0.718750,0.600000,0.764444,90.250000
overlap,event_split_merge_boundaries,c05,2,2,7,6,Dynamic-Growth,64,83,64,83,14,50,33,1.296875,0.218750,0.397590,0.781250,0.602410,0.391304,0.615942,338.400000
overlap,event_split_merge_boundaries,c05,3,7,13,7,Fluid-Stability,83,88,83,88,16,67,21,1.060241,0.192771,0.238636,0.807229,0.761364,0.371212,0.619048,201.527778
overlap,event_split_merge_boundaries,c05,4,13,14,2,Fluid-Stability,88,85,88,85,15,73,12,0.965909,0.170455,0.141176,0.829545,0.858824,0.730000,0.865000,0
overlap,event_split_merge_boundaries,c05,5,14,19,6,Turnover-Shrinkage,85,65,85,65,44,41,24,0.764706,0.517647,0.369231,0.482353,0.630769,0.256579,0.589912,2226.000000
overlap,event_split_merge_boundaries,c06,1,18,19,2,Turnover-Shrinkage,71,61,71,61,22,49,12,0.859155,0.309859,0.196721,0.690141,0.803279,0.590361,0.795181,0
overlap,event_split_merge_boundaries,c07,1,1,4,4,Dynamic-Growth,27,51,27,51,4,23,28,1.888889,0.148148,0.549020,0.851852,0.450980,0.375000,0.598214,314.000000
overlap,event_split_merge_boundaries,c07,2,4,5,2,Fluid-Stability,51,55,51,55,24,27,28,1.078431,0.470588,0.509091,0.529412,0.490909,0.341772,0.670886,0
overlap,event_split_merge_boundaries,c07,3,5,16,12,Organic-Growth,55,94,55,94,4,51,43,1.709091,0.072727,0.457447,0.927273,0.542553,0.220339,0.481638,5968.545455
overlap,event_split_merge_boundaries,c07,4,16,17,2,Turnover-Shrinkage,94,65,94,65,36,58,7,0.691489,0.382979,0.107692,0.617021,0.892308,0.574257,0.787129,0
overlap,event_split_merge_boundaries,c07,5,17,19,3,Turnover-Shrinkage,65,53,65,53,38,27,26,0.815385,0.584615,0.490566,0.415385,0.509434,0.275510,0.673469,441.000000
overlap,event_split_merge_boundaries,c08,1,0,19,20,Fluid-Stability,47,47,47,47,15,32,15,1.000000,0.319149,0.319149,0.680851,0.680851,0.226415,0.422642,322.000000
overlap,event_split_merge_boundaries,c10,1,14,19,6,Turnover-Shrinkage,44,34,44,34,16,28,6,0.772727,0.363636,0.176471,0.636364,0.823529,0.464286,0.678571,14.000000
overlap,event_split_merge_boundaries,c12,1,0,8,9,Fluid-Stability,27,26,27,26,3,24,2,0.962963,0.111111,0.076923,0.888889,0.923077,0.285714,0.468254,1130.687500
overlap,event_split_merge_boundaries,c12,2,8,15,8,Fluid-Stability,26,27,26,27,2,24,3,1.038462,0.076923,0.111111,0.923077,0.888889,0.368421,0.535088,554.000000
overlap,event_split_merge_boundaries,c12,3,15,16,2,Dynamic-Growth,27,51,27,51,3,24,27,1.888889,0.111111,0.529412,0.888889,0.470588,0.444444,0.722222,0
overlap,event_split_merge_boundaries,c12,4,16,18,3,Turnover-Shrinkage,51,30,51,30,26,25,5,0.588235,0.509804,0.166667,0.490196,0.833333,0.446429,0.785714,110.250000
overlap,event_split_merge_boundaries,c12,5,18,19,2,Steady-Stability,30,30,30,30,1,29,1,1.000000,0.033333,0.033333,0.966667,0.966667,0.935484,0.967742,0
overlap,event_split_merge_boundaries,c13,1,17,19,3,Erosion,38,26,38,26,13,25,1,0.684211,0.342105,0.038462,0.657895,0.961538,0.589744,0.760684,49.000000
overlap,event_split_merge_boundaries,c14,1,15,19,5,Fluid-Stability,22,22,22,22,4,18,4,1.000000,0.181818,0.181818,0.818182,0.818182,0.562500,0.737500,24.000000
overlap,event_split_merge_boundaries,c16,1,18,19,2,Steady-Stability,21,19,21,19,2,19,0,0.904762,0.095238,0.000000,0.904762,1.000000,0.904762,0.952381,0
overlap,event_split_merge_boundaries,c18,1,18,19,2,Steady-Stability,4,4,4,4,0,4,0,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0
