approach,user_id,identity_group,snapshot_index,snapshot_label,observation_id
overlap,23,c05,0,days_0_50,OVL-C0006
overlap,30,c05,0,days_0_50,OVL-C0006
overlap,52,c05,0,days_0_50,OVL-C0006
overlap,77,c05,0,days_0_50,OVL-C0006
overlap,104,c05,0,days_0_50,OVL-C0006
overlap,111,c05,0,days_0_50,OVL-C0006
overlap,112,c05,0,days_0_50,OVL-C0006
overlap,126,c05,0,days_0_50,OVL-C0006
overlap,133,c05,0,days_0_50,OVL-C0006
overlap,166,c05,0,days_0_50,OVL-C0006
overlap,168,c05,0,days_0_50,OVL-C0006
overlap,186,c05,0,days_0_50,OVL-C0006
overlap,209,c05,0,days_0_50,OVL-C0006
overlap,232,c05,0,days_0_50,OVL-C0006
overlap,240,c05,0,days_0_50,OVL-C0006
overlap,256,c05,0,days_0_50,OVL-C0006
overlap,260,c05,0,days_0_50,OVL-C0006
overlap,267,c05,0,days_0_50,OVL-C0006
overlap,276,c05,0,days_0_50,OVL-C0006
overlap,294,c05,0,days_0_50,OVL-C0006
overlap,305,c05,0,days_0_50,OVL-C0006
overlap,313,c05,0,days_0_50,OVL-C0006
overlap,356,c05,0,days_0_50,OVL-C0006
overlap,392,c05,0,days_0_50,OVL-C0006
overlap,416,c05,0,days_0_50,OVL-C0006
overlap,439,c05,0,days_0_50,OVL-C0006
overlap,447,c05,0,days_0_50,OVL-C0006
overlap,459,c05,0,days_0_50,OVL-C0006
overlap,472,c05,0,days_0_50,OVL-C0006
overlap,478,c05,0,days_0_50,OVL-C0006
overlap,479,c05,0,days_0_50,OVL-C0006
overlap,517,c05,0,days_0_50,OVL-C0006
overlap,556,c05,0,days_0_50,OVL-C0006
overlap,557,c05,0,days_0_50,OVL-C0006
overlap,564,c05,0,days_0_50,OVL-C0006
overlap,573,c05,0,days_0_50,OVL-C0006
overlap,574,c05,0,days_0_50,OVL-C0006
overlap,575,c05,0,days_0_50,OVL-C0006
overlap,586,c05,0,days_0_50,OVL-C0006
overlap,602,c05,0,days_0_50,OVL-C0006
overlap,648,c05,0,days_0_50,OVL-C0006
overlap,674,c05,0,days_0_50,OVL-C0006
overlap,694,c05,0,days_0_50,OVL-C0006
overlap,743,c05,0,days_0_50,OVL-C0006
overlap,759,c05,0,days_0_50,OVL-C0006
overlap,762,c05,0,days_0_50,OVL-C0006
overlap,765,c05,0,days_0_50,OVL-C0006
overlap,803,c05,0,days_0_50,OVL-C0006
overlap,845,c05,0,days_0_50,OVL-C0006
overlap,859,c05,0,days_0_50,OVL-C0006
overlap,868,c05,0,days_0_50,OVL-C0006
overlap,869,c05,0,days_0_50,OVL-C0006
overlap,885,c05,0,days_0_50,OVL-C0006
overlap,889,c05,0,days_0_50,OVL-C0006
overlap,912,c05,0,days_0_50,OVL-C0006
overlap,944,c05,0,days_0_50,OVL-C0006
overlap,984,c05,0,days_0_50,OVL-C0006
overlap,28,c08,0,days_0_50,OVL-C0009
overlap,34,c08,0,days_0_50,OVL-C0009
overlap,56,c08,0,days_0_50,OVL-C0009
overlap,68,c08,0,days_0_50,OVL-C0009
overlap,95,c08,0,days_0_50,OVL-C0009
overlap,176,c08,0,days_0_50,OVL-C0009
overlap,205,c08,0,days_0_50,OVL-C0009
overlap,231,c08,0,days_0_50,OVL-C0009
overlap,245,c08,0,days_0_50,OVL-C0009
overlap,251,c08,0,days_0_50,OVL-C0009
overlap,264,c08,0,days_0_50,OVL-C0009
overlap,269,c08,0,days_0_50,OVL-C0009
overlap,311,c08,0,days_0_50,OVL-C0009
overlap,329,c08,0,days_0_50,OVL-C0009
overlap,338,c08,0,days_0_50,OVL-C0009
overlap,350,c08,0,days_0_50,OVL-C0009
overlap,361,c08,0,days_0_50,OVL-C0009
overlap,364,c08,0,days_0_50,OVL-C0009
overlap,427,c08,0,days_0_50,OVL-C0009
overlap,432,c08,0,days_0_50,OVL-C0009
overlap,433,c08,0,days_0_50,OVL-C0009
overlap,511,c08,0,days_0_50,OVL-C0009
overlap,531,c08,0,days_0_50,OVL-C0009
overlap,540,c08,0,days_0_50,OVL-C0009
overlap,582,c08,0,days_0_50,OVL-C0009
overlap,588,c08,0,days_0_50,OVL-C0009
overlap,624,c08,0,days_0_50,OVL-C0009
overlap,641,c08,0,days_0_50,OVL-C0009
overlap,690,c08,0,days_0_50,OVL-C0009
overlap,697,c08,0,days_0_50,OVL-C0009
overlap,698,c08,0,days_0_50,OVL-C0009
overlap,734,c08,0,days_0_50,OVL-C0009
overlap,764,c08,0,days_0_50,OVL-C0009
overlap,773,c08,0,days_0_50,OVL-C0009
overlap,809,c08,0,days_0_50,OVL-C0009
overlap,819,c08,0,days_0_50,OVL-C0009
overlap,836,c08,0,days_0_50,OVL-C0009
overlap,840,c08,0,days_0_50,OVL-C0009
overlap,855,c08,0,days_0_50,OVL-C0009
overlap,872,c08,0,days_0_50,OVL-C0009
overlap,873,c08,0,days_0_50,OVL-C0009
overlap,925,c08,0,days_0_50,OVL-C0009
overlap,955,c08,0,days_0_50,OVL-C0009
overlap,960,c08,0,days_0_50,OVL-C0009
overlap,987,c08,0,days_0_50,OVL-C0009
overlap,994,c08,0,days_0_50,OVL-C0009
overlap,997,c08,0,days_0_50,OVL-C0009
overlap,25,c12,0,days_0_50,OVL-C0012
overlap,41,c12,0,days_0_50,OVL-C0012
overlap,44,c12,0,days_0_50,OVL-C0012
overlap,48,c12,0,days_0_50,OVL-C0012
overlap,73,c12,0,days_0_50,OVL-C0012
overlap,216,c12,0,days_0_50,OVL-C0012
overlap,318,c12,0,days_0_50,OVL-C0012
overlap,319,c12,0,days_0_50,OVL-C0012
overlap,321,c12,0,days_0_50,OVL-C0012
overlap,366,c12,0,days_0_50,OVL-C0012
overlap,386,c12,0,days_0_50,OVL-C0012
overlap,434,c12,0,days_0_50,OVL-C0012
overlap,458,c12,0,days_0_50,OVL-C0012
overlap,481,c12,0,days_0_50,OVL-C0012
overlap,499,c12,0,days_0_50,OVL-C0012
overlap,558,c12,0,days_0_50,OVL-C0012
overlap,565,c12,0,days_0_50,OVL-C0012
overlap,618,c12,0,days_0_50,OVL-C0012
overlap,672,c12,0,days_0_50,OVL-C0012
overlap,679,c12,0,days_0_50,OVL-C0012
overlap,684,c12,0,days_0_50,OVL-C0012
overlap,704,c12,0,days_0_50,OVL-C0012
overlap,723,c12,0,days_0_50,OVL-C0012
overlap,758,c12,0,days_0_50,OVL-C0012
overlap,844,c12,0,days_0_50,OVL-C0012
overlap,918,c12,0,days_0_50,OVL-C0012
overlap,956,c12,0,days_0_50,OVL-C0012
overlap,9,c05,1,days_25_75,OVL-C0107
overlap,23,c05,1,days_25_75,OVL-C0107
overlap,30,c05,1,days_25_75,OVL-C0107
overlap,52,c05,1,days_25_75,OVL-C0107
overlap,77,c05,1,days_25_75,OVL-C0107
overlap,104,c05,1,days_25_75,OVL-C0107
overlap,111,c05,1,days_25_75,OVL-C0107
