approach,identity_group,snapshot_index,snapshot_label,observation_id,member_count
overlap,c01,16,days_400_450,OVL-C1602,105
overlap,c01,17,days_425_475,OVL-C1704,83
overlap,c01,18,days_450_500,OVL-C1802,90
overlap,c01,19,days_475_525,OVL-C1901,93
overlap,c02,10,days_250_300,OVL-C1008,43
overlap,c02,11,days_275_325,OVL-C1106,52
overlap,c02,12,days_300_350,OVL-C1205,68
overlap,c02,13,days_325_375,OVL-C1301,101
overlap,c02,14,days_350_400,OVL-C1401,99
overlap,c02,15,days_375_425,OVL-C1501,179
overlap,c02,16,days_400_450,OVL-C1604,95
overlap,c02,17,days_425_475,OVL-C1705,73
overlap,c02,18,days_450_500,OVL-C1805,72
overlap,c02,19,days_475_525,OVL-C1902,88
overlap,c03,16,days_400_450,OVL-C1601,124
overlap,c03,17,days_425_475,OVL-C1701,148
overlap,c03,18,days_450_500,OVL-C1807,70
overlap,c03,19,days_475_525,OVL-C1903,82
overlap,c04,14,days_350_400,OVL-C1407,53
overlap,c04,15,days_375_425,OVL-C1503,68
overlap,c04,16,days_400_450,OVL-C1603,96
overlap,c04,17,days_425_475,OVL-C1702,98
overlap,c04,18,days_450_500,OVL-C1803,86
overlap,c04,19,days_475_525,OVL-C1904,79
overlap,c05,0,days_0_50,OVL-C0006,57
overlap,c05,1,days_25_75,OVL-C0107,51
overlap,c05,2,days_50_100,OVL-C0206,64
overlap,c05,3,days_75_125,OVL-C0302,78
overlap,c05,4,days_100_150,OVL-C0406,61
overlap,c05,5,days_125_175,OVL-C0504,68
overlap,c05,6,days_150_200,OVL-C0604,71
overlap,c05,7,days_175_225,OVL-C0704,83
overlap,c05,8,days_200_250,OVL-C0803,83
overlap,c05,9,days_225_275,OVL-C0903,79
overlap,c05,10,days_250_300,OVL-C1003,75
overlap,c05,11,days_275_325,OVL-C1103,79
overlap,c05,12,days_300_350,OVL-C1202,85
overlap,c05,13,days_325_375,OVL-C1303,88
overlap,c05,14,days_350_400,OVL-C1402,85
overlap,c05,15,days_375_425,OVL-C1502,97
overlap,c05,16,days_400_450,OVL-C1606,90
overlap,c05,17,days_425_475,OVL-C1703,97
overlap,c05,18,days_450_500,OVL-C1801,104
overlap,c05,19,days_475_525,OVL-C1905,65
overlap,c06,18,days_450_500,OVL-C1806,71
overlap,c06,19,days_475_525,OVL-C1906,61
overlap,c07,1,days_25_75,OVL-C0112,27
overlap,c07,2,days_50_100,OVL-C0213,30
overlap,c07,3,days_75_125,OVL-C0312,26
overlap,c07,4,days_100_150,OVL-C0407,51
overlap,c07,5,days_125_175,OVL-C0506,55
overlap,c07,6,days_150_200,OVL-C0606,55
overlap,c07,7,days_175_225,OVL-C0707,53
overlap,c07,8,days_200_250,OVL-C0807,49
overlap,c07,9,days_225_275,OVL-C0907,55
overlap,c07,10,days_250_300,OVL-C1005,63
overlap,c07,11,days_275_325,OVL-C1110,31
overlap,c07,12,days_300_350,OVL-C1208,51
overlap,c07,13,days_325_375,OVL-C1307,58
overlap,c07,14,days_350_400,OVL-C1406,60
overlap,c07,15,days_375_425,OVL-C1506,58
overlap,c07,16,days_400_450,OVL-C1605,94
overlap,c07,17,days_425_475,OVL-C1706,65
overlap,c07,18,days_450_500,OVL-C1804,80
overlap,c07,19,days_475_525,OVL-C1907,53
overlap,c08,0,days_0_50,OVL-C0009,47
overlap,c08,1,days_25_75,OVL-C0109,45
overlap,c08,2,days_50_100,OVL-C0209,41
overlap,c08,3,days_75_125,OVL-C0308,48
overlap,c08,4,days_100_150,OVL-C0408,45
overlap,c08,5,days_125_175,OVL-C0507,52
overlap,c08,6,days_150_200,OVL-C0609,48
overlap,c08,7,days_175_225,OVL-C0709,47
overlap,c08,8,days_200_250,OVL-C0809,44
overlap,c08,9,days_225_275,OVL-C0909,41
overlap,c08,10,days_250_300,OVL-C1009,36
