approach,method,stage_type,stage_count
cumulative,classic_size_bottom_up,Dynamic-Growth,6
cumulative,classic_size_bottom_up,Erosion,6
cumulative,classic_size_bottom_up,Fluid-Stability,6
cumulative,classic_size_bottom_up,Organic-Growth,13
cumulative,classic_size_bottom_up,Steady-Stability,9
cumulative,classic_size_bottom_up,Turnover-Shrinkage,3
cumulative,event_split_merge_boundaries,Dynamic-Growth,7
cumulative,event_split_merge_boundaries,Erosion,4
cumulative,event_split_merge_boundaries,Fluid-Stability,5
cumulative,event_split_merge_boundaries,Organic-Growth,9
cumulative,event_split_merge_boundaries,Steady-Stability,2
cumulative,event_split_merge_boundaries,Turnover-Shrinkage,3
interval,classic_size_bottom_up,Dynamic-Growth,11
interval,classic_size_bottom_up,Erosion,3
interval,classic_size_bottom_up,Fluid-Stability,8
interval,classic_size_bottom_up,Organic-Growth,1
interval,classic_size_bottom_up,Turnover-Shrinkage,6
interval,event_split_merge_boundaries,Dynamic-Growth,7
interval,event_split_merge_boundaries,Erosion,1
interval,event_split_merge_boundaries,Fluid-Stability,5
interval,event_split_merge_boundaries,Organic-Growth,1
interval,event_split_merge_boundaries,Turnover-Shrinkage,8
overlap,classic_size_bottom_up,Dynamic-Growth,13
overlap,classic_size_bottom_up,Erosion,11
overlap,classic_size_bottom_up,Fluid-Stability,8
overlap,classic_size_bottom_up,Organic-Growth,12
overlap,classic_size_bottom_up,Steady-Stability,4
overlap,classic_size_bottom_up,Turnover-Shrinkage,9
overlap,event_split_merge_boundaries,Dynamic-Growth,9
overlap,event_split_merge_boundaries,Erosion,2
overlap,event_split_merge_boundaries,Fluid-Stability,10
overlap,event_split_merge_boundaries,Organic-Growth,2
overlap,event_split_merge_boundaries,Steady-Stability,3
overlap,event_split_merge_boundaries,Turnover-Shrinkage,10
