approach,event_id,event_type,from_snapshot,to_snapshot,source_local_ids,source_observation_ids,target_local_ids,target_observation_ids,source_count,target_count,overlap_sizes,jaccard_scores,prospective_stabilities,retrospective_stabilities,relation_qualifiers
cumulative,CUM-E0001,birth,,0,,,0,CUM-C0001,0,1,,,,,
cumulative,CUM-E0002,birth,,0,,,1,CUM-C0002,0,1,,,,,
cumulative,CUM-E0003,birth,,0,,,2,CUM-C0003,0,1,,,,,
cumulative,CUM-E0004,birth,,0,,,3,CUM-C0004,0,1,,,,,
cumulative,CUM-E0005,birth,,0,,,4,CUM-C0005,0,1,,,,,
cumulative,CUM-E0006,birth,,0,,,5,CUM-C0006,0,1,,,,,
cumulative,CUM-E0007,birth,,0,,,6,CUM-C0007,0,1,,,,,
cumulative,CUM-E0008,birth,,0,,,7,CUM-C0008,0,1,,,,,
cumulative,CUM-E0009,birth,,0,,,8,CUM-C0009,0,1,,,,,
cumulative,CUM-E0010,birth,,0,,,9,CUM-C0010,0,1,,,,,
cumulative,CUM-E0011,birth,,0,,,10,CUM-C0011,0,1,,,,,
cumulative,CUM-E0012,birth,,0,,,11,CUM-C0012,0,1,,,,,
cumulative,CUM-E0013,birth,,0,,,12,CUM-C0013,0,1,,,,,
cumulative,CUM-E0014,birth,,0,,,13,CUM-C0014,0,1,,,,,
cumulative,CUM-E0015,birth,,0,,,14,CUM-C0015,0,1,,,,,
cumulative,CUM-E0016,split,0,1,3,CUM-C0004,10;5,CUM-C0111;CUM-C0106,1,2,29;31,0.475410;0.364706,0.475410;0.508197,1.000000;0.563636,both;both
cumulative,CUM-E0017,split,0,1,9,CUM-C0010,8;0,CUM-C0109;CUM-C0101,1,2,17;19,0.288136;0.105556,0.386364;0.431818,0.531250;0.122581,retrospective;prospective
cumulative,CUM-E0018,merge,0,1,2;4;9,CUM-C0003;CUM-C0005;CUM-C0010,0,CUM-C0101,3,1,58;27;19,0.367089;0.143617;0.105556,0.950820;0.450000;0.431818,0.374194;0.174194;0.122581,prospective;prospective;prospective
cumulative,CUM-E0019,merge,0,1,0;14,CUM-C0001;CUM-C0015,1,CUM-C0102,2,1,80;6,0.579710;0.055556,0.727273;1.000000,0.740741;0.055556,both;prospective
cumulative,CUM-E0020,merge,0,1,7;10,CUM-C0008;CUM-C0011,2,CUM-C0103,2,1,41;23,0.445652;0.264368,0.820000;0.851852,0.493976;0.277108,both;prospective
cumulative,CUM-E0021,merge,0,1,5;13,CUM-C0006;CUM-C0014,3,CUM-C0104,2,1,57;10,0.750000;0.131579,1.000000;1.000000,0.750000;0.131579,both;prospective
cumulative,CUM-E0022,continuation,0,1,1,CUM-C0002,4,CUM-C0105,1,1,68,0.653846,0.680000,0.944444,both
