from_snapshot,to_snapshot,source_observation_id,target_observation_id,source_identity_group,target_identity_group,overlap_size,source_overlap_pct,target_overlap_pct,jaccard
0,1,CUM-C0001,CUM-C0101,c05,c01,2,0.018182,0.012903,0.007605
0,1,CUM-C0001,CUM-C0102,c05,c05,80,0.727273,0.740741,0.579710
0,1,CUM-C0001,CUM-C0103,c05,c03,11,0.100000,0.132530,0.060440
0,1,CUM-C0001,CUM-C0109,c05,dead-CUM-C0109,12,0.109091,0.375000,0.092308
0,1,CUM-C0001,CUM-C0110,c05,dead-CUM-C0110,5,0.045455,0.156250,0.036496
0,1,CUM-C0002,CUM-C0101,c04,c01,30,0.300000,0.193548,0.133333
0,1,CUM-C0002,CUM-C0105,c04,c04,68,0.680000,0.944444,0.653846
0,1,CUM-C0002,CUM-C0107,c04,c08,1,0.010000,0.019608,0.006667
0,1,CUM-C0002,CUM-C0108,c04,dead-CUM-C0007,1,0.010000,0.025641,0.007246
0,1,CUM-C0003,CUM-C0101,dead-CUM-C0003,c01,58,0.950820,0.374194,0.367089
0,1,CUM-C0003,CUM-C0104,dead-CUM-C0003,c02,1,0.016393,0.013158,0.007353
0,1,CUM-C0004,CUM-C0101,dead-CUM-C0004,c01,1,0.016393,0.006452,0.004651
0,1,CUM-C0004,CUM-C0106,dead-CUM-C0004,dead-CUM-C0004,31,0.508197,0.563636,0.364706
0,1,CUM-C0004,CUM-C0111,dead-CUM-C0004,c06,29,0.475410,1.000000,0.475410
0,1,CUM-C0005,CUM-C0101,dead-CUM-C0005,c01,27,0.450000,0.174194,0.143617
0,1,CUM-C0005,CUM-C0102,dead-CUM-C0005,c05,3,0.050000,0.027778,0.018182
0,1,CUM-C0005,CUM-C0106,dead-CUM-C0005,dead-CUM-C0004,18,0.300000,0.327273,0.185567
0,1,CUM-C0005,CUM-C0109,dead-CUM-C0005,dead-CUM-C0109,1,0.016667,0.031250,0.010989
0,1,CUM-C0005,CUM-C0110,dead-CUM-C0005,dead-CUM-C0110,11,0.183333,0.343750,0.135802
0,1,CUM-C0006,CUM-C0104,c02,c02,57,1.000000,0.750000,0.750000
0,1,CUM-C0007,CUM-C0101,dead-CUM-C0007,c01,7,0.140000,0.045161,0.035354
0,1,CUM-C0007,CUM-C0102,dead-CUM-C0007,c05,1,0.020000,0.009259,0.006369
0,1,CUM-C0007,CUM-C0108,dead-CUM-C0007,dead-CUM-C0007,31,0.620000,0.794872,0.534483
0,1,CUM-C0007,CUM-C0110,dead-CUM-C0007,dead-CUM-C0110,11,0.220000,0.343750,0.154930
0,1,CUM-C0008,CUM-C0101,c03,c01,2,0.040000,0.012903,0.009852
0,1,CUM-C0008,CUM-C0102,c03,c05,3,0.060000,0.027778,0.019355
0,1,CUM-C0008,CUM-C0103,c03,c03,41,0.820000,0.493976,0.445652
0,1,CUM-C0008,CUM-C0108,c03,dead-CUM-C0007,3,0.060000,0.076923,0.034884
0,1,CUM-C0008,CUM-C0109,c03,dead-CUM-C0109,1,0.020000,0.031250,0.012346
0,1,CUM-C0009,CUM-C0102,c08,c05,1,0.021277,0.009259,0.006494
0,1,CUM-C0009,CUM-C0107,c08,c08,45,0.957447,0.882353,0.849057
0,1,CUM-C0009,CUM-C0110,c08,dead-CUM-C0110,1,0.021277,0.031250,0.012821
0,1,CUM-C0010,CUM-C0101,dead-CUM-C0010,c01,19,0.431818,0.122581,0.105556
0,1,CUM-C0010,CUM-C0102,dead-CUM-C0010,c05,1,0.022727,0.009259,0.006623
