observation_id,overlapped_identity_groups,overlapped_group_count
CUM-C0001,c01;c03;c05;dead-CUM-C0109;dead-CUM-C0110,5
CUM-C0002,c01;c04;c08;dead-CUM-C0007,4
CUM-C0003,c01;c02,2
CUM-C0004,c01;c06;dead-CUM-C0004,3
CUM-C0005,c01;c05;dead-CUM-C0004;dead-CUM-C0109;dead-CUM-C0110,5
CUM-C0006,c02,1
CUM-C0007,c01;c05;dead-CUM-C0007;dead-CUM-C0110,4
CUM-C0008,c01;c03;c05;dead-CUM-C0007;dead-CUM-C0109,5
CUM-C0009,c05;c08;dead-CUM-C0110,3
CUM-C0010,c01;c02;c04;c05;c08;dead-CUM-C0004;dead-CUM-C0007;dead-CUM-C0109,8
CUM-C0011,c01;c03;c05;c08,4
CUM-C0012,c09,1
CUM-C0013,dead-CUM-C0013,1
CUM-C0014,c02,1
CUM-C0015,c05,1
CUM-C0101,c01;c02;c03;c04;c05;dead-CUM-C0003;dead-CUM-C0004;dead-CUM-C0005;dead-CUM-C0007;dead-CUM-C0010;dead-CUM-C0011;dead-CUM-C0109,12
CUM-C0102,c01;c03;c04;c05;c08;dead-CUM-C0005;dead-CUM-C0007;dead-CUM-C0010;dead-CUM-C0011;dead-CUM-C0015;dead-CUM-C0109;dead-CUM-C0212,12
CUM-C0103,c03;c05;dead-CUM-C0011;dead-CUM-C0109;dead-CUM-C0213,5
CUM-C0104,c01;c02;dead-CUM-C0003;dead-CUM-C0010;dead-CUM-C0014;dead-CUM-C0109,6
CUM-C0105,c03;c04;c08;dead-CUM-C0010,4
CUM-C0106,c01;dead-CUM-C0004;dead-CUM-C0005;dead-CUM-C0010,4
CUM-C0107,c01;c04;c08;dead-CUM-C0007;dead-CUM-C0010;dead-CUM-C0011,6
CUM-C0108,c01;c03;c04;dead-CUM-C0007;dead-CUM-C0010,5
CUM-C0109,c03;c05;dead-CUM-C0005;dead-CUM-C0010;dead-CUM-C0109,5
CUM-C0110,c01;c05;c08;dead-CUM-C0005;dead-CUM-C0007,5
CUM-C0111,c06;dead-CUM-C0004,2
CUM-C0112,c09,1
CUM-C0113,dead-CUM-C0013;dead-CUM-C0109,2
CUM-C0201,c01;c02;c04;c05;c08;dead-CUM-C0004;dead-CUM-C0007;dead-CUM-C0109;dead-CUM-C0110,9
CUM-C0202,c01;c03;c04;c05;c08;dead-CUM-C0109;dead-CUM-C0312,7
CUM-C0203,c01;c02;c03;c05;c08;dead-CUM-C0109,6
CUM-C0204,c01;c02,2
CUM-C0205,c01;c02;c03;c05;dead-CUM-C0013;dead-CUM-C0109,6
CUM-C0206,c03;c04;c05;dead-CUM-C0109,4
CUM-C0207,c01;c04;c05;c08;dead-CUM-C0004;dead-CUM-C0007;dead-CUM-C0110,7
CUM-C0208,c01;c06;dead-CUM-C0004;dead-CUM-C0109,4
CUM-C0209,c04;c05;c08,3
CUM-C0210,c09,1
CUM-C0211,c06,1
CUM-C0212,c05;dead-CUM-C0212,2
CUM-C0213,c03,1
CUM-C0301,c01;c03;c08;dead-CUM-C0004;dead-CUM-C0007;dead-CUM-C0109;dead-CUM-C0412,7
CUM-C0302,c01;c02;c03;c04;c05;c08;dead-CUM-C0109;dead-CUM-C0212,8
CUM-C0303,c01;c02;c05;dead-CUM-C0109,4
CUM-C0304,c03;c04;c05;dead-CUM-C0213,4
CUM-C0305,c01;c02;c03;c04;c05;dead-CUM-C0004;dead-CUM-C0109;dead-CUM-C0411;dead-CUM-C0412,9
CUM-C0306,c01;c03;c04;c08;dead-CUM-C0007,5
CUM-C0307,c01;c03;c08;dead-CUM-C0007,4
CUM-C0308,c01;c06;c11;dead-CUM-C0004;dead-CUM-C0007,5
CUM-C0309,c03;c05;c08,3
CUM-C0310,c06;dead-CUM-C0004,2
CUM-C0311,c09,1
CUM-C0312,c03;c08;c11,3
CUM-C0313,c05;dead-CUM-C0212,2
CUM-C0401,c01;c02;c04;c05;c08;dead-CUM-C0007;dead-CUM-C0109,7
CUM-C0402,c01;c03;c05;c07;c14;dead-CUM-C0109;dead-CUM-C0212,7
CUM-C0403,c01;c02;c03;c04;c05;dead-CUM-C0007;dead-CUM-C0109;dead-CUM-C0312,8
CUM-C0404,c01;c02;c03;c05;c07;dead-CUM-C0007;dead-CUM-C0109,7
CUM-C0405,c02;c03;c04;c05,4
CUM-C0406,c06;dead-CUM-C0004,2
CUM-C0407,c01;c02;c04;dead-CUM-C0007,4
CUM-C0408,c01;c03;c05;c08;dead-CUM-C0007;dead-CUM-C0312,6
CUM-C0409,c09,1
CUM-C0410,c11;dead-CUM-C0004;dead-CUM-C0312,3
CUM-C0411,c07;dead-CUM-C0109,2
CUM-C0412,c01;c07;dead-CUM-C0109,3
CUM-C0501,c01;c02;c05;c06;c08,5
CUM-C0502,c02;c03;c04;c05;c08,5
CUM-C0503,c01;c02;c03;c04;dead-CUM-C0007,5
CUM-C0504,c02;c05;c07;c10;c14;dead-CUM-C0411;dead-CUM-C0412,7
