identity_group,final_observation_id,snapshot_index,snapshot_label,local_id,size,nodes_json
c01,CUM-C1001,10,days_0_526,0,238,"[4, 8, 11, 26, 32, 34, 36, 39, 40, 47, 49, 53, 54, 58, 60, 63, 65, 72, 75, 79, 81, 82, 83, 86, 90, 93, 108, 116, 120, 135, 137, 138, 143, 144, 146, 151, 152, 155, 159, 161, 179, 185, 187, 191, 193, 194, 196, 197, 198, 203, 205, 211, 212, 213, 214, 220, 221, 229, 233, 235, 244, 248, 253, 254, 271, 272, 283, 290, 292, 300, 304, 306, 307, 315, 317, 326, 330, 334, 348, 352, 362, 367, 371, 374, 379, 380, 383, 389, 390, 394, 397, 398, 400, 405, 413, 430, 438, 441, 443, 450, 456, 462, 466, 471, 476, 483, 488, 492, 495, 496, 523, 525, 528, 533, 544, 546, 549, 550, 554, 566, 568, 571, 572, 578, 580, 581, 587, 589, 591, 594, 596, 607, 609, 613, 617, 619, 623, 625, 626, 627, 628, 633, 637, 640, 642, 651, 659, 660, 661, 662, 665, 668, 669, 671, 673, 675, 677, 678, 687, 692, 695, 696, 701, 703, 712, 714, 720, 728, 734, 739, 741, 742, 746, 752, 757, 763, 768, 769, 771, 772, 775, 776, 784, 787, 791, 798, 802, 805, 807, 813, 816, 818, 827, 830, 833, 834, 835, 848, 852, 860, 863, 864, 865, 867, 870, 871, 875, 882, 887, 890, 900, 901, 909, 910, 914, 922, 923, 930, 932, 935, 936, 937, 938, 940, 941, 942, 960, 962, 965, 970, 973, 975, 981, 983, 992, 993, 995, 997]"
c02,CUM-C1002,10,days_0_526,1,122,"[2, 9, 20, 21, 23, 30, 37, 43, 45, 52, 57, 66, 74, 77, 80, 94, 100, 104, 109, 110, 111, 112, 119, 121, 126, 128, 133, 166, 168, 177, 182, 186, 204, 209, 210, 218, 227, 232, 240, 256, 260, 266, 267, 276, 287, 294, 305, 313, 328, 332, 340, 356, 384, 392, 412, 416, 425, 435, 439, 447, 459, 465, 472, 475, 478, 490, 500, 517, 521, 539, 545, 556, 557, 560, 564, 567, 573, 574, 575, 586, 598, 602, 648, 655, 674, 689, 694, 699, 700, 721, 730, 743, 744, 751, 756, 759, 762, 765, 782, 790, 794, 803, 812, 814, 825, 845, 859, 868, 869, 885, 889, 908, 912, 944, 946, 948, 949, 961, 974, 984, 986, 998]"
c03,CUM-C1003,10,days_0_526,2,118,"[0, 6, 16, 18, 19, 55, 59, 61, 71, 78, 89, 99, 101, 114, 115, 127, 130, 145, 149, 162, 169, 178, 184, 189, 195, 225, 228, 237, 243, 246, 249, 259, 265, 279, 281, 293, 295, 296, 312, 314, 325, 333, 339, 345, 359, 365, 372, 377, 393, 403, 404, 407, 409, 410, 423, 426, 436, 452, 453, 455, 457, 470, 479, 502, 519, 522, 527, 536, 538, 569, 579, 593, 595, 599, 605, 615, 621, 635, 681, 690, 693, 705, 708, 710, 711, 716, 718, 724, 729, 732, 749, 754, 767, 777, 779, 781, 785, 786, 793, 843, 858, 861, 862, 866, 876, 878, 883, 884, 896, 904, 905, 907, 916, 929, 934, 976, 991, 999]"
c04,CUM-C1004,10,days_0_526,3,85,"[1, 22, 38, 42, 46, 50, 64, 69, 70, 76, 84, 88, 91, 96, 97, 102, 106, 125, 132, 139, 154, 164, 172, 174, 206, 223, 239, 247, 273, 282, 299, 309, 310, 322, 323, 324, 337, 343, 346, 368, 376, 388, 399, 402, 420, 460, 474, 477, 487, 489, 498, 501, 505, 509, 510, 524, 534, 548, 559, 562, 583, 601, 603, 612, 622, 634, 638, 649, 663, 676, 706, 735, 740, 788, 822, 832, 842, 853, 879, 893, 906, 919, 939, 943, 951]"
c05,CUM-C1005,10,days_0_526,4,80,"[10, 13, 14, 103, 105, 131, 153, 158, 173, 199, 222, 252, 270, 303, 331, 378, 382, 395, 396, 411, 418, 419, 437, 442, 461, 467, 497, 506, 508, 514, 516, 532, 541, 576, 597, 611, 616, 639, 644, 650, 653, 654, 657, 666, 682, 702, 719, 738, 745, 747, 760, 761, 778, 780, 783, 801, 804, 820, 826, 828, 837, 839, 850, 856, 881, 903, 911, 921, 924, 928, 945, 950, 967, 969, 977, 979, 982, 996, 1001, 1004]"
c06,CUM-C1006,10,days_0_526,5,76,"[3, 24, 35, 51, 87, 141, 148, 160, 167, 181, 188, 190, 202, 207, 241, 274, 280, 286, 288, 301, 353, 360, 373, 387, 391, 408, 414, 421, 424, 431, 445, 451, 469, 484, 486, 493, 507, 512, 526, 530, 547, 552, 561, 570, 585, 610, 614, 629, 630, 631, 643, 645, 656, 658, 667, 685, 709, 750, 773, 795, 817, 824, 841, 846, 847, 851, 891, 894, 902, 920, 954, 957, 964, 978, 988, 989]"
c07,CUM-C1007,10,days_0_526,6,69,"[5, 7, 29, 31, 67, 98, 107, 117, 118, 134, 150, 165, 175, 183, 192, 201, 208, 226, 236, 257, 262, 268, 275, 278, 289, 291, 297, 320, 327, 335, 344, 358, 381, 385, 401, 415, 429, 440, 446, 449, 454, 464, 468, 473, 491, 504, 537, 553, 592, 652, 664, 670, 683, 688, 707, 713, 726, 737, 808, 810, 811, 849, 880, 898, 899, 963, 980, 985, 1003]"
c08,CUM-C1008,10,days_0_526,7,56,"[28, 33, 56, 68, 95, 170, 176, 219, 231, 242, 245, 251, 264, 269, 311, 329, 338, 350, 361, 364, 375, 427, 432, 433, 448, 480, 482, 511, 531, 540, 582, 588, 606, 624, 632, 641, 697, 698, 733, 736, 764, 789, 796, 809, 815, 819, 836, 840, 855, 872, 873, 874, 925, 955, 987, 994]"
c09,CUM-C1009,10,days_0_526,8,33,"[25, 41, 44, 48, 73, 85, 216, 318, 319, 321, 366, 386, 434, 458, 481, 499, 503, 558, 565, 600, 618, 672, 679, 684, 704, 723, 753, 758, 844, 918, 956, 1000, 1002]"
c10,CUM-C1010,10,days_0_526,9,30,"[62, 113, 124, 163, 250, 263, 369, 444, 485, 513, 515, 518, 535, 542, 551, 604, 646, 691, 722, 770, 799, 800, 821, 823, 854, 886, 895, 913, 927, 968]"
