identity_group,status,birth_snapshot,last_snapshot,lifespan_snapshots,observation_ids,observation_count
c01,alive,1,10,10,CUM-C0101=CUM-C0201=CUM-C0301=CUM-C0401=CUM-C0501=CUM-C0601=CUM-C0701=CUM-C0801=CUM-C0901=CUM-C1001,10
c02,alive,0,10,11,CUM-C0006=CUM-C0104=CUM-C0204=CUM-C0303=CUM-C0404=CUM-C0503=CUM-C0603=CUM-C0703=CUM-C0803=CUM-C0902=CUM-C1002,11
c03,alive,0,10,11,CUM-C0008=CUM-C0103=CUM-C0202=CUM-C0304=CUM-C0403=CUM-C0502=CUM-C0602=CUM-C0702=CUM-C0802=CUM-C0903=CUM-C1003,11
c04,alive,0,10,11,CUM-C0002=CUM-C0105=CUM-C0206=CUM-C0306=CUM-C0405=CUM-C0505=CUM-C0604=CUM-C0704=CUM-C0804=CUM-C0905=CUM-C1004,11
c05,alive,0,10,11,CUM-C0001=CUM-C0102=CUM-C0203=CUM-C0302=CUM-C0402=CUM-C0506=CUM-C0605=CUM-C0708=CUM-C0805=CUM-C0904=CUM-C1005,11
c06,alive,1,10,10,CUM-C0111=CUM-C0211=CUM-C0310=CUM-C0406=CUM-C0508=CUM-C0607=CUM-C0705=CUM-C0806=CUM-C0906=CUM-C1006,10
c07,alive,5,10,6,CUM-C0504=CUM-C0608=CUM-C0707=CUM-C0808=CUM-C0907=CUM-C1007,6
c08,alive,0,10,11,CUM-C0009=CUM-C0107=CUM-C0209=CUM-C0309=CUM-C0408=CUM-C0509=CUM-C0609=CUM-C0709=CUM-C0810=CUM-C0908=CUM-C1008,11
c09,alive,0,10,11,CUM-C0012=CUM-C0112=CUM-C0210=CUM-C0311=CUM-C0409=CUM-C0510=CUM-C0610=CUM-C0710=CUM-C0809=CUM-C0909=CUM-C1009,11
c10,alive,6,10,5,CUM-C0612=CUM-C0711=CUM-C0812=CUM-C0912=CUM-C1010,5
c11,alive,4,10,7,CUM-C0410=CUM-C0511=CUM-C0611=CUM-C0712=CUM-C0811=CUM-C0913=CUM-C1011,7
c12,alive,9,10,2,CUM-C0911=CUM-C1012,2
c13,alive,9,10,2,CUM-C0914=CUM-C1013,2
c14,alive,5,10,6,CUM-C0512=CUM-C0613=CUM-C0713=CUM-C0813=CUM-C0915=CUM-C1014,6
c15,alive,10,10,1,CUM-C1015,1
dead-CUM-C0003,dead,0,0,1,CUM-C0003,1
dead-CUM-C0004,dead,0,3,4,CUM-C0004=CUM-C0106=CUM-C0208=CUM-C0308,4
dead-CUM-C0005,dead,0,0,1,CUM-C0005,1
dead-CUM-C0007,dead,0,8,9,CUM-C0007=CUM-C0108=CUM-C0207=CUM-C0307=CUM-C0407=CUM-C0507=CUM-C0606=CUM-C0706=CUM-C0807,9
dead-CUM-C0010,dead,0,0,1,CUM-C0010,1
dead-CUM-C0011,dead,0,0,1,CUM-C0011,1
dead-CUM-C0013,dead,0,1,2,CUM-C0013=CUM-C0113,2
dead-CUM-C0014,dead,0,0,1,CUM-C0014,1
dead-CUM-C0015,dead,0,0,1,CUM-C0015,1
dead-CUM-C0109,dead,1,3,3,CUM-C0109=CUM-C0205=CUM-C0305,3
dead-CUM-C0110,dead,1,1,1,CUM-C0110,1
dead-CUM-C0212,dead,2,3,2,CUM-C0212=CUM-C0313,2
dead-CUM-C0213,dead,2,2,1,CUM-C0213,1
dead-CUM-C0312,dead,3,3,1,CUM-C0312,1
dead-CUM-C0411,dead,4,4,1,CUM-C0411,1
dead-CUM-C0412,dead,4,4,1,CUM-C0412,1
dead-CUM-C0910,dead,9,9,1,CUM-C0910,1
