approach,snapshot_index,local_id,observation_id,decision,from_snapshot,from_local_id,from_observation_id,overlap_size,jaccard,prospective_stability,retrospective_stability,candidate_parent_local_ids,candidate_parent_observation_ids
cumulative,1,0,CUM-C0101,new,,,,,,,,2;1;4;9;6;7;0;10;3,CUM-C0003;CUM-C0002;CUM-C0005;CUM-C0010;CUM-C0007;CUM-C0008;CUM-C0001;CUM-C0011;CUM-C0004
cumulative,1,1,CUM-C0102,inherited,0,0,CUM-C0001,80,0.579710,0.727273,0.740741,0;14;7;4;10;9;8;6,CUM-C0001;CUM-C0015;CUM-C0008;CUM-C0005;CUM-C0011;CUM-C0010;CUM-C0009;CUM-C0007
cumulative,1,2,CUM-C0103,inherited,0,7,CUM-C0008,41,0.445652,0.820000,0.493976,7;10;0,CUM-C0008;CUM-C0011;CUM-C0001
cumulative,1,3,CUM-C0104,inherited,0,5,CUM-C0006,57,0.750000,1.000000,0.750000,5;13;9;2,CUM-C0006;CUM-C0014;CUM-C0010;CUM-C0003
cumulative,1,4,CUM-C0105,inherited,0,1,CUM-C0002,68,0.653846,0.680000,0.944444,1;9,CUM-C0002;CUM-C0010
cumulative,1,5,CUM-C0106,inherited,0,3,CUM-C0004,31,0.364706,0.508197,0.563636,3;4;9,CUM-C0004;CUM-C0005;CUM-C0010
cumulative,1,6,CUM-C0107,inherited,0,8,CUM-C0009,45,0.849057,0.957447,0.882353,8;10;9;1,CUM-C0009;CUM-C0011;CUM-C0010;CUM-C0002
cumulative,1,7,CUM-C0108,inherited,0,6,CUM-C0007,31,0.534483,0.620000,0.794872,6;7;9;1,CUM-C0007;CUM-C0008;CUM-C0010;CUM-C0002
cumulative,1,8,CUM-C0109,new,,,,,,,,9;0;7;4,CUM-C0010;CUM-C0001;CUM-C0008;CUM-C0005
cumulative,1,9,CUM-C0110,new,,,,,,,,6;4;0;8,CUM-C0007;CUM-C0005;CUM-C0001;CUM-C0009
cumulative,1,10,CUM-C0111,new,,,,,,,,3,CUM-C0004
cumulative,1,11,CUM-C0112,inherited,0,11,CUM-C0012,27,0.931034,1.000000,0.931034,11,CUM-C0012
cumulative,1,12,CUM-C0113,inherited,0,12,CUM-C0013,24,1.000000,1.000000,1.000000,12,CUM-C0013
cumulative,2,0,CUM-C0201,inherited,1,0,CUM-C0101,137,0.702564,0.883871,0.774011,0;9;7;1;6;5;3,CUM-C0101;CUM-C0110;CUM-C0108;CUM-C0102;CUM-C0107;CUM-C0106;CUM-C0104
cumulative,2,1,CUM-C0202,inherited,1,2,CUM-C0103,74,0.685185,0.891566,0.747475,2;0;1;8;4,CUM-C0103;CUM-C0101;CUM-C0102;CUM-C0109;CUM-C0105
cumulative,2,2,CUM-C0203,inherited,1,1,CUM-C0102,76,0.690909,0.703704,0.974359,1;2;0,CUM-C0102;CUM-C0103;CUM-C0101
cumulative,2,3,CUM-C0204,inherited,1,3,CUM-C0104,74,0.925000,0.973684,0.948718,3;0,CUM-C0104;CUM-C0101
cumulative,2,4,CUM-C0205,inherited,1,8,CUM-C0109,31,0.407895,0.968750,0.413333,8;12;1;2;0;3,CUM-C0109;CUM-C0113;CUM-C0102;CUM-C0103;CUM-C0101;CUM-C0104
cumulative,2,5,CUM-C0206,inherited,1,4,CUM-C0105,70,0.921053,0.972222,0.945946,4;1,CUM-C0105;CUM-C0102
cumulative,2,6,CUM-C0207,inherited,1,7,CUM-C0108,35,0.573770,0.897436,0.614035,7;9;0;6;1,CUM-C0108;CUM-C0110;CUM-C0101;CUM-C0107;CUM-C0102
cumulative,2,7,CUM-C0208,inherited,1,5,CUM-C0106,53,0.946429,0.963636,0.981481,5;0,CUM-C0106;CUM-C0101
cumulative,2,8,CUM-C0209,inherited,1,6,CUM-C0107,46,0.851852,0.901961,0.938776,6;1;4,CUM-C0107;CUM-C0102;CUM-C0105
cumulative,2,9,CUM-C0210,inherited,1,11,CUM-C0112,29,0.935484,1.000000,0.935484,11,CUM-C0112
cumulative,2,10,CUM-C0211,inherited,1,10,CUM-C0111,29,0.966667,1.000000,0.966667,10,CUM-C0111
cumulative,2,11,CUM-C0212,new,,,,,,,,1,CUM-C0102
cumulative,2,12,CUM-C0213,new,,,,,,,,2,CUM-C0103
cumulative,3,0,CUM-C0301,inherited,2,0,CUM-C0201,163,0.890710,0.920904,0.964497,0;7;6;4;1,CUM-C0201;CUM-C0208;CUM-C0207;CUM-C0205;CUM-C0202
cumulative,3,1,CUM-C0302,inherited,2,2,CUM-C0203,75,0.750000,0.961538,0.773196,2;0;4;1;11;8;5,CUM-C0203;CUM-C0201;CUM-C0205;CUM-C0202;CUM-C0212;CUM-C0209;CUM-C0206
cumulative,3,2,CUM-C0303,inherited,2,3,CUM-C0204,78,0.917647,1.000000,0.917647,3;4;2,CUM-C0204;CUM-C0205;CUM-C0203
cumulative,3,3,CUM-C0304,inherited,2,1,CUM-C0202,67,0.620370,0.676768,0.881579,1;12;5,CUM-C0202;CUM-C0213;CUM-C0206
cumulative,3,4,CUM-C0305,inherited,2,4,CUM-C0205,66,0.804878,0.880000,0.904110,4;0;7;5;2,CUM-C0205;CUM-C0201;CUM-C0208;CUM-C0206;CUM-C0203
cumulative,3,5,CUM-C0306,inherited,2,5,CUM-C0206,69,0.896104,0.932432,0.958333,5;8;6;0,CUM-C0206;CUM-C0209;CUM-C0207;CUM-C0201
cumulative,3,6,CUM-C0307,inherited,2,6,CUM-C0207,54,0.843750,0.947368,0.885246,6;0,CUM-C0207;CUM-C0201
cumulative,3,7,CUM-C0308,inherited,2,7,CUM-C0208,51,0.910714,0.944444,0.962264,7;6;0,CUM-C0208;CUM-C0207;CUM-C0201
cumulative,3,8,CUM-C0309,inherited,2,8,CUM-C0209,47,0.903846,0.959184,0.940000,8;1;2,CUM-C0209;CUM-C0202;CUM-C0203
cumulative,3,9,CUM-C0310,inherited,2,10,CUM-C0211,30,0.967742,1.000000,0.967742,10;7,CUM-C0211;CUM-C0208
cumulative,3,10,CUM-C0311,inherited,2,9,CUM-C0210,31,1.000000,1.000000,1.000000,9,CUM-C0210
cumulative,3,11,CUM-C0312,new,,,,,,,,1,CUM-C0202
cumulative,3,12,CUM-C0313,inherited,2,11,CUM-C0212,6,0.600000,0.857143,0.666667,11,CUM-C0212
cumulative,4,0,CUM-C0401,inherited,3,0,CUM-C0301,164,0.901099,0.970414,0.926554,0;4;1;2;6,CUM-C0301;CUM-C0305;CUM-C0302;CUM-C0303;CUM-C0307
cumulative,4,1,CUM-C0402,inherited,3,1,CUM-C0302,76,0.546763,0.783505,0.644068,1;4;12;3,CUM-C0302;CUM-C0305;CUM-C0313;CUM-C0304
cumulative,4,2,CUM-C0403,inherited,3,3,CUM-C0304,68,0.571429,0.894737,0.612613,3;11;1;6;5;4;0,CUM-C0304;CUM-C0312;CUM-C0302;CUM-C0307;CUM-C0306;CUM-C0305;CUM-C0301
cumulative,4,3,CUM-C0404,inherited,3,2,CUM-C0303,83,0.838384,0.976471,0.855670,2;1;4,CUM-C0303;CUM-C0302;CUM-C0305
cumulative,4,4,CUM-C0405,inherited,3,5,CUM-C0306,71,0.922078,0.986111,0.934211,5;3;1,CUM-C0306;CUM-C0304;CUM-C0302
cumulative,4,5,CUM-C0406,inherited,3,9,CUM-C0310,31,0.516667,1.000000,0.516667,9;7,CUM-C0310;CUM-C0308
cumulative,4,6,CUM-C0407,inherited,3,6,CUM-C0307,57,0.904762,0.934426,0.966102,6;0,CUM-C0307;CUM-C0301
cumulative,4,7,CUM-C0408,inherited,3,8,CUM-C0309,50,0.909091,1.000000,0.909091,8;11;6;1;0,CUM-C0309;CUM-C0312;CUM-C0307;CUM-C0302;CUM-C0301
cumulative,4,8,CUM-C0409,inherited,3,10,CUM-C0311,31,1.000000,1.000000,1.000000,10,CUM-C0311
cumulative,4,9,CUM-C0410,new,,,,,,,,7;11,CUM-C0308;CUM-C0312
cumulative,4,10,CUM-C0411,new,,,,,,,,4,CUM-C0305
cumulative,4,11,CUM-C0412,new,,,,,,,,4;0,CUM-C0305;CUM-C0301
cumulative,5,0,CUM-C0501,inherited,4,0,CUM-C0401,169,0.884817,0.954802,0.923497,0;1;7;3,CUM-C0401;CUM-C0402;CUM-C0408;CUM-C0404
cumulative,5,1,CUM-C0502,inherited,4,2,CUM-C0403,104,0.912281,0.936937,0.971963,2;7;3;1,CUM-C0403;CUM-C0408;CUM-C0404;CUM-C0402
cumulative,5,2,CUM-C0503,inherited,4,3,CUM-C0404,92,0.884615,0.948454,0.929293,3;6;4;2,CUM-C0404;CUM-C0407;CUM-C0405;CUM-C0403
cumulative,5,3,CUM-C0504,new,,,,,,,,1;10;11;3,CUM-C0402;CUM-C0411;CUM-C0412;CUM-C0404
cumulative,5,4,CUM-C0505,inherited,4,4,CUM-C0405,74,0.925000,0.973684,0.948718,4;6;2;0,CUM-C0405;CUM-C0407;CUM-C0403;CUM-C0401
cumulative,5,5,CUM-C0506,inherited,4,1,CUM-C0402,66,0.515625,0.559322,0.868421,1;2;0;7;4,CUM-C0402;CUM-C0403;CUM-C0401;CUM-C0408;CUM-C0405
cumulative,5,6,CUM-C0507,inherited,4,6,CUM-C0407,57,0.890625,0.966102,0.919355,6;0;3,CUM-C0407;CUM-C0401;CUM-C0404
cumulative,5,7,CUM-C0508,inherited,4,5,CUM-C0406,60,0.967742,1.000000,0.967742,5,CUM-C0406
cumulative,5,8,CUM-C0509,inherited,4,7,CUM-C0408,51,0.894737,0.927273,0.962264,7;0,CUM-C0408;CUM-C0401
cumulative,5,9,CUM-C0510,inherited,4,8,CUM-C0409,31,1.000000,1.000000,1.000000,8,CUM-C0409
cumulative,5,10,CUM-C0511,inherited,4,9,CUM-C0410,27,1.000000,1.000000,1.000000,9,CUM-C0410
cumulative,5,11,CUM-C0512,new,,,,,,,,1,CUM-C0402
cumulative,6,0,CUM-C0601,inherited,5,0,CUM-C0501,170,0.894737,0.928962,0.960452,0;5;10;2,CUM-C0501;CUM-C0506;CUM-C0511;CUM-C0503
cumulative,6,1,CUM-C0602,inherited,5,1,CUM-C0502,101,0.918182,0.943925,0.971154,1;5,CUM-C0502;CUM-C0506
cumulative,6,2,CUM-C0603,inherited,5,2,CUM-C0503,98,0.942308,0.989899,0.951456,2;3;0,CUM-C0503;CUM-C0504;CUM-C0501
cumulative,6,3,CUM-C0604,inherited,5,4,CUM-C0505,77,0.905882,0.987179,0.916667,4;1;5,CUM-C0505;CUM-C0502;CUM-C0506
cumulative,6,4,CUM-C0605,inherited,5,5,CUM-C0506,65,0.730337,0.855263,0.833333,5;0;3,CUM-C0506;CUM-C0501;CUM-C0504
cumulative,6,5,CUM-C0606,inherited,5,6,CUM-C0507,61,0.938462,0.983871,0.953125,6;4,CUM-C0507;CUM-C0505
cumulative,6,6,CUM-C0607,inherited,5,7,CUM-C0508,62,0.968750,1.000000,0.968750,7;0,CUM-C0508;CUM-C0501
cumulative,6,7,CUM-C0608,inherited,5,3,CUM-C0504,59,0.662921,0.686047,0.951613,3;6;5,CUM-C0504;CUM-C0507;CUM-C0506
cumulative,6,8,CUM-C0609,inherited,5,8,CUM-C0509,53,0.946429,1.000000,0.946429,8;5;1,CUM-C0509;CUM-C0506;CUM-C0502
cumulative,6,9,CUM-C0610,inherited,5,9,CUM-C0510,31,1.000000,1.000000,1.000000,9,CUM-C0510
cumulative,6,10,CUM-C0611,inherited,5,10,CUM-C0511,26,0.896552,0.962963,0.928571,10,CUM-C0511
cumulative,6,11,CUM-C0612,new,,,,,,,,3,CUM-C0504
cumulative,6,12,CUM-C0613,inherited,5,11,CUM-C0512,7,0.875000,1.000000,0.875000,11;3,CUM-C0512;CUM-C0504
cumulative,7,0,CUM-C0701,inherited,6,0,CUM-C0601,171,0.846535,0.966102,0.872449,0;4;5;3;1,CUM-C0601;CUM-C0605;CUM-C0606;CUM-C0604;CUM-C0602
cumulative,7,1,CUM-C0702,inherited,6,1,CUM-C0602,102,0.836066,0.980769,0.850000,1;3;10;7;4,CUM-C0602;CUM-C0604;CUM-C0611;CUM-C0608;CUM-C0605
cumulative,7,2,CUM-C0703,inherited,6,2,CUM-C0603,103,0.927928,1.000000,0.927928,2;7;0,CUM-C0603;CUM-C0608;CUM-C0601
cumulative,7,3,CUM-C0704,inherited,6,3,CUM-C0604,76,0.737864,0.904762,0.800000,3;4;5,CUM-C0604;CUM-C0605;CUM-C0606
cumulative,7,4,CUM-C0705,inherited,6,6,CUM-C0607,64,0.955224,1.000000,0.955224,6;8,CUM-C0607;CUM-C0609
cumulative,7,5,CUM-C0706,inherited,6,5,CUM-C0606,59,0.867647,0.921875,0.936508,5;7;1,CUM-C0606;CUM-C0608;CUM-C0602
cumulative,7,6,CUM-C0707,inherited,6,7,CUM-C0608,58,0.906250,0.935484,0.966667,7;4,CUM-C0608;CUM-C0605
cumulative,7,7,CUM-C0708,inherited,6,4,CUM-C0605,51,0.614458,0.653846,0.910714,4;0,CUM-C0605;CUM-C0601
cumulative,7,8,CUM-C0709,inherited,6,8,CUM-C0609,55,0.982143,0.982143,1.000000,8,CUM-C0609
