identity_group,birth_events,continuation_events,split_events,merge_events,death_events,split_count,merge_count
c01,,CUM-E0040;CUM-E0040;CUM-E0054;CUM-E0054;CUM-E0064;CUM-E0064;CUM-E0075;CUM-E0075;CUM-E0086;CUM-E0086,CUM-E0017;CUM-E0099;CUM-E0099;CUM-E0112;CUM-E0112;CUM-E0113;CUM-E0126,CUM-E0018;CUM-E0030;CUM-E0030;CUM-E0107;CUM-E0115;CUM-E0115;CUM-E0127;CUM-E0127,,7,8
c02,CUM-E0006,CUM-E0031;CUM-E0031;CUM-E0042;CUM-E0042;CUM-E0057;CUM-E0057;CUM-E0066;CUM-E0066;CUM-E0077;CUM-E0077;CUM-E0088;CUM-E0088;CUM-E0101;CUM-E0101;CUM-E0116;CUM-E0116;CUM-E0128;CUM-E0128,,CUM-E0021;CUM-E0021,,0,2
c03,CUM-E0008,CUM-E0065;CUM-E0065;CUM-E0076;CUM-E0076;CUM-E0087;CUM-E0087;CUM-E0100;CUM-E0100;CUM-E0117;CUM-E0117;CUM-E0129;CUM-E0129,CUM-E0029;CUM-E0029;CUM-E0039;CUM-E0039,CUM-E0020;CUM-E0020;CUM-E0043;CUM-E0043;CUM-E0056;CUM-E0056,,4,6
c04,CUM-E0002,CUM-E0022;CUM-E0022;CUM-E0033;CUM-E0033;CUM-E0045;CUM-E0045;CUM-E0058;CUM-E0058;CUM-E0068;CUM-E0068;CUM-E0078;CUM-E0078;CUM-E0089;CUM-E0089;CUM-E0102;CUM-E0102;CUM-E0119;CUM-E0119;CUM-E0130;CUM-E0130,,,,0,0
c05,CUM-E0001,CUM-E0041;CUM-E0041;CUM-E0079;CUM-E0079;CUM-E0093;CUM-E0093;CUM-E0103;CUM-E0103;CUM-E0118;CUM-E0118;CUM-E0131;CUM-E0131,CUM-E0028;CUM-E0028;CUM-E0063;CUM-E0063,CUM-E0019;CUM-E0019;CUM-E0055;CUM-E0055;CUM-E0067,,4,5
c06,,CUM-E0038;CUM-E0038;CUM-E0049;CUM-E0049;CUM-E0070;CUM-E0070;CUM-E0081;CUM-E0081;CUM-E0090;CUM-E0090;CUM-E0104;CUM-E0104;CUM-E0120;CUM-E0120;CUM-E0132;CUM-E0132,CUM-E0016;CUM-E0053,CUM-E0059;CUM-E0059,,2,2
c07,,CUM-E0092;CUM-E0092;CUM-E0106;CUM-E0106;CUM-E0121;CUM-E0121;CUM-E0133;CUM-E0133,CUM-E0063;CUM-E0074;CUM-E0074,CUM-E0067,,3,1
c08,CUM-E0009,CUM-E0023;CUM-E0023;CUM-E0036;CUM-E0036;CUM-E0048;CUM-E0048;CUM-E0061;CUM-E0061;CUM-E0071;CUM-E0071;CUM-E0082;CUM-E0082;CUM-E0094;CUM-E0094;CUM-E0108;CUM-E0108;CUM-E0122;CUM-E0122;CUM-E0134;CUM-E0134,,,,0,0
c09,CUM-E0012,CUM-E0026;CUM-E0026;CUM-E0037;CUM-E0037;CUM-E0050;CUM-E0050;CUM-E0062;CUM-E0062;CUM-E0072;CUM-E0072;CUM-E0083;CUM-E0083;CUM-E0095;CUM-E0095;CUM-E0135;CUM-E0135,CUM-E0099;CUM-E0114;CUM-E0114,CUM-E0107;CUM-E0107,,3,2
c10,,CUM-E0096;CUM-E0096;CUM-E0110;CUM-E0110;CUM-E0123;CUM-E0123;CUM-E0136;CUM-E0136,CUM-E0074,,,1,0
c11,,CUM-E0073;CUM-E0073;CUM-E0084;CUM-E0084;CUM-E0097;CUM-E0097;CUM-E0109;CUM-E0109;CUM-E0124;CUM-E0124;CUM-E0137;CUM-E0137,CUM-E0053,,,1,0
c12,,CUM-E0138;CUM-E0138,CUM-E0114,,,1,0
c13,,CUM-E0139;CUM-E0139,CUM-E0113,,,1,0
c14,,CUM-E0085;CUM-E0085;CUM-E0098;CUM-E0098;CUM-E0111;CUM-E0111;CUM-E0125;CUM-E0125;CUM-E0140;CUM-E0140,CUM-E0063,,,1,0
c15,,,CUM-E0126,,,1,0
dead-CUM-C0003,CUM-E0003,,,CUM-E0018,,0,1
dead-CUM-C0004,CUM-E0004,CUM-E0035;CUM-E0035;CUM-E0047;CUM-E0047,CUM-E0016;CUM-E0016;CUM-E0053,CUM-E0059,,3,1
dead-CUM-C0005,CUM-E0005,,,CUM-E0018,,0,1
dead-CUM-C0007,CUM-E0007,CUM-E0024;CUM-E0024;CUM-E0034;CUM-E0034;CUM-E0046;CUM-E0046;CUM-E0060;CUM-E0060;CUM-E0069;CUM-E0069;CUM-E0080;CUM-E0080;CUM-E0091;CUM-E0091;CUM-E0105;CUM-E0105,CUM-E0113,CUM-E0115,,1,1
dead-CUM-C0010,CUM-E0010,,CUM-E0017,CUM-E0018,,1,1
dead-CUM-C0011,CUM-E0011,,,CUM-E0020,,0,1
dead-CUM-C0013,CUM-E0013,CUM-E0027;CUM-E0027,,CUM-E0032,,0,1
dead-CUM-C0014,CUM-E0014,,,CUM-E0021,,0,1
dead-CUM-C0015,CUM-E0015,,,CUM-E0019,,0,1
dead-CUM-C0109,,CUM-E0044;CUM-E0044,CUM-E0017;CUM-E0052,CUM-E0032;CUM-E0032,,2,2
dead-CUM-C0110,CUM-E0025,,,CUM-E0030,,0,1
dead-CUM-C0212,,CUM-E0051;CUM-E0051,CUM-E0028,CUM-E0055,,1,1
dead-CUM-C0213,,,CUM-E0029,CUM-E0043,,1,1
dead-CUM-C0312,,,CUM-E0039,CUM-E0056,,1,1
dead-CUM-C0411,,,CUM-E0052,CUM-E0067,,1,1
dead-CUM-C0412,,,CUM-E0052,CUM-E0067,,1,1
dead-CUM-C0910,,,CUM-E0112;CUM-E0126,CUM-E0127,,2,1
