approach,event_id,event_type,from_snapshot,to_snapshot,source_local_ids,source_observation_ids,target_local_ids,target_observation_ids,source_count,target_count,overlap_sizes,jaccard_scores,prospective_stabilities,retrospective_stabilities,relation_qualifiers
interval,INT-E0001,birth,,0,,,0,INT-C0001,0,1,,,,,
interval,INT-E0002,birth,,0,,,1,INT-C0002,0,1,,,,,
interval,INT-E0003,birth,,0,,,2,INT-C0003,0,1,,,,,
interval,INT-E0004,birth,,0,,,3,INT-C0004,0,1,,,,,
interval,INT-E0005,birth,,0,,,4,INT-C0005,0,1,,,,,
interval,INT-E0006,birth,,0,,,5,INT-C0006,0,1,,,,,
interval,INT-E0007,birth,,0,,,6,INT-C0007,0,1,,,,,
interval,INT-E0008,birth,,0,,,7,INT-C0008,0,1,,,,,
interval,INT-E0009,birth,,0,,,8,INT-C0009,0,1,,,,,
interval,INT-E0010,birth,,0,,,9,INT-C0010,0,1,,,,,
interval,INT-E0011,birth,,0,,,10,INT-C0011,0,1,,,,,
interval,INT-E0012,birth,,0,,,11,INT-C0012,0,1,,,,,
interval,INT-E0013,birth,,0,,,12,INT-C0013,0,1,,,,,
interval,INT-E0014,birth,,0,,,13,INT-C0014,0,1,,,,,
interval,INT-E0015,birth,,0,,,14,INT-C0015,0,1,,,,,
interval,INT-E0016,split,0,1,0,INT-C0001,0;13,INT-C0101;INT-C0114,1,2,65;11,0.515873;0.094828,0.590909;0.100000,0.802469;0.647059,both;retrospective
interval,INT-E0017,split,0,1,3,INT-C0004,12;6,INT-C0113;INT-C0107,1,2,29;29,0.467742;0.337209,0.475410;0.475410,0.966667;0.537037,both;both
interval,INT-E0018,continuation,0,1,4,INT-C0005,1,INT-C0102,1,1,31,0.287037,0.516667,0.392405,prospective
interval,INT-E0019,continuation,0,1,1,INT-C0002,2,INT-C0103,1,1,64,0.609524,0.640000,0.927536,both
interval,INT-E0020,merge,0,1,2;14,INT-C0003;INT-C0015,3,INT-C0104,2,1,44;6,0.511628;0.086957,0.721311;1.000000,0.637681;0.086957,both;prospective
interval,INT-E0021,merge,0,1,9;12,INT-C0010;INT-C0013,4,INT-C0105,2,1,26;20,0.305882;0.281690,0.590909;0.833333,0.388060;0.298507,prospective;prospective
interval,INT-E0022,merge,0,1,5;13,INT-C0006;INT-C0014,5,INT-C0106,2,1,46;8,0.613333;0.121212,0.807018;0.800000,0.718750;0.125000,both;prospective
interval,INT-E0023,continuation,0,1,7,INT-C0008,7,INT-C0108,1,1,27,0.360000,0.540000,0.519231,both
interval,INT-E0024,continuation,0,1,8,INT-C0009,8,INT-C0109,1,1,36,0.692308,0.765957,0.878049,both
interval,INT-E0025,continuation,0,1,11,INT-C0012,9,INT-C0110,1,1,25,0.625000,0.925926,0.657895,both
interval,INT-E0026,continuation,0,1,6,INT-C0007,10,INT-C0111,1,1,27,0.465517,0.540000,0.771429,both
interval,INT-E0027,continuation,0,1,10,INT-C0011,11,INT-C0112,1,1,23,0.638889,0.851852,0.718750,both
interval,INT-E0028,split,1,2,3,INT-C0104,1;13,INT-C0202;INT-C0214,1,2,43;4,0.352459;0.057143,0.623188;0.057971,0.447917;0.800000,both;retrospective
interval,INT-E0029,split,1,2,4,INT-C0105,10;11,INT-C0211;INT-C0212,1,2,19;18,0.260274;0.253521,0.283582;0.268657,0.760000;0.818182,retrospective;retrospective
interval,INT-E0030,death,1,2,13,INT-C0114,,,1,0,,,,,
interval,INT-E0031,continuation,1,2,1,INT-C0102,0,INT-C0201,1,1,53,0.420635,0.670886,0.530000,both
interval,INT-E0032,merge,1,2,3;10,INT-C0104;INT-C0111,1,INT-C0202,2,1,43;19,0.352459;0.169643,0.623188;0.542857,0.447917;0.197917,both;prospective
interval,INT-E0033,continuation,1,2,2,INT-C0103,2,INT-C0203,1,1,58,0.591837,0.840580,0.666667,both
interval,INT-E0034,continuation,1,2,0,INT-C0101,3,INT-C0204,1,1,61,0.616162,0.753086,0.772152,both
interval,INT-E0035,merge,1,2,11;7,INT-C0112;INT-C0108,4,INT-C0205,2,1,25;24,0.301205;0.230769,0.781250;0.461538,0.328947;0.315789,prospective;prospective
interval,INT-E0036,continuation,1,2,5,INT-C0106,5,INT-C0206,1,1,49,0.644737,0.765625,0.803279,both
interval,INT-E0037,continuation,1,2,12,INT-C0113,6,INT-C0207,1,1,25,0.446429,0.833333,0.490196,both
interval,INT-E0038,continuation,1,2,8,INT-C0109,7,INT-C0208,1,1,35,0.686275,0.853659,0.777778,both
interval,INT-E0039,continuation,1,2,6,INT-C0107,8,INT-C0209,1,1,26,0.472727,0.481481,0.962963,both
interval,INT-E0040,continuation,1,2,9,INT-C0110,9,INT-C0210,1,1,23,0.560976,0.605263,0.884615,both
interval,INT-E0041,birth,1,2,,,12,INT-C0213,0,1,,,,,
interval,INT-E0042,split,2,3,4,INT-C0205,1;9,INT-C0302;INT-C0310,1,2,44;22,0.328358;0.278481,0.578947;0.289474,0.431373;0.880000,both;retrospective
interval,INT-E0043,split,2,3,6,INT-C0207,5;10,INT-C0306;INT-C0311,1,2,28;18,0.358974;0.315789,0.549020;0.352941,0.509091;0.750000,both;retrospective
interval,INT-E0044,split,2,3,12,INT-C0213,11;12,INT-C0312;INT-C0313,1,2,6;3,0.230769;0.136364,0.285714;0.142857,0.545455;0.750000,retrospective;retrospective
interval,INT-E0045,merge,2,3,2;0;11,INT-C0203;INT-C0201;INT-C0212,0,INT-C0301,3,1,52;52;18,0.273684;0.256158;0.113208,0.597701;0.520000;0.818182,0.335484;0.335484;0.116129,prospective;prospective;prospective
interval,INT-E0046,continuation,2,3,1,INT-C0202,2,INT-C0303,1,1,54,0.435484,0.562500,0.658537,both
interval,INT-E0047,continuation,2,3,5,INT-C0206,3,INT-C0304,1,1,56,0.736842,0.918033,0.788732,both
interval,INT-E0048,continuation,2,3,3,INT-C0204,4,INT-C0305,1,1,36,0.363636,0.455696,0.642857,both
interval,INT-E0049,merge,2,3,8;6,INT-C0209;INT-C0207,5,INT-C0306,2,1,23;28,0.389831;0.358974,0.851852;0.549020,0.418182;0.509091,both;both
interval,INT-E0050,continuation,2,3,10,INT-C0211,6,INT-C0307,1,1,19,0.333333,0.760000,0.372549,prospective
interval,INT-E0051,continuation,2,3,9,INT-C0210,7,INT-C0308,1,1,24,0.480000,0.923077,0.500000,both
interval,INT-E0052,continuation,2,3,7,INT-C0208,8,INT-C0309,1,1,39,0.722222,0.866667,0.812500,both
interval,INT-E0053,continuation,2,3,13,INT-C0214,13,INT-C0314,1,1,3,0.500000,0.600000,0.750000,both
interval,INT-E0054,split,3,4,0,INT-C0301,4;13;7,INT-C0405;INT-C0414;INT-C0408,1,3,45;18;18,0.267857;0.113924;0.099448,0.290323;0.116129;0.116129,0.775862;0.857143;0.409091,retrospective;retrospective;retrospective
interval,INT-E0055,death,3,4,1,INT-C0302,,,1,0,,,,,
interval,INT-E0056,split,3,4,2,INT-C0303,5;3;11,INT-C0406;INT-C0404;INT-C0412,1,3,32;25;13,0.323232;0.210084;0.136842,0.390244;0.304878;0.158537,0.653061;0.403226;0.500000,retrospective;retrospective;retrospective
interval,INT-E0057,split,3,4,6,INT-C0307,7;1,INT-C0408;INT-C0402,1,2,18;23,0.233766;0.167883,0.352941;0.450980,0.409091;0.211009,retrospective;prospective
interval,INT-E0058,split,3,4,7,INT-C0308,10;12,INT-C0411;INT-C0413,1,2,23;18,0.450980;0.346154,0.479167;0.375000,0.884615;0.818182,both;retrospective
interval,INT-E0059,continuation,3,4,9,INT-C0310,0,INT-C0401,1,1,23,0.207207,0.920000,0.211009,prospective
interval,INT-E0060,merge,3,4,4;6,INT-C0305;INT-C0307,1,INT-C0402,2,1,46;23,0.386555;0.167883,0.821429;0.450980,0.422018;0.211009,both;prospective
interval,INT-E0061,merge,3,4,3;11,INT-C0304;INT-C0312,2,INT-C0403,2,1,64;6,0.711111;0.068182,0.901408;0.545455,0.771084;0.072289,both;prospective
interval,INT-E0062,merge,3,4,2;12,INT-C0303;INT-C0313,5,INT-C0406,2,1,32;4,0.323232;0.081633,0.390244;1.000000,0.653061;0.081633,retrospective;prospective
interval,INT-E0063,continuation,3,4,5,INT-C0306,6,INT-C0407,1,1,45,0.762712,0.818182,0.918367,both
interval,INT-E0064,merge,3,4,6;0,INT-C0307;INT-C0301,7,INT-C0408,2,1,18;18,0.233766;0.099448,0.352941;0.116129,0.409091;0.409091,retrospective;retrospective
interval,INT-E0065,continuation,3,4,8,INT-C0309,8,INT-C0409,1,1,38,0.703704,0.791667,0.863636,both
interval,INT-E0066,merge,3,4,10;13,INT-C0311;INT-C0314,9,INT-C0410,2,1,18;3,0.382979;0.071429,0.750000;0.750000,0.439024;0.073171,both;prospective
interval,INT-E0067,birth,3,4,,,14,INT-C0415,0,1,,,,,
interval,INT-E0068,split,4,5,1,INT-C0402,6;5,INT-C0507;INT-C0506,1,2,40;27,0.336134;0.200000,0.366972;0.247706,0.800000;0.509434,retrospective;retrospective
interval,INT-E0069,split,4,5,3,INT-C0404,12;7,INT-C0513;INT-C0508,1,2,19;20,0.275362;0.235294,0.306452;0.322581,0.730769;0.465116,retrospective;retrospective
interval,INT-E0070,split,4,5,5,INT-C0406,7;10,INT-C0508;INT-C0511,1,2,19;15,0.260274;0.238095,0.387755;0.306122,0.441860;0.517241,retrospective;retrospective
interval,INT-E0071,split,4,5,9,INT-C0410,9;15,INT-C0510;INT-C0516,1,2,24;3,0.470588;0.073171,0.585366;0.073171,0.705882;1.000000,both;retrospective
interval,INT-E0072,continuation,4,5,11,INT-C0412,0,INT-C0501,1,1,15,0.159574,0.576923,0.180723,prospective
interval,INT-E0073,continuation,4,5,0,INT-C0401,1,INT-C0502,1,1,51,0.375000,0.467890,0.653846,both
interval,INT-E0074,continuation,4,5,2,INT-C0403,2,INT-C0503,1,1,61,0.628866,0.734940,0.813333,both
interval,INT-E0075,continuation,4,5,4,INT-C0405,3,INT-C0504,1,1,40,0.487805,0.689655,0.625000,both
interval,INT-E0076,continuation,4,5,6,INT-C0407,4,INT-C0505,1,1,47,0.723077,0.959184,0.746032,both
interval,INT-E0077,merge,4,5,7;1,INT-C0408;INT-C0402,5,INT-C0506,2,1,23;27,0.310811;0.200000,0.522727;0.247706,0.433962;0.509434,both;retrospective
interval,INT-E0078,merge,4,5,5;3,INT-C0406;INT-C0404,7,INT-C0508,2,1,19;20,0.260274;0.235294,0.387755;0.322581,0.441860;0.465116,retrospective;retrospective
interval,INT-E0079,continuation,4,5,8,INT-C0409,8,INT-C0509,1,1,31,0.632653,0.704545,0.861111,both
interval,INT-E0080,continuation,4,5,10,INT-C0411,11,INT-C0512,1,1,25,0.833333,0.961538,0.862069,both
interval,INT-E0081,merge,4,5,3;14,INT-C0404;INT-C0415,12,INT-C0513,2,1,19;3,0.275362;0.115385,0.306452;1.000000,0.730769;0.115385,retrospective;prospective
interval,INT-E0082,continuation,4,5,13,INT-C0414,13,INT-C0514,1,1,17,0.586207,0.809524,0.680000,both
interval,INT-E0083,continuation,4,5,12,INT-C0413,14,INT-C0515,1,1,17,0.708333,0.772727,0.894737,both
interval,INT-E0084,split,5,6,5,INT-C0506,6;0,INT-C0607;INT-C0601,1,2,22;24,0.258824;0.205128,0.415094;0.452830,0.407407;0.272727,both;prospective
interval,INT-E0085,merge,5,6,6;5,INT-C0507;INT-C0506,0,INT-C0601,2,1,38;24,0.380000;0.205128,0.760000;0.452830,0.431818;0.272727,both;prospective
interval,INT-E0086,continuation,5,6,2,INT-C0503,1,INT-C0602,1,1,66,0.702128,0.880000,0.776471,both
interval,INT-E0087,continuation,5,6,1,INT-C0502,2,INT-C0603,1,1,53,0.509615,0.679487,0.670886,both
interval,INT-E0088,merge,5,6,0;14,INT-C0501;INT-C0515,3,INT-C0604,2,1,35;18,0.280000;0.230769,0.421687;0.947368,0.454545;0.233766,both;prospective
interval,INT-E0089,continuation,5,6,7,INT-C0508,4,INT-C0605,1,1,37,0.500000,0.860465,0.544118,both
interval,INT-E0090,continuation,5,6,3,INT-C0504,5,INT-C0606,1,1,38,0.417582,0.593750,0.584615,both
interval,INT-E0091,continuation,5,6,4,INT-C0505,7,INT-C0608,1,1,47,0.701493,0.746032,0.921569,both
interval,INT-E0092,continuation,5,6,8,INT-C0509,8,INT-C0609,1,1,32,0.680851,0.888889,0.744186,both
interval,INT-E0093,continuation,5,6,9,INT-C0510,9,INT-C0610,1,1,25,0.675676,0.735294,0.892857,both
interval,INT-E0094,continuation,5,6,11,INT-C0512,10,INT-C0611,1,1,24,0.727273,0.827586,0.857143,both
interval,INT-E0095,continuation,5,6,13,INT-C0514,11,INT-C0612,1,1,18,0.600000,0.720000,0.782609,both
interval,INT-E0096,continuation,5,6,12,INT-C0513,12,INT-C0613,1,1,18,0.620690,0.692308,0.857143,both
interval,INT-E0097,continuation,5,6,10,INT-C0511,13,INT-C0614,1,1,8,0.266667,0.275862,0.888889,retrospective
interval,INT-E0098,continuation,5,6,15,INT-C0516,14,INT-C0615,1,1,3,0.600000,1.000000,0.600000,both
interval,INT-E0099,split,6,7,0,INT-C0601,8;6,INT-C0709;INT-C0707,1,2,38;25,0.387755;0.215517,0.431818;0.284091,0.791667;0.471698,both;retrospective
interval,INT-E0100,split,6,7,2,INT-C0603,10;4,INT-C0711;INT-C0705,1,2,32;32,0.351648;0.285714,0.405063;0.405063,0.727273;0.492308,both;both
interval,INT-E0101,death,6,7,3,INT-C0604,,,1,0,,,,,
interval,INT-E0102,death,6,7,6,INT-C0607,,,1,0,,,,,
interval,INT-E0103,merge,6,7,4;12,INT-C0605;INT-C0613,0,INT-C0701,2,1,47;16,0.391667;0.153846,0.691176;0.761905,0.474747;0.161616,both;prospective
interval,INT-E0104,continuation,6,7,1,INT-C0602,1,INT-C0702,1,1,71,0.717172,0.835294,0.835294,both
interval,INT-E0105,continuation,6,7,5,INT-C0606,2,INT-C0703,1,1,48,0.484848,0.738462,0.585366,both
interval,INT-E0106,continuation,6,7,11,INT-C0612,3,INT-C0704,1,1,21,0.250000,0.913043,0.256098,prospective
interval,INT-E0107,continuation,6,7,7,INT-C0608,5,INT-C0706,1,1,49,0.790323,0.960784,0.816667,both
interval,INT-E0108,continuation,6,7,10,INT-C0611,7,INT-C0708,1,1,25,0.471698,0.892857,0.500000,both
