from_snapshot,to_snapshot,source_observation_id,target_observation_id,source_identity_group,target_identity_group,overlap_size,source_overlap_pct,target_overlap_pct,jaccard
0,1,INT-C0001,INT-C0101,dead-INT-C0001,dead-INT-C0001,65,0.590909,0.802469,0.515873
0,1,INT-C0001,INT-C0102,dead-INT-C0001,dead-INT-C0102,5,0.045455,0.063291,0.027174
0,1,INT-C0001,INT-C0103,dead-INT-C0001,dead-INT-C0002,1,0.009091,0.014493,0.005618
0,1,INT-C0001,INT-C0104,dead-INT-C0001,dead-INT-C0003,6,0.054545,0.086957,0.034682
0,1,INT-C0001,INT-C0105,dead-INT-C0001,dead-INT-C0105,1,0.009091,0.014925,0.005682
0,1,INT-C0001,INT-C0108,dead-INT-C0001,dead-INT-C0008,12,0.109091,0.230769,0.080000
0,1,INT-C0001,INT-C0110,dead-INT-C0001,dead-INT-C0012,1,0.009091,0.026316,0.006803
0,1,INT-C0001,INT-C0113,dead-INT-C0001,c05,1,0.009091,0.033333,0.007194
0,1,INT-C0001,INT-C0114,dead-INT-C0001,dead-INT-C0114,11,0.100000,0.647059,0.094828
0,1,INT-C0002,INT-C0101,dead-INT-C0002,dead-INT-C0001,2,0.020000,0.024691,0.011173
0,1,INT-C0002,INT-C0102,dead-INT-C0002,dead-INT-C0102,11,0.110000,0.139241,0.065476
0,1,INT-C0002,INT-C0103,dead-INT-C0002,dead-INT-C0002,64,0.640000,0.927536,0.609524
0,1,INT-C0002,INT-C0104,dead-INT-C0002,dead-INT-C0003,8,0.080000,0.115942,0.049689
0,1,INT-C0002,INT-C0105,dead-INT-C0002,dead-INT-C0105,1,0.010000,0.014925,0.006024
0,1,INT-C0002,INT-C0106,dead-INT-C0002,c08,1,0.010000,0.015625,0.006135
0,1,INT-C0002,INT-C0107,dead-INT-C0002,dead-INT-C0107,1,0.010000,0.018519,0.006536
0,1,INT-C0002,INT-C0108,dead-INT-C0002,dead-INT-C0008,2,0.020000,0.038462,0.013333
0,1,INT-C0002,INT-C0109,dead-INT-C0002,c06,2,0.020000,0.048780,0.014388
0,1,INT-C0002,INT-C0111,dead-INT-C0002,dead-INT-C0007,1,0.010000,0.028571,0.007463
0,1,INT-C0003,INT-C0101,dead-INT-C0003,dead-INT-C0001,1,0.016393,0.012346,0.007092
0,1,INT-C0003,INT-C0102,dead-INT-C0003,dead-INT-C0102,8,0.131148,0.101266,0.060606
0,1,INT-C0003,INT-C0104,dead-INT-C0003,dead-INT-C0003,44,0.721311,0.637681,0.511628
0,1,INT-C0003,INT-C0105,dead-INT-C0003,dead-INT-C0105,1,0.016393,0.014925,0.007874
0,1,INT-C0003,INT-C0106,dead-INT-C0003,c08,1,0.016393,0.015625,0.008065
