identity_group,birth_snapshot,last_snapshot,lifespan_snapshots,final_size,observation_ids,observation_count,events
c01,4,10,7,130,INT-C0405=INT-C0504=INT-C0606=INT-C0703=INT-C0801=INT-C0907=INT-C1001,7,INT-E0054:split@s3->s4;INT-E0075:continuation@s4->s5;INT-E0090:continuation@s5->s6;INT-E0105:continuation@s6->s7;INT-E0114:merge@s7->s8;INT-E0123:split@s8->s9;INT-E0135:split@s9->s10;INT-E0137:merge@s9->s10
c02,8,10,3,93,INT-C0803=INT-C0903=INT-C1002,3,INT-E0115:merge@s7->s8;INT-E0124:split@s8->s9;INT-E0138:continuation@s9->s10
c03,5,10,6,77,INT-C0508=INT-C0605=INT-C0701=INT-C0804=INT-C0905=INT-C1003,6,INT-E0069:split@s4->s5;INT-E0070:split@s4->s5;INT-E0078:merge@s4->s5;INT-E0089:continuation@s5->s6;INT-E0103:merge@s6->s7;INT-E0116:continuation@s7->s8;INT-E0125:split@s8->s9;INT-E0139:merge@s9->s10
c04,10,10,1,67,INT-C1004,1,INT-E0134:split@s9->s10;INT-E0140:merge@s9->s10
c05,1,10,10,66,INT-C0113=INT-C0207=INT-C0306=INT-C0407=INT-C0505=INT-C0608=INT-C0706=INT-C0805=INT-C0904=INT-C1005,10,INT-E0017:split@s0->s1;INT-E0037:continuation@s1->s2;INT-E0043:split@s2->s3;INT-E0049:merge@s2->s3;INT-E0063:continuation@s3->s4;INT-E0076:continuation@s4->s5;INT-E0091:continuation@s5->s6;INT-E0107:continuation@s6->s7;INT-E0117:merge@s7->s8;INT-E0126:split@s8->s9;INT-E0141:continuation@s9->s10
c06,0,10,11,59,INT-C0009=INT-C0109=INT-C0208=INT-C0309=INT-C0409=INT-C0509=INT-C0609=INT-C0710=INT-C0808=INT-C0908=INT-C1006,11,INT-E0009:birth@s0;INT-E0024:continuation@s0->s1;INT-E0038:continuation@s1->s2;INT-E0052:continuation@s2->s3;INT-E0065:continuation@s3->s4;INT-E0079:continuation@s4->s5;INT-E0092:continuation@s5->s6;INT-E0109:continuation@s6->s7;INT-E0120:continuation@s7->s8;INT-E0130:continuation@s8->s9;INT-E0142:continuation@s9->s10
c07,9,10,2,52,INT-C0906=INT-C1007,2,INT-E0123:split@s8->s9;INT-E0143:continuation@s9->s10
c08,0,10,11,50,INT-C0006=INT-C0106=INT-C0206=INT-C0304=INT-C0403=INT-C0503=INT-C0602=INT-C0702=INT-C0806=INT-C0901=INT-C1008,11,INT-E0006:birth@s0;INT-E0022:merge@s0->s1;INT-E0036:continuation@s1->s2;INT-E0047:continuation@s2->s3;INT-E0061:merge@s3->s4;INT-E0074:continuation@s4->s5;INT-E0086:continuation@s5->s6;INT-E0104:continuation@s6->s7;INT-E0118:continuation@s7->s8;INT-E0128:continuation@s8->s9;INT-E0134:split@s9->s10;INT-E0140:merge@s9->s10
c09,7,10,4,27,INT-C0711=INT-C0809=INT-C0909=INT-C1009,4,INT-E0100:split@s6->s7;INT-E0121:continuation@s7->s8;INT-E0131:continuation@s8->s9;INT-E0144:continuation@s9->s10
c10,9,10,2,27,INT-C0912=INT-C1010,2,INT-E0126:split@s8->s9;INT-E0145:continuation@s9->s10
c11,10,10,1,24,INT-C1011,1,INT-E0135:split@s9->s10
c12,8,10,3,22,INT-C0810=INT-C0913=INT-C1012,3,INT-E0113:split@s7->s8;INT-E0132:continuation@s8->s9;INT-E0146:continuation@s9->s10
c13,10,10,1,20,INT-C1013,1,INT-E0147:birth@s9->s10
c14,7,10,4,19,INT-C0713=INT-C0811=INT-C0915=INT-C1014,4,INT-E0111:continuation@s6->s7;INT-E0122:continuation@s7->s8;INT-E0133:continuation@s8->s9;INT-E0148:continuation@s9->s10
c15,9,10,2,14,INT-C0914=INT-C1015,2,INT-E0127:split@s8->s9;INT-E0149:continuation@s9->s10
