identity_group,final_observation_id,snapshot_index,snapshot_label,local_id,size,nodes_json
c01,INT-C1001,10,days_500_526,0,130,"[21, 22, 38, 46, 50, 53, 58, 64, 65, 69, 70, 72, 75, 76, 84, 88, 91, 96, 103, 106, 120, 125, 132, 139, 150, 151, 154, 159, 164, 181, 190, 191, 193, 196, 205, 206, 214, 220, 230, 239, 242, 253, 257, 273, 274, 283, 290, 299, 309, 310, 322, 323, 324, 326, 334, 337, 343, 346, 353, 367, 388, 395, 397, 399, 402, 420, 460, 471, 474, 477, 486, 487, 505, 509, 510, 515, 528, 534, 557, 559, 566, 589, 591, 600, 603, 607, 609, 622, 633, 634, 638, 640, 649, 656, 660, 663, 671, 675, 676, 678, 696, 703, 706, 735, 740, 752, 768, 772, 775, 776, 788, 798, 822, 830, 835, 852, 853, 865, 879, 906, 909, 920, 922, 927, 939, 940, 943, 951, 975, 995]"
c02,INT-C1002,10,days_500_526,1,93,"[5, 13, 14, 29, 39, 90, 107, 118, 122, 131, 173, 192, 197, 199, 201, 208, 226, 235, 236, 270, 289, 320, 327, 335, 380, 381, 396, 437, 440, 448, 461, 464, 468, 476, 479, 491, 506, 516, 532, 537, 541, 553, 554, 576, 597, 611, 613, 643, 644, 650, 652, 654, 657, 664, 670, 682, 685, 687, 688, 690, 702, 719, 738, 745, 761, 763, 783, 804, 808, 810, 828, 837, 841, 850, 867, 875, 881, 890, 898, 899, 921, 923, 924, 941, 944, 945, 962, 979, 980, 983, 985, 991, 1001]"
c03,INT-C1003,10,days_500_526,2,77,"[11, 40, 54, 60, 83, 86, 105, 137, 148, 152, 155, 161, 187, 198, 203, 213, 223, 229, 233, 254, 272, 277, 300, 306, 307, 317, 374, 379, 390, 394, 398, 400, 443, 450, 466, 488, 523, 527, 568, 570, 571, 572, 606, 619, 626, 637, 659, 662, 665, 668, 673, 692, 695, 712, 720, 742, 746, 749, 769, 774, 784, 802, 813, 827, 834, 863, 864, 870, 900, 901, 914, 931, 935, 947, 965, 981, 993]"
c04,INT-C1004,10,days_500_526,3,67,"[20, 25, 41, 42, 45, 48, 66, 73, 74, 111, 112, 126, 157, 166, 216, 247, 267, 294, 318, 319, 321, 332, 362, 376, 383, 392, 434, 435, 458, 459, 478, 483, 499, 500, 503, 517, 539, 558, 565, 573, 586, 601, 618, 672, 674, 679, 684, 704, 723, 751, 758, 759, 762, 782, 803, 814, 825, 844, 885, 887, 918, 919, 956, 974, 984, 1000, 1002]"
c05,INT-C1005,10,days_500_526,4,66,"[3, 4, 24, 35, 67, 141, 158, 160, 167, 188, 207, 241, 248, 280, 288, 301, 304, 344, 360, 371, 373, 387, 391, 414, 421, 424, 431, 441, 445, 456, 469, 484, 493, 507, 512, 526, 530, 546, 547, 550, 552, 561, 585, 610, 614, 629, 630, 631, 645, 658, 667, 750, 795, 817, 846, 848, 851, 858, 860, 891, 902, 954, 957, 963, 978, 988]"
c06,INT-C1006,10,days_500_526,5,59,"[28, 33, 56, 68, 82, 95, 170, 175, 231, 245, 251, 264, 269, 275, 293, 311, 329, 338, 361, 364, 427, 433, 462, 480, 482, 531, 540, 581, 582, 587, 624, 628, 632, 641, 681, 697, 698, 736, 737, 764, 771, 789, 792, 796, 809, 819, 840, 849, 855, 872, 873, 874, 910, 925, 937, 942, 955, 987, 994]"
c07,INT-C1007,10,days_500_526,6,52,"[16, 19, 55, 61, 71, 89, 101, 114, 127, 149, 169, 184, 189, 225, 243, 246, 281, 315, 340, 365, 372, 377, 393, 404, 410, 423, 432, 490, 522, 593, 595, 708, 711, 716, 718, 724, 732, 754, 777, 779, 781, 786, 815, 843, 861, 866, 883, 905, 907, 934, 969, 1004]"
c08,INT-C1008,10,days_500_526,7,50,"[2, 30, 43, 52, 57, 77, 104, 109, 119, 133, 168, 177, 182, 232, 256, 260, 266, 305, 313, 356, 416, 425, 439, 447, 465, 472, 521, 556, 575, 598, 602, 648, 699, 700, 721, 730, 743, 744, 765, 790, 812, 868, 876, 908, 912, 936, 946, 948, 949, 966]"
c09,INT-C1009,10,days_500_526,8,27,"[0, 6, 78, 99, 130, 178, 228, 249, 295, 314, 333, 339, 403, 409, 470, 502, 538, 569, 599, 605, 693, 710, 767, 862, 878, 929, 976]"
c10,INT-C1010,10,days_500_526,9,27,"[17, 92, 136, 142, 200, 224, 302, 316, 341, 349, 351, 408, 428, 497, 511, 543, 647, 773, 806, 838, 857, 888, 915, 917, 952, 953, 971]"
c11,INT-C1011,10,days_500_526,10,24,"[31, 98, 117, 134, 165, 185, 268, 278, 401, 415, 429, 451, 454, 592, 617, 661, 707, 713, 811, 833, 836, 880, 990, 1003]"
c12,INT-C1012,10,days_500_526,11,22,"[62, 113, 163, 250, 369, 407, 444, 485, 513, 518, 535, 542, 551, 646, 722, 799, 800, 823, 854, 886, 895, 913]"
c13,INT-C1013,10,days_500_526,12,20,"[7, 135, 153, 292, 308, 378, 418, 438, 514, 588, 701, 705, 780, 807, 818, 832, 950, 977, 996, 997]"
c14,INT-C1014,10,days_500_526,13,19,"[8, 15, 32, 143, 144, 284, 422, 520, 544, 563, 580, 584, 669, 680, 731, 739, 741, 791, 797]"
c15,INT-C1015,10,days_500_526,14,14,"[147, 171, 285, 336, 347, 355, 577, 590, 686, 715, 748, 926, 933, 972]"
