identity_group,status,birth_snapshot,last_snapshot,lifespan_snapshots,observation_ids,observation_count
c01,alive,4,10,7,INT-C0405=INT-C0504=INT-C0606=INT-C0703=INT-C0801=INT-C0907=INT-C1001,7
c02,alive,8,10,3,INT-C0803=INT-C0903=INT-C1002,3
c03,alive,5,10,6,INT-C0508=INT-C0605=INT-C0701=INT-C0804=INT-C0905=INT-C1003,6
c04,alive,10,10,1,INT-C1004,1
c05,alive,1,10,10,INT-C0113=INT-C0207=INT-C0306=INT-C0407=INT-C0505=INT-C0608=INT-C0706=INT-C0805=INT-C0904=INT-C1005,10
c06,alive,0,10,11,INT-C0009=INT-C0109=INT-C0208=INT-C0309=INT-C0409=INT-C0509=INT-C0609=INT-C0710=INT-C0808=INT-C0908=INT-C1006,11
c07,alive,9,10,2,INT-C0906=INT-C1007,2
c08,alive,0,10,11,INT-C0006=INT-C0106=INT-C0206=INT-C0304=INT-C0403=INT-C0503=INT-C0602=INT-C0702=INT-C0806=INT-C0901=INT-C1008,11
c09,alive,7,10,4,INT-C0711=INT-C0809=INT-C0909=INT-C1009,4
c10,alive,9,10,2,INT-C0912=INT-C1010,2
c11,alive,10,10,1,INT-C1011,1
c12,alive,8,10,3,INT-C0810=INT-C0913=INT-C1012,3
c13,alive,10,10,1,INT-C1013,1
c14,alive,7,10,4,INT-C0713=INT-C0811=INT-C0915=INT-C1014,4
c15,alive,9,10,2,INT-C0914=INT-C1015,2
dead-INT-C0001,dead,0,4,5,INT-C0001=INT-C0101=INT-C0204=INT-C0305=INT-C0402,5
dead-INT-C0002,dead,0,2,3,INT-C0002=INT-C0103=INT-C0203,3
dead-INT-C0003,dead,0,3,4,INT-C0003=INT-C0104=INT-C0202=INT-C0303,4
dead-INT-C0004,dead,0,0,1,INT-C0004,1
dead-INT-C0005,dead,0,0,1,INT-C0005,1
dead-INT-C0007,dead,0,1,2,INT-C0007=INT-C0111,2
dead-INT-C0008,dead,0,1,2,INT-C0008=INT-C0108,2
dead-INT-C0010,dead,0,0,1,INT-C0010,1
dead-INT-C0011,dead,0,1,2,INT-C0011=INT-C0112,2
dead-INT-C0012,dead,0,9,10,INT-C0012=INT-C0110=INT-C0210=INT-C0308=INT-C0411=INT-C0512=INT-C0611=INT-C0708=INT-C0807=INT-C0910,10
dead-INT-C0013,dead,0,0,1,INT-C0013,1
dead-INT-C0014,dead,0,0,1,INT-C0014,1
dead-INT-C0015,dead,0,0,1,INT-C0015,1
dead-INT-C0102,dead,1,2,2,INT-C0102=INT-C0201,2
dead-INT-C0105,dead,1,1,1,INT-C0105,1
dead-INT-C0107,dead,1,2,2,INT-C0107=INT-C0209,2
dead-INT-C0114,dead,1,1,1,INT-C0114,1
dead-INT-C0205,dead,2,3,2,INT-C0205=INT-C0302,2
dead-INT-C0211,dead,2,2,1,INT-C0211,1
dead-INT-C0212,dead,2,2,1,INT-C0212,1
dead-INT-C0213,dead,2,2,1,INT-C0213,1
dead-INT-C0214,dead,2,3,2,INT-C0214=INT-C0314,2
dead-INT-C0301,dead,3,3,1,INT-C0301,1
dead-INT-C0307,dead,3,3,1,INT-C0307,1
dead-INT-C0310,dead,3,3,1,INT-C0310,1
dead-INT-C0311,dead,3,7,5,INT-C0311=INT-C0410=INT-C0510=INT-C0610=INT-C0712,5
dead-INT-C0312,dead,3,3,1,INT-C0312,1
dead-INT-C0313,dead,3,3,1,INT-C0313,1
dead-INT-C0401,dead,4,6,3,INT-C0401=INT-C0502=INT-C0603,3
dead-INT-C0404,dead,4,4,1,INT-C0404,1
dead-INT-C0406,dead,4,4,1,INT-C0406,1
dead-INT-C0408,dead,4,4,1,INT-C0408,1
dead-INT-C0412,dead,4,4,1,INT-C0412,1
dead-INT-C0413,dead,4,5,2,INT-C0413=INT-C0515,2
dead-INT-C0414,dead,4,6,3,INT-C0414=INT-C0514=INT-C0612,3
dead-INT-C0415,dead,4,4,1,INT-C0415,1
dead-INT-C0501,dead,5,6,2,INT-C0501=INT-C0604,2
dead-INT-C0506,dead,5,5,1,INT-C0506,1
dead-INT-C0507,dead,5,7,3,INT-C0507=INT-C0601=INT-C0709,3
dead-INT-C0511,dead,5,5,1,INT-C0511,1
dead-INT-C0513,dead,5,6,2,INT-C0513=INT-C0613,2
dead-INT-C0516,dead,5,7,3,INT-C0516=INT-C0615=INT-C0714,3
dead-INT-C0607,dead,6,6,1,INT-C0607,1
dead-INT-C0614,dead,6,6,1,INT-C0614,1
dead-INT-C0704,dead,7,7,1,INT-C0704,1
dead-INT-C0705,dead,7,7,1,INT-C0705,1
dead-INT-C0707,dead,7,7,1,INT-C0707,1
dead-INT-C0802,dead,8,9,2,INT-C0802=INT-C0902,2
dead-INT-C0911,dead,9,9,1,INT-C0911,1
dead-INT-C0916,dead,9,9,1,INT-C0916,1
