approach,snapshot_index,local_id,observation_id,decision,from_snapshot,from_local_id,from_observation_id,overlap_size,jaccard,prospective_stability,retrospective_stability,candidate_parent_local_ids,candidate_parent_observation_ids
interval,1,0,INT-C0101,inherited,0,0,INT-C0001,65,0.515873,0.590909,0.802469,0;7;4;1;6;2,INT-C0001;INT-C0008;INT-C0005;INT-C0002;INT-C0007;INT-C0003
interval,1,1,INT-C0102,new,,,,,,,,4;1;2;9;0;6;5;7;8,INT-C0005;INT-C0002;INT-C0003;INT-C0010;INT-C0001;INT-C0007;INT-C0006;INT-C0008;INT-C0009
interval,1,2,INT-C0103,inherited,0,1,INT-C0002,64,0.609524,0.640000,0.927536,1;9;0,INT-C0002;INT-C0010;INT-C0001
interval,1,3,INT-C0104,inherited,0,2,INT-C0003,44,0.511628,0.721311,0.637681,2;1;14;0;9;6;7;4,INT-C0003;INT-C0002;INT-C0015;INT-C0001;INT-C0010;INT-C0007;INT-C0008;INT-C0005
interval,1,4,INT-C0105,new,,,,,,,,9;12;6;8;7;4;10;2;3;1;0,INT-C0010;INT-C0013;INT-C0007;INT-C0009;INT-C0008;INT-C0005;INT-C0011;INT-C0003;INT-C0004;INT-C0002;INT-C0001
interval,1,5,INT-C0106,inherited,0,5,INT-C0006,46,0.613333,0.807018,0.718750,5;13;8;2;1,INT-C0006;INT-C0014;INT-C0009;INT-C0003;INT-C0002
interval,1,6,INT-C0107,new,,,,,,,,3;4;9;1,INT-C0004;INT-C0005;INT-C0010;INT-C0002
interval,1,7,INT-C0108,inherited,0,7,INT-C0008,27,0.360000,0.540000,0.519231,7;0;1;10;9,INT-C0008;INT-C0001;INT-C0002;INT-C0011;INT-C0010
interval,1,8,INT-C0109,inherited,0,8,INT-C0009,36,0.692308,0.765957,0.878049,8;1;10;9,INT-C0009;INT-C0002;INT-C0011;INT-C0010
interval,1,9,INT-C0110,inherited,0,11,INT-C0012,25,0.625000,0.925926,0.657895,11;6;9;8;0,INT-C0012;INT-C0007;INT-C0010;INT-C0009;INT-C0001
interval,1,10,INT-C0111,inherited,0,6,INT-C0007,27,0.465517,0.540000,0.771429,6;7;9;1,INT-C0007;INT-C0008;INT-C0010;INT-C0002
interval,1,11,INT-C0112,inherited,0,10,INT-C0011,23,0.638889,0.851852,0.718750,10;7;6;4;3,INT-C0011;INT-C0008;INT-C0007;INT-C0005;INT-C0004
interval,1,12,INT-C0113,new,,,,,,,,3;0,INT-C0004;INT-C0001
interval,1,13,INT-C0114,new,,,,,,,,0;4;8,INT-C0001;INT-C0005;INT-C0009
interval,2,0,INT-C0201,inherited,1,1,INT-C0102,53,0.420635,0.670886,0.530000,1;4;3;2;6;13;5;11;10;9;8;7;0,INT-C0102;INT-C0105;INT-C0104;INT-C0103;INT-C0107;INT-C0114;INT-C0106;INT-C0112;INT-C0111;INT-C0110;INT-C0109;INT-C0108;INT-C0101
interval,2,1,INT-C0202,inherited,1,3,INT-C0104,43,0.352459,0.623188,0.447917,3;10;9;1;8;0;2;7;13;5;4,INT-C0104;INT-C0111;INT-C0110;INT-C0102;INT-C0109;INT-C0101;INT-C0103;INT-C0108;INT-C0114;INT-C0106;INT-C0105
interval,2,2,INT-C0203,inherited,1,2,INT-C0103,58,0.591837,0.840580,0.666667,2;7;0;13;10;4;3;1,INT-C0103;INT-C0108;INT-C0101;INT-C0114;INT-C0111;INT-C0105;INT-C0104;INT-C0102
interval,2,3,INT-C0204,inherited,1,0,INT-C0101,61,0.616162,0.753086,0.772152,0;7;13;12;2;3;1,INT-C0101;INT-C0108;INT-C0114;INT-C0113;INT-C0103;INT-C0104;INT-C0102
interval,2,4,INT-C0205,new,,,,,,,,11;7;3;0;13;4;10;5;1,INT-C0112;INT-C0108;INT-C0104;INT-C0101;INT-C0114;INT-C0105;INT-C0111;INT-C0106;INT-C0102
interval,2,5,INT-C0206,inherited,1,5,INT-C0106,49,0.644737,0.765625,0.803279,5;1;13;9;0,INT-C0106;INT-C0102;INT-C0114;INT-C0110;INT-C0101
interval,2,6,INT-C0207,inherited,1,12,INT-C0113,25,0.446429,0.833333,0.490196,12;6;5;10;4,INT-C0113;INT-C0107;INT-C0106;INT-C0111;INT-C0105
interval,2,7,INT-C0208,inherited,1,8,INT-C0109,35,0.686275,0.853659,0.777778,8;11;5;4;2;3;1;0,INT-C0109;INT-C0112;INT-C0106;INT-C0105;INT-C0103;INT-C0104;INT-C0102;INT-C0101
interval,2,8,INT-C0209,inherited,1,6,INT-C0107,26,0.472727,0.481481,0.962963,6;11,INT-C0107;INT-C0112
interval,2,9,INT-C0210,inherited,1,9,INT-C0110,23,0.560976,0.605263,0.884615,9,INT-C0110
interval,2,10,INT-C0211,new,,,,,,,,4;6;2;0,INT-C0105;INT-C0107;INT-C0103;INT-C0101
interval,2,11,INT-C0212,new,,,,,,,,4,INT-C0105
interval,2,12,INT-C0213,new,,,,,,,,10;13;11;1;9;4,INT-C0111;INT-C0114;INT-C0112;INT-C0102;INT-C0110;INT-C0105
interval,2,13,INT-C0214,new,,,,,,,,3,INT-C0104
interval,3,0,INT-C0301,new,,,,,,,,2;0;11;1;10;6;4;7;3,INT-C0203;INT-C0201;INT-C0212;INT-C0202;INT-C0211;INT-C0207;INT-C0205;INT-C0208;INT-C0204
interval,3,1,INT-C0302,inherited,2,4,INT-C0205,44,0.328358,0.578947,0.431373,4;1;2;3;12;0;8;7,INT-C0205;INT-C0202;INT-C0203;INT-C0204;INT-C0213;INT-C0201;INT-C0209;INT-C0208
interval,3,2,INT-C0303,inherited,2,1,INT-C0202,54,0.435484,0.562500,0.658537,1;0;12;7;3,INT-C0202;INT-C0201;INT-C0213;INT-C0208;INT-C0204
interval,3,3,INT-C0304,inherited,2,5,INT-C0206,56,0.736842,0.918033,0.788732,5;10;6;11;9;4;1,INT-C0206;INT-C0211;INT-C0207;INT-C0212;INT-C0210;INT-C0205;INT-C0202
interval,3,4,INT-C0305,inherited,2,3,INT-C0204,36,0.363636,0.455696,0.642857,3;2;1,INT-C0204;INT-C0203;INT-C0202
interval,3,5,INT-C0306,inherited,2,6,INT-C0207,28,0.358974,0.549020,0.509091,6;8;3;0,INT-C0207;INT-C0209;INT-C0204;INT-C0201
interval,3,6,INT-C0307,new,,,,,,,,10;3;4;2;1;0;13;7;6,INT-C0211;INT-C0204;INT-C0205;INT-C0203;INT-C0202;INT-C0201;INT-C0214;INT-C0208;INT-C0207
