identity_group,birth_events,continuation_events,split_events,merge_events,death_events,split_count,merge_count
c01,,INT-E0075;INT-E0075;INT-E0090;INT-E0090;INT-E0105;INT-E0105,INT-E0054;INT-E0123;INT-E0123;INT-E0135,INT-E0114;INT-E0114;INT-E0137;INT-E0137,,4,4
c02,,INT-E0138;INT-E0138,INT-E0124;INT-E0124,INT-E0115,,2,1
c03,,INT-E0089;INT-E0089;INT-E0116;INT-E0116,INT-E0069;INT-E0070;INT-E0125;INT-E0125,INT-E0078;INT-E0103;INT-E0103;INT-E0139;INT-E0139,,4,5
c04,,,INT-E0134,INT-E0140,,1,1
c05,,INT-E0037;INT-E0037;INT-E0063;INT-E0063;INT-E0076;INT-E0076;INT-E0091;INT-E0091;INT-E0107;INT-E0107;INT-E0141;INT-E0141,INT-E0017;INT-E0043;INT-E0043;INT-E0126;INT-E0126,INT-E0049;INT-E0049;INT-E0117;INT-E0117,,5,4
c06,INT-E0009,INT-E0024;INT-E0024;INT-E0038;INT-E0038;INT-E0052;INT-E0052;INT-E0065;INT-E0065;INT-E0079;INT-E0079;INT-E0092;INT-E0092;INT-E0109;INT-E0109;INT-E0120;INT-E0120;INT-E0130;INT-E0130;INT-E0142;INT-E0142,,,,0,0
c07,,INT-E0143;INT-E0143,INT-E0123,,,1,0
c08,INT-E0006,INT-E0036;INT-E0036;INT-E0047;INT-E0047;INT-E0074;INT-E0074;INT-E0086;INT-E0086;INT-E0104;INT-E0104;INT-E0118;INT-E0118;INT-E0128;INT-E0128,INT-E0134;INT-E0134,INT-E0022;INT-E0022;INT-E0061;INT-E0061;INT-E0140,,2,5
c09,,INT-E0121;INT-E0121;INT-E0131;INT-E0131;INT-E0144;INT-E0144,INT-E0100,,,1,0
c10,,INT-E0145;INT-E0145,INT-E0126,,,1,0
c11,,,INT-E0135,,,1,0
c12,,INT-E0132;INT-E0132;INT-E0146;INT-E0146,INT-E0113,,,1,0
c13,INT-E0147,,,,,0,0
c14,,INT-E0111;INT-E0122;INT-E0122;INT-E0133;INT-E0133;INT-E0148;INT-E0148,,,,0,0
c15,,INT-E0149;INT-E0149,INT-E0127,,,1,0
dead-INT-C0001,INT-E0001,INT-E0034;INT-E0034;INT-E0048;INT-E0048,INT-E0016;INT-E0016;INT-E0057;INT-E0068,INT-E0060;INT-E0060;INT-E0077,,4,3
dead-INT-C0002,INT-E0002,INT-E0019;INT-E0019;INT-E0033;INT-E0033,,INT-E0045,,0,1
dead-INT-C0003,INT-E0003,INT-E0046;INT-E0046,INT-E0028;INT-E0028;INT-E0056,INT-E0020;INT-E0020;INT-E0032;INT-E0032;INT-E0062,,3,5
dead-INT-C0004,INT-E0004,,INT-E0017,,,1,0
dead-INT-C0005,INT-E0005,INT-E0018,,,,0,0
dead-INT-C0007,INT-E0007,INT-E0026;INT-E0026,,INT-E0032,,0,1
dead-INT-C0008,INT-E0008,INT-E0023;INT-E0023,,INT-E0035,,0,1
dead-INT-C0010,INT-E0010,,,INT-E0021,,0,1
dead-INT-C0011,INT-E0011,INT-E0027;INT-E0027,,INT-E0035,,0,1
dead-INT-C0012,INT-E0012,INT-E0025;INT-E0025;INT-E0040;INT-E0040;INT-E0051;INT-E0051;INT-E0080;INT-E0080;INT-E0094;INT-E0094;INT-E0108;INT-E0108;INT-E0119;INT-E0119,INT-E0058;INT-E0058;INT-E0127;INT-E0127,INT-E0140,,4,1
dead-INT-C0013,INT-E0013,,,INT-E0021,,0,1
dead-INT-C0014,INT-E0014,,,INT-E0022,,0,1
dead-INT-C0015,INT-E0015,,,INT-E0020,,0,1
dead-INT-C0102,,INT-E0018;INT-E0031;INT-E0031,,INT-E0045,,0,1
dead-INT-C0105,,,INT-E0029,INT-E0021,,1,1
dead-INT-C0107,,INT-E0039;INT-E0039,INT-E0017,INT-E0049,,1,1
dead-INT-C0114,,,INT-E0016,,INT-E0030,1,0
dead-INT-C0205,,,INT-E0042;INT-E0042,INT-E0035,INT-E0055,2,1
dead-INT-C0211,,INT-E0050,INT-E0029,,,1,0
dead-INT-C0212,,,INT-E0029,INT-E0045,,1,1
dead-INT-C0213,INT-E0041,,INT-E0044,,,1,0
dead-INT-C0214,,INT-E0053;INT-E0053,INT-E0028,INT-E0066,,1,1
dead-INT-C0301,,,INT-E0054,INT-E0045;INT-E0064,,1,2
dead-INT-C0307,,INT-E0050,INT-E0057,INT-E0060;INT-E0064,,1,2
dead-INT-C0310,,INT-E0059,INT-E0042,,,1,0
dead-INT-C0311,,INT-E0093;INT-E0093;INT-E0110;INT-E0110,INT-E0043;INT-E0071;INT-E0071,INT-E0066;INT-E0066;INT-E0117,,3,3
dead-INT-C0312,,,INT-E0044,INT-E0061,,1,1
dead-INT-C0313,,,INT-E0044,INT-E0062,,1,1
dead-INT-C0401,,INT-E0059;INT-E0073;INT-E0073;INT-E0087;INT-E0087,INT-E0100,,,1,0
