approach,event_id,event_type,from_snapshot,to_snapshot,source_local_ids,source_observation_ids,target_local_ids,target_observation_ids,source_count,target_count,overlap_sizes,jaccard_scores,prospective_stabilities,retrospective_stabilities,relation_qualifiers
overlap,OVL-E0001,birth,,0,,,0,OVL-C0001,0,1,,,,,
overlap,OVL-E0002,birth,,0,,,1,OVL-C0002,0,1,,,,,
overlap,OVL-E0003,birth,,0,,,2,OVL-C0003,0,1,,,,,
overlap,OVL-E0004,birth,,0,,,3,OVL-C0004,0,1,,,,,
overlap,OVL-E0005,birth,,0,,,4,OVL-C0005,0,1,,,,,
overlap,OVL-E0006,birth,,0,,,5,OVL-C0006,0,1,,,,,
overlap,OVL-E0007,birth,,0,,,6,OVL-C0007,0,1,,,,,
overlap,OVL-E0008,birth,,0,,,7,OVL-C0008,0,1,,,,,
overlap,OVL-E0009,birth,,0,,,8,OVL-C0009,0,1,,,,,
overlap,OVL-E0010,birth,,0,,,9,OVL-C0010,0,1,,,,,
overlap,OVL-E0011,birth,,0,,,10,OVL-C0011,0,1,,,,,
overlap,OVL-E0012,birth,,0,,,11,OVL-C0012,0,1,,,,,
overlap,OVL-E0013,birth,,0,,,12,OVL-C0013,0,1,,,,,
overlap,OVL-E0014,birth,,0,,,13,OVL-C0014,0,1,,,,,
overlap,OVL-E0015,birth,,0,,,14,OVL-C0015,0,1,,,,,
overlap,OVL-E0016,split,0,1,3,OVL-C0004,11;4,OVL-C0112;OVL-C0105,1,2,26;31,0.419355;0.348315,0.426230;0.508197,0.962963;0.525424,both;both
overlap,OVL-E0017,continuation,0,1,4,OVL-C0005,0,OVL-C0101,1,1,37,0.268116,0.616667,0.321739,prospective
overlap,OVL-E0018,continuation,0,1,7,OVL-C0008,1,OVL-C0102,1,1,36,0.404494,0.720000,0.480000,both
overlap,OVL-E0019,continuation,0,1,0,OVL-C0001,2,OVL-C0103,1,1,54,0.439024,0.490909,0.805970,both
overlap,OVL-E0020,continuation,0,1,1,OVL-C0002,3,OVL-C0104,1,1,63,0.623762,0.630000,0.984375,both
overlap,OVL-E0021,continuation,0,1,2,OVL-C0003,5,OVL-C0106,1,1,52,0.812500,0.852459,0.945455,both
overlap,OVL-E0022,continuation,0,1,5,OVL-C0006,6,OVL-C0107,1,1,50,0.862069,0.877193,0.980392,both
overlap,OVL-E0023,continuation,0,1,9,OVL-C0010,7,OVL-C0108,1,1,24,0.347826,0.545455,0.489796,both
overlap,OVL-E0024,continuation,0,1,8,OVL-C0009,8,OVL-C0109,1,1,43,0.877551,0.914894,0.955556,both
overlap,OVL-E0025,continuation,0,1,6,OVL-C0007,9,OVL-C0110,1,1,29,0.517857,0.580000,0.828571,both
overlap,OVL-E0026,continuation,0,1,11,OVL-C0012,10,OVL-C0111,1,1,26,0.866667,0.962963,0.896552,both
overlap,OVL-E0027,continuation,0,1,10,OVL-C0011,12,OVL-C0113,1,1,22,0.733333,0.814815,0.880000,both
overlap,OVL-E0028,continuation,0,1,12,OVL-C0013,13,OVL-C0114,1,1,21,0.840000,0.875000,0.954545,both
overlap,OVL-E0029,continuation,0,1,13,OVL-C0014,14,OVL-C0115,1,1,10,0.833333,1.000000,0.833333,both
overlap,OVL-E0030,continuation,0,1,14,OVL-C0015,15,OVL-C0116,1,1,6,0.857143,1.000000,0.857143,both
overlap,OVL-E0031,split,1,2,2,OVL-C0103,0;13,OVL-C0201;OVL-C0214,1,2,47;8,0.465347;0.105263,0.701493;0.119403,0.580247;0.470588,both;retrospective
overlap,OVL-E0032,continuation,1,2,0,OVL-C0101,1,OVL-C0202,1,1,61,0.458647,0.530435,0.772152,both
overlap,OVL-E0033,continuation,1,2,3,OVL-C0104,2,OVL-C0203,1,1,60,0.821918,0.937500,0.869565,both
overlap,OVL-E0034,merge,1,2,5;15,OVL-C0106;OVL-C0116,3,OVL-C0204,2,1,44;7,0.550000;0.101449,0.800000;1.000000,0.637681;0.101449,both;prospective
overlap,OVL-E0035,merge,1,2,7;13,OVL-C0108;OVL-C0114,4,OVL-C0205,2,1,32;20,0.380952;0.289855,0.653061;0.909091,0.477612;0.298507,both;prospective
overlap,OVL-E0036,merge,1,2,6;14,OVL-C0107;OVL-C0115,5,OVL-C0206,2,1,46;9,0.666667;0.134328,0.901961;0.750000,0.718750;0.140625,both;prospective
overlap,OVL-E0037,continuation,1,2,4,OVL-C0105,6,OVL-C0207,1,1,53,0.883333,0.898305,0.981481,both
overlap,OVL-E0038,continuation,1,2,1,OVL-C0102,7,OVL-C0208,1,1,43,0.511905,0.573333,0.826923,both
overlap,OVL-E0039,continuation,1,2,8,OVL-C0109,8,OVL-C0209,1,1,36,0.720000,0.800000,0.878049,both
overlap,OVL-E0040,continuation,1,2,10,OVL-C0111,9,OVL-C0210,1,1,26,0.634146,0.896552,0.684211,both
overlap,OVL-E0041,continuation,1,2,9,OVL-C0110,10,OVL-C0211,1,1,30,0.750000,0.857143,0.857143,both
overlap,OVL-E0042,continuation,1,2,12,OVL-C0113,11,OVL-C0212,1,1,22,0.628571,0.880000,0.687500,both
overlap,OVL-E0043,continuation,1,2,11,OVL-C0112,12,OVL-C0213,1,1,26,0.838710,0.962963,0.866667,both
overlap,OVL-E0044,split,2,3,0,OVL-C0201,2;5,OVL-C0303;OVL-C0306,1,2,47;23,0.427273;0.207207,0.580247;0.283951,0.618421;0.433962,both;retrospective
overlap,OVL-E0045,split,2,3,1,OVL-C0202,0;13,OVL-C0301;OVL-C0314,1,2,38;15,0.275362;0.187500,0.481013;0.189873,0.391753;0.937500,prospective;retrospective
overlap,OVL-E0046,merge,2,3,1;7,OVL-C0202;OVL-C0208,0,OVL-C0301,2,1,38;24,0.275362;0.192000,0.481013;0.461538,0.391753;0.247423,prospective;prospective
overlap,OVL-E0047,continuation,2,3,5,OVL-C0206,1,OVL-C0302,1,1,57,0.670588,0.890625,0.730769,both
overlap,OVL-E0048,continuation,2,3,2,OVL-C0203,3,OVL-C0304,1,1,58,0.743590,0.840580,0.865672,both
overlap,OVL-E0049,continuation,2,3,3,OVL-C0204,4,OVL-C0305,1,1,50,0.617284,0.724638,0.806452,both
overlap,OVL-E0050,continuation,2,3,6,OVL-C0207,6,OVL-C0307,1,1,47,0.854545,0.870370,0.979167,both
overlap,OVL-E0051,continuation,2,3,8,OVL-C0209,7,OVL-C0308,1,1,39,0.780000,0.951220,0.812500,both
overlap,OVL-E0052,continuation,2,3,10,OVL-C0211,8,OVL-C0309,1,1,31,0.659574,0.885714,0.720930,both
overlap,OVL-E0053,continuation,2,3,11,OVL-C0212,9,OVL-C0310,1,1,23,0.469388,0.718750,0.575000,both
overlap,OVL-E0054,continuation,2,3,4,OVL-C0205,10,OVL-C0311,1,1,26,0.361111,0.388060,0.838710,retrospective
overlap,OVL-E0055,continuation,2,3,12,OVL-C0213,11,OVL-C0312,1,1,25,0.806452,0.833333,0.961538,both
overlap,OVL-E0056,continuation,2,3,9,OVL-C0210,12,OVL-C0313,1,1,24,0.615385,0.631579,0.960000,both
overlap,OVL-E0057,continuation,2,3,13,OVL-C0214,14,OVL-C0315,1,1,9,0.500000,0.529412,0.900000,both
overlap,OVL-E0058,split,3,4,5,OVL-C0306,10;3,OVL-C0411;OVL-C0404,1,2,18;27,0.300000;0.257143,0.339623;0.509434,0.720000;0.341772,retrospective;prospective
overlap,OVL-E0059,split,3,4,6,OVL-C0307,8;6,OVL-C0409;OVL-C0407,1,2,25;21,0.500000;0.269231,0.520833;0.437500,0.925926;0.411765,both;both
overlap,OVL-E0060,split,3,4,8,OVL-C0309,1;12,OVL-C0402;OVL-C0413,1,2,25;10,0.219298;0.185185,0.581395;0.232558,0.260417;0.476190,prospective;retrospective
overlap,OVL-E0061,split,3,4,9,OVL-C0310,4;13,OVL-C0405;OVL-C0414,1,2,27;5,0.303371;0.125000,0.675000;0.125000,0.355263;1.000000,prospective;retrospective
overlap,OVL-E0062,merge,3,4,0;13,OVL-C0301;OVL-C0314,0,OVL-C0401,2,1,53;14,0.368056;0.137255,0.546392;0.875000,0.530000;0.140000,both;prospective
overlap,OVL-E0063,merge,3,4,4;8,OVL-C0305;OVL-C0309,1,OVL-C0402,2,1,43;25,0.373913;0.219298,0.693548;0.581395,0.447917;0.260417,both;prospective
overlap,OVL-E0064,continuation,3,4,3,OVL-C0304,2,OVL-C0403,1,1,60,0.638298,0.895522,0.689655,both
overlap,OVL-E0065,merge,3,4,2;5,OVL-C0303;OVL-C0306,3,OVL-C0404,2,1,44;27,0.396396;0.257143,0.578947;0.509434,0.556962;0.341772,both;prospective
overlap,OVL-E0066,continuation,3,4,1,OVL-C0302,5,OVL-C0406,1,1,58,0.716049,0.743590,0.950820,both
overlap,OVL-E0067,merge,3,4,11;6,OVL-C0312;OVL-C0307,6,OVL-C0407,2,1,25;21,0.480769;0.269231,0.961538;0.437500,0.490196;0.411765,both;both
overlap,OVL-E0068,continuation,3,4,7,OVL-C0308,7,OVL-C0408,1,1,42,0.823529,0.875000,0.933333,both
overlap,OVL-E0069,continuation,3,4,12,OVL-C0313,9,OVL-C0410,1,1,24,0.888889,0.960000,0.923077,both
overlap,OVL-E0070,continuation,3,4,10,OVL-C0311,11,OVL-C0412,1,1,19,0.558824,0.612903,0.863636,both
overlap,OVL-E0071,merge,3,4,14;8,OVL-C0315;OVL-C0309,12,OVL-C0413,2,1,6;10,0.240000;0.185185,0.600000;0.232558,0.285714;0.476190,prospective;retrospective
overlap,OVL-E0072,split,4,5,3,OVL-C0404,4;8,OVL-C0505;OVL-C0509,1,2,39;28,0.402062;0.318182,0.493671;0.354430,0.684211;0.756757,both;retrospective
overlap,OVL-E0073,split,4,5,4,OVL-C0405,10;0,OVL-C0511;OVL-C0501,1,2,25;47,0.320513;0.284848,0.328947;0.618421,0.925926;0.345588,retrospective;prospective
overlap,OVL-E0074,split,4,5,6,OVL-C0407,5;9,OVL-C0506;OVL-C0510,1,2,27;19,0.341772;0.311475,0.529412;0.372549,0.490909;0.655172,both;retrospective
overlap,OVL-E0075,merge,4,5,2;4,OVL-C0403;OVL-C0405,0,OVL-C0501,2,1,63;47,0.393750;0.284848,0.724138;0.618421,0.463235;0.345588,both;prospective
overlap,OVL-E0076,continuation,4,5,0,OVL-C0401,1,OVL-C0502,1,1,80,0.714286,0.800000,0.869565,both
overlap,OVL-E0077,continuation,4,5,1,OVL-C0402,2,OVL-C0503,1,1,56,0.513761,0.583333,0.811594,both
overlap,OVL-E0078,continuation,4,5,5,OVL-C0406,3,OVL-C0504,1,1,56,0.767123,0.918033,0.823529,both
overlap,OVL-E0079,merge,4,5,8;6,OVL-C0409;OVL-C0407,5,OVL-C0506,2,1,24;27,0.413793;0.341772,0.888889;0.529412,0.436364;0.490909,both;both
overlap,OVL-E0080,continuation,4,5,7,OVL-C0408,6,OVL-C0507,1,1,41,0.732143,0.911111,0.788462,both
overlap,OVL-E0081,continuation,4,5,12,OVL-C0413,7,OVL-C0508,1,1,19,0.422222,0.904762,0.441860,both
overlap,OVL-E0082,merge,4,5,6;13,OVL-C0407;OVL-C0414,9,OVL-C0510,2,1,19;3,0.311475;0.096774,0.372549;0.600000,0.655172;0.103448,retrospective;prospective
overlap,OVL-E0083,continuation,4,5,9,OVL-C0410,11,OVL-C0512,1,1,26,0.962963,1.000000,0.962963,both
overlap,OVL-E0084,continuation,4,5,10,OVL-C0411,12,OVL-C0513,1,1,19,0.633333,0.760000,0.791667,both
overlap,OVL-E0085,continuation,4,5,11,OVL-C0412,13,OVL-C0514,1,1,19,0.863636,0.863636,1.000000,both
overlap,OVL-E0086,split,5,6,7,OVL-C0508,2;11;12,OVL-C0603;OVL-C0612;OVL-C0613,1,3,22;9;4,0.213592;0.200000;0.093023,0.511628;0.209302;0.093023,0.268293;0.818182;1.000000,prospective;retrospective;retrospective
overlap,OVL-E0087,split,5,6,9,OVL-C0510,10;13,OVL-C0611;OVL-C0614,1,2,21;3,0.656250;0.100000,0.724138;0.103448,0.875000;0.750000,both;retrospective
overlap,OVL-E0088,merge,5,6,1;13,OVL-C0502;OVL-C0514,0,OVL-C0601,2,1,55;17,0.286458;0.108280,0.597826;0.894737,0.354839;0.109677,prospective;prospective
overlap,OVL-E0089,continuation,5,6,0,OVL-C0501,1,OVL-C0602,1,1,75,0.460123,0.551471,0.735294,both
overlap,OVL-E0090,merge,5,6,2;7,OVL-C0503;OVL-C0508,2,OVL-C0603,2,1,37;22,0.324561;0.213592,0.536232;0.511628,0.451220;0.268293,both;prospective
overlap,OVL-E0091,continuation,5,6,3,OVL-C0504,3,OVL-C0604,1,1,64,0.853333,0.941176,0.901408,both
overlap,OVL-E0092,continuation,5,6,4,OVL-C0505,4,OVL-C0605,1,1,49,0.765625,0.859649,0.875000,both
