from_snapshot,to_snapshot,source_observation_id,target_observation_id,source_identity_group,target_identity_group,overlap_size,source_overlap_pct,target_overlap_pct,jaccard
0,1,OVL-C0001,OVL-C0101,dead-OVL-C0001,dead-OVL-C0101,6,0.054545,0.052174,0.027397
0,1,OVL-C0001,OVL-C0102,dead-OVL-C0001,dead-OVL-C0008,26,0.236364,0.346667,0.163522
0,1,OVL-C0001,OVL-C0103,dead-OVL-C0001,dead-OVL-C0001,54,0.490909,0.805970,0.439024
0,1,OVL-C0001,OVL-C0105,dead-OVL-C0001,dead-OVL-C0004,1,0.009091,0.016949,0.005952
0,1,OVL-C0001,OVL-C0106,dead-OVL-C0001,dead-OVL-C0003,1,0.009091,0.018182,0.006098
0,1,OVL-C0001,OVL-C0108,dead-OVL-C0001,dead-OVL-C0010,15,0.136364,0.306122,0.104167
0,1,OVL-C0001,OVL-C0113,dead-OVL-C0001,dead-OVL-C0011,1,0.009091,0.040000,0.007463
0,1,OVL-C0001,OVL-C0114,dead-OVL-C0001,dead-OVL-C0013,1,0.009091,0.045455,0.007634
0,1,OVL-C0002,OVL-C0101,dead-OVL-C0002,dead-OVL-C0101,28,0.280000,0.243478,0.149733
0,1,OVL-C0002,OVL-C0102,dead-OVL-C0002,dead-OVL-C0008,2,0.020000,0.026667,0.011561
0,1,OVL-C0002,OVL-C0104,dead-OVL-C0002,dead-OVL-C0002,63,0.630000,0.984375,0.623762
0,1,OVL-C0002,OVL-C0106,dead-OVL-C0002,dead-OVL-C0003,1,0.010000,0.018182,0.006494
0,1,OVL-C0002,OVL-C0108,dead-OVL-C0002,dead-OVL-C0010,1,0.010000,0.020408,0.006757
0,1,OVL-C0002,OVL-C0110,dead-OVL-C0002,dead-OVL-C0007,1,0.010000,0.028571,0.007463
0,1,OVL-C0003,OVL-C0101,dead-OVL-C0003,dead-OVL-C0101,5,0.081967,0.043478,0.029240
0,1,OVL-C0003,OVL-C0105,dead-OVL-C0003,dead-OVL-C0004,1,0.016393,0.016949,0.008403
0,1,OVL-C0003,OVL-C0106,dead-OVL-C0003,dead-OVL-C0003,52,0.852459,0.945455,0.812500
0,1,OVL-C0003,OVL-C0108,dead-OVL-C0003,dead-OVL-C0010,1,0.016393,0.020408,0.009174
0,1,OVL-C0004,OVL-C0101,dead-OVL-C0004,dead-OVL-C0101,3,0.049180,0.026087,0.017341
0,1,OVL-C0004,OVL-C0102,dead-OVL-C0004,dead-OVL-C0008,1,0.016393,0.013333,0.007407
0,1,OVL-C0004,OVL-C0105,dead-OVL-C0004,dead-OVL-C0004,31,0.508197,0.525424,0.348315
0,1,OVL-C0004,OVL-C0112,dead-OVL-C0004,c07,26,0.426230,0.962963,0.419355
0,1,OVL-C0005,OVL-C0101,dead-OVL-C0005,dead-OVL-C0101,37,0.616667,0.321739,0.268116
0,1,OVL-C0005,OVL-C0103,dead-OVL-C0005,dead-OVL-C0001,4,0.066667,0.059701,0.032520
0,1,OVL-C0005,OVL-C0105,dead-OVL-C0005,dead-OVL-C0004,18,0.300000,0.305085,0.178218
0,1,OVL-C0005,OVL-C0108,dead-OVL-C0005,dead-OVL-C0010,1,0.016667,0.020408,0.009259
0,1,OVL-C0006,OVL-C0101,c05,dead-OVL-C0101,2,0.035088,0.017391,0.011765
0,1,OVL-C0006,OVL-C0102,c05,dead-OVL-C0008,1,0.017544,0.013333,0.007634
0,1,OVL-C0006,OVL-C0107,c05,c05,50,0.877193,0.980392,0.862069
0,1,OVL-C0007,OVL-C0101,dead-OVL-C0007,dead-OVL-C0101,14,0.280000,0.121739,0.092715
0,1,OVL-C0007,OVL-C0102,dead-OVL-C0007,dead-OVL-C0008,1,0.020000,0.013333,0.008065
0,1,OVL-C0007,OVL-C0108,dead-OVL-C0007,dead-OVL-C0010,3,0.060000,0.061224,0.031250
0,1,OVL-C0007,OVL-C0110,dead-OVL-C0007,dead-OVL-C0007,29,0.580000,0.828571,0.517857
0,1,OVL-C0007,OVL-C0112,dead-OVL-C0007,c07,1,0.020000,0.037037,0.013158
0,1,OVL-C0008,OVL-C0101,dead-OVL-C0008,dead-OVL-C0101,1,0.020000,0.008696,0.006098
0,1,OVL-C0008,OVL-C0102,dead-OVL-C0008,dead-OVL-C0008,36,0.720000,0.480000,0.404494
0,1,OVL-C0008,OVL-C0103,dead-OVL-C0008,dead-OVL-C0001,5,0.100000,0.074627,0.044643
0,1,OVL-C0008,OVL-C0105,dead-OVL-C0008,dead-OVL-C0004,2,0.040000,0.033898,0.018692
0,1,OVL-C0008,OVL-C0106,dead-OVL-C0008,dead-OVL-C0003,1,0.020000,0.018182,0.009615
0,1,OVL-C0008,OVL-C0108,dead-OVL-C0008,dead-OVL-C0010,1,0.020000,0.020408,0.010204
0,1,OVL-C0009,OVL-C0109,c08,c08,43,0.914894,0.955556,0.877551
0,1,OVL-C0009,OVL-C0111,c08,c12,1,0.021277,0.034483,0.013333
0,1,OVL-C0010,OVL-C0101,dead-OVL-C0010,dead-OVL-C0101,11,0.250000,0.095652,0.074324
0,1,OVL-C0010,OVL-C0103,dead-OVL-C0010,dead-OVL-C0001,2,0.045455,0.029851,0.018349
0,1,OVL-C0010,OVL-C0105,dead-OVL-C0010,dead-OVL-C0004,3,0.068182,0.050847,0.030000
0,1,OVL-C0010,OVL-C0108,dead-OVL-C0010,dead-OVL-C0010,24,0.545455,0.489796,0.347826
0,1,OVL-C0010,OVL-C0110,dead-OVL-C0010,dead-OVL-C0007,2,0.045455,0.057143,0.025974
0,1,OVL-C0011,OVL-C0101,dead-OVL-C0011,dead-OVL-C0101,1,0.037037,0.008696,0.007092
0,1,OVL-C0011,OVL-C0102,dead-OVL-C0011,dead-OVL-C0008,2,0.074074,0.026667,0.020000
0,1,OVL-C0011,OVL-C0109,dead-OVL-C0011,c08,1,0.037037,0.022222,0.014085
0,1,OVL-C0011,OVL-C0113,dead-OVL-C0011,dead-OVL-C0011,22,0.814815,0.880000,0.733333
0,1,OVL-C0012,OVL-C0111,c12,c12,26,0.962963,0.896552,0.866667
0,1,OVL-C0013,OVL-C0114,dead-OVL-C0013,dead-OVL-C0013,21,0.875000,0.954545,0.840000
0,1,OVL-C0014,OVL-C0115,dead-OVL-C0014,dead-OVL-C0014,10,1.000000,0.833333,0.833333
0,1,OVL-C0015,OVL-C0116,dead-OVL-C0015,dead-OVL-C0015,6,1.000000,0.857143,0.857143
1,2,OVL-C0101,OVL-C0201,dead-OVL-C0101,dead-OVL-C0001,6,0.052174,0.074074,0.031579
1,2,OVL-C0101,OVL-C0202,dead-OVL-C0101,dead-OVL-C0101,61,0.530435,0.772152,0.458647
1,2,OVL-C0101,OVL-C0203,dead-OVL-C0101,dead-OVL-C0002,3,0.026087,0.043478,0.016575
1,2,OVL-C0101,OVL-C0204,dead-OVL-C0101,dead-OVL-C0003,9,0.078261,0.130435,0.051429
1,2,OVL-C0101,OVL-C0205,dead-OVL-C0101,dead-OVL-C0010,10,0.086957,0.149254,0.058140
1,2,OVL-C0101,OVL-C0206,dead-OVL-C0101,c05,1,0.008696,0.015625,0.005618
1,2,OVL-C0101,OVL-C0207,dead-OVL-C0101,dead-OVL-C0004,1,0.008696,0.018519,0.005952
1,2,OVL-C0101,OVL-C0208,dead-OVL-C0101,dead-OVL-C0008,1,0.008696,0.019231,0.006024
1,2,OVL-C0101,OVL-C0209,dead-OVL-C0101,c08,2,0.017391,0.048780,0.012987
1,2,OVL-C0101,OVL-C0210,dead-OVL-C0101,c12,8,0.069565,0.210526,0.055172
1,2,OVL-C0101,OVL-C0212,dead-OVL-C0101,dead-OVL-C0011,3,0.026087,0.093750,0.020833
1,2,OVL-C0101,OVL-C0213,dead-OVL-C0101,c07,1,0.008696,0.033333,0.006944
1,2,OVL-C0101,OVL-C0214,dead-OVL-C0101,dead-OVL-C0214,3,0.026087,0.176471,0.023256
1,2,OVL-C0102,OVL-C0201,dead-OVL-C0008,dead-OVL-C0001,13,0.173333,0.160494,0.090909
1,2,OVL-C0102,OVL-C0202,dead-OVL-C0008,dead-OVL-C0101,1,0.013333,0.012658,0.006536
1,2,OVL-C0102,OVL-C0203,dead-OVL-C0008,dead-OVL-C0002,2,0.026667,0.028986,0.014085
1,2,OVL-C0102,OVL-C0204,dead-OVL-C0008,dead-OVL-C0003,1,0.013333,0.014493,0.006993
1,2,OVL-C0102,OVL-C0206,dead-OVL-C0008,c05,1,0.013333,0.015625,0.007246
1,2,OVL-C0102,OVL-C0208,dead-OVL-C0008,dead-OVL-C0008,43,0.573333,0.826923,0.511905
1,2,OVL-C0102,OVL-C0211,dead-OVL-C0008,dead-OVL-C0007,2,0.026667,0.057143,0.018519
1,2,OVL-C0102,OVL-C0212,dead-OVL-C0008,dead-OVL-C0011,5,0.066667,0.156250,0.049020
1,2,OVL-C0102,OVL-C0213,dead-OVL-C0008,c07,1,0.013333,0.033333,0.009615
1,2,OVL-C0102,OVL-C0214,dead-OVL-C0008,dead-OVL-C0214,4,0.053333,0.235294,0.045455
1,2,OVL-C0103,OVL-C0201,dead-OVL-C0001,dead-OVL-C0001,47,0.701493,0.580247,0.465347
1,2,OVL-C0103,OVL-C0202,dead-OVL-C0001,dead-OVL-C0101,1,0.014925,0.012658,0.006897
1,2,OVL-C0103,OVL-C0203,dead-OVL-C0001,dead-OVL-C0002,1,0.014925,0.014493,0.007407
1,2,OVL-C0103,OVL-C0204,dead-OVL-C0001,dead-OVL-C0003,3,0.044776,0.043478,0.022556
1,2,OVL-C0103,OVL-C0211,dead-OVL-C0001,dead-OVL-C0007,2,0.029851,0.057143,0.020000
1,2,OVL-C0103,OVL-C0214,dead-OVL-C0001,dead-OVL-C0214,8,0.119403,0.470588,0.105263
1,2,OVL-C0104,OVL-C0203,dead-OVL-C0002,dead-OVL-C0002,60,0.937500,0.869565,0.821918
1,2,OVL-C0104,OVL-C0208,dead-OVL-C0002,dead-OVL-C0008,2,0.031250,0.038462,0.017544
1,2,OVL-C0105,OVL-C0202,dead-OVL-C0004,dead-OVL-C0101,2,0.033898,0.025316,0.014706
1,2,OVL-C0105,OVL-C0204,dead-OVL-C0004,dead-OVL-C0003,1,0.016949,0.014493,0.007874
