observation_id,overlapped_identity_groups,overlapped_group_count
OVL-C0001,dead-OVL-C0001;dead-OVL-C0003;dead-OVL-C0004;dead-OVL-C0008;dead-OVL-C0010;dead-OVL-C0011;dead-OVL-C0013;dead-OVL-C0101,8
OVL-C0002,dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0007;dead-OVL-C0008;dead-OVL-C0010;dead-OVL-C0101,6
OVL-C0003,dead-OVL-C0003;dead-OVL-C0004;dead-OVL-C0010;dead-OVL-C0101,4
OVL-C0004,c07;dead-OVL-C0004;dead-OVL-C0008;dead-OVL-C0101,4
OVL-C0005,dead-OVL-C0001;dead-OVL-C0004;dead-OVL-C0010;dead-OVL-C0101,4
OVL-C0006,c05;dead-OVL-C0008;dead-OVL-C0101,3
OVL-C0007,c07;dead-OVL-C0007;dead-OVL-C0008;dead-OVL-C0010;dead-OVL-C0101,5
OVL-C0008,dead-OVL-C0001;dead-OVL-C0003;dead-OVL-C0004;dead-OVL-C0008;dead-OVL-C0010;dead-OVL-C0101,6
OVL-C0009,c08;c12,2
OVL-C0010,dead-OVL-C0001;dead-OVL-C0004;dead-OVL-C0007;dead-OVL-C0010;dead-OVL-C0101,5
OVL-C0011,c08;dead-OVL-C0008;dead-OVL-C0011;dead-OVL-C0101,4
OVL-C0012,c12,1
OVL-C0013,dead-OVL-C0013,1
OVL-C0014,dead-OVL-C0014,1
OVL-C0015,dead-OVL-C0015,1
OVL-C0101,c05;c07;c08;c12;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0004;dead-OVL-C0005;dead-OVL-C0007;dead-OVL-C0008;dead-OVL-C0010;dead-OVL-C0011;dead-OVL-C0101;dead-OVL-C0214,15
OVL-C0102,c05;c07;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0004;dead-OVL-C0007;dead-OVL-C0008;dead-OVL-C0011;dead-OVL-C0101;dead-OVL-C0214,11
OVL-C0103,dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0005;dead-OVL-C0007;dead-OVL-C0008;dead-OVL-C0010;dead-OVL-C0101;dead-OVL-C0214,9
OVL-C0104,dead-OVL-C0002;dead-OVL-C0008,2
OVL-C0105,c07;c12;dead-OVL-C0001;dead-OVL-C0003;dead-OVL-C0004;dead-OVL-C0005;dead-OVL-C0008;dead-OVL-C0010;dead-OVL-C0011;dead-OVL-C0101,10
OVL-C0106,c05;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0008;dead-OVL-C0101,6
OVL-C0107,c05;dead-OVL-C0101,2
OVL-C0108,c07;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0005;dead-OVL-C0007;dead-OVL-C0008;dead-OVL-C0010,8
OVL-C0109,c05;c08;dead-OVL-C0010;dead-OVL-C0011;dead-OVL-C0101;dead-OVL-C0214,6
OVL-C0110,dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0007;dead-OVL-C0010;dead-OVL-C0101,5
OVL-C0111,c08;c12,2
OVL-C0112,c07;dead-OVL-C0004;dead-OVL-C0007,3
OVL-C0113,dead-OVL-C0001;dead-OVL-C0008;dead-OVL-C0010;dead-OVL-C0011,4
OVL-C0114,dead-OVL-C0001;dead-OVL-C0010;dead-OVL-C0013,3
OVL-C0115,c05;dead-OVL-C0014,2
OVL-C0116,dead-OVL-C0003;dead-OVL-C0015,2
