identity_group,birth_snapshot,last_snapshot,lifespan_snapshots,final_size,observation_ids,observation_count,events
c01,16,19,4,93,OVL-C1602=OVL-C1704=OVL-C1802=OVL-C1901,4,OVL-E0222:split@s15->s16;OVL-E0223:split@s15->s16;OVL-E0225:merge@s15->s16;OVL-E0239:continuation@s16->s17;OVL-E0250:continuation@s17->s18;OVL-E0260:split@s18->s19;OVL-E0262:split@s18->s19;OVL-E0263:merge@s18->s19
c02,10,19,10,88,OVL-C1008=OVL-C1106=OVL-C1205=OVL-C1301=OVL-C1401=OVL-C1501=OVL-C1604=OVL-C1705=OVL-C1805=OVL-C1902,10,OVL-E0138:split@s9->s10;OVL-E0141:split@s9->s10;OVL-E0147:merge@s9->s10;OVL-E0158:continuation@s10->s11;OVL-E0170:continuation@s11->s12;OVL-E0181:merge@s12->s13;OVL-E0197:merge@s13->s14;OVL-E0208:split@s14->s15;OVL-E0209:split@s14->s15;OVL-E0212:merge@s14->s15;OVL-E0222:split@s15->s16;OVL-E0225:merge@s15->s16;OVL-E0234:split@s16->s17;OVL-E0252:merge@s17->s18;OVL-E0264:merge@s18->s19
c03,16,19,4,82,OVL-C1601=OVL-C1701=OVL-C1807=OVL-C1903,4,OVL-E0224:continuation@s15->s16;OVL-E0236:continuation@s16->s17;OVL-E0246:split@s17->s18;OVL-E0265:continuation@s18->s19
c04,14,19,6,79,OVL-C1407=OVL-C1503=OVL-C1603=OVL-C1702=OVL-C1803=OVL-C1904,6,OVL-E0195:split@s13->s14;OVL-E0196:split@s13->s14;OVL-E0202:merge@s13->s14;OVL-E0209:split@s14->s15;OVL-E0210:split@s14->s15;OVL-E0214:merge@s14->s15;OVL-E0218:merge@s14->s15;OVL-E0226:merge@s15->s16;OVL-E0237:continuation@s16->s17;OVL-E0247:split@s17->s18;OVL-E0266:continuation@s18->s19
c05,0,19,20,65,OVL-C0006=OVL-C0107=OVL-C0206=OVL-C0302=OVL-C0406=OVL-C0504=OVL-C0604=OVL-C0704=OVL-C0803=OVL-C0903=OVL-C1003=OVL-C1103=OVL-C1202=OVL-C1303=OVL-C1402=OVL-C1502=OVL-C1606=OVL-C1703=OVL-C1801=OVL-C1905,20,OVL-E0006:birth@s0;OVL-E0022:continuation@s0->s1;OVL-E0036:merge@s1->s2;OVL-E0047:continuation@s2->s3;OVL-E0066:continuation@s3->s4;OVL-E0078:continuation@s4->s5;OVL-E0091:continuation@s5->s6;OVL-E0102:merge@s6->s7;OVL-E0113:continuation@s7->s8;OVL-E0125:continuation@s8->s9;OVL-E0144:continuation@s9->s10;OVL-E0155:continuation@s10->s11;OVL-E0168:continuation@s11->s12;OVL-E0180:split@s12->s13;OVL-E0198:merge@s13->s14;OVL-E0213:continuation@s14->s15;OVL-E0228:continuation@s15->s16;OVL-E0238:continuation@s16->s17;OVL-E0249:continuation@s17->s18;OVL-E0259:split@s18->s19
c06,18,19,2,61,OVL-C1806=OVL-C1906,2,OVL-E0246:split@s17->s18;OVL-E0267:continuation@s18->s19
c07,1,19,19,53,OVL-C0112=OVL-C0213=OVL-C0312=OVL-C0407=OVL-C0506=OVL-C0606=OVL-C0707=OVL-C0807=OVL-C0907=OVL-C1005=OVL-C1110=OVL-C1208=OVL-C1307=OVL-C1406=OVL-C1506=OVL-C1605=OVL-C1706=OVL-C1804=OVL-C1907,19,OVL-E0016:split@s0->s1;OVL-E0043:continuation@s1->s2;OVL-E0055:continuation@s2->s3;OVL-E0059:split@s3->s4;OVL-E0067:merge@s3->s4;OVL-E0074:split@s4->s5;OVL-E0079:merge@s4->s5;OVL-E0082:merge@s4->s5;OVL-E0093:continuation@s5->s6;OVL-E0104:continuation@s6->s7;OVL-E0116:continuation@s7->s8;OVL-E0129:continuation@s8->s9;OVL-E0145:continuation@s9->s10;OVL-E0161:continuation@s10->s11;OVL-E0173:continuation@s11->s12;OVL-E0186:continuation@s12->s13;OVL-E0201:continuation@s13->s14;OVL-E0217:continuation@s14->s15;OVL-E0223:split@s15->s16;OVL-E0227:merge@s15->s16;OVL-E0235:split@s16->s17;OVL-E0251:continuation@s17->s18;OVL-E0261:split@s18->s19
c08,0,19,20,47,OVL-C0009=OVL-C0109=OVL-C0209=OVL-C0308=OVL-C0408=OVL-C0507=OVL-C0609=OVL-C0709=OVL-C0809=OVL-C0909=OVL-C1009=OVL-C1109=OVL-C1209=OVL-C1308=OVL-C1410=OVL-C1508=OVL-C1608=OVL-C1708=OVL-C1808=OVL-C1908,20,OVL-E0009:birth@s0;OVL-E0024:continuation@s0->s1;OVL-E0039:continuation@s1->s2;OVL-E0051:continuation@s2->s3;OVL-E0068:continuation@s3->s4;OVL-E0080:continuation@s4->s5;OVL-E0096:continuation@s5->s6;OVL-E0106:continuation@s6->s7;OVL-E0118:continuation@s7->s8;OVL-E0131:continuation@s8->s9;OVL-E0148:continuation@s9->s10;OVL-E0160:continuation@s10->s11;OVL-E0174:continuation@s11->s12;OVL-E0187:continuation@s12->s13;OVL-E0204:continuation@s13->s14;OVL-E0219:continuation@s14->s15;OVL-E0230:continuation@s15->s16;OVL-E0241:continuation@s16->s17;OVL-E0253:continuation@s17->s18;OVL-E0268:continuation@s18->s19
c09,19,19,1,37,OVL-C1909,1,OVL-E0261:split@s18->s19
c10,14,19,6,34,OVL-C1411=OVL-C1509=OVL-C1609=OVL-C1709=OVL-C1809=OVL-C1910,6,OVL-E0194:split@s13->s14;OVL-E0220:continuation@s14->s15;OVL-E0231:continuation@s15->s16;OVL-E0242:continuation@s16->s17;OVL-E0254:continuation@s17->s18;OVL-E0269:continuation@s18->s19
