identity_group,final_observation_id,snapshot_index,snapshot_label,local_id,size,nodes_json
c01,OVL-C1901,19,days_475_525,0,93,"[8, 32, 39, 53, 65, 75, 76, 91, 120, 143, 144, 148, 150, 151, 159, 181, 186, 190, 191, 193, 196, 197, 203, 205, 213, 214, 220, 230, 235, 239, 242, 253, 257, 273, 274, 283, 290, 292, 312, 334, 340, 367, 438, 471, 476, 486, 515, 544, 557, 566, 580, 600, 609, 617, 627, 633, 640, 656, 660, 661, 669, 675, 681, 687, 701, 706, 728, 739, 741, 752, 768, 772, 776, 787, 791, 792, 807, 818, 852, 865, 875, 880, 890, 920, 923, 927, 940, 941, 951, 962, 970, 983, 997]"
c02,OVL-C1902,19,days_475_525,1,88,"[26, 40, 54, 60, 72, 82, 83, 86, 105, 135, 137, 152, 155, 161, 170, 187, 198, 229, 233, 254, 272, 293, 300, 306, 307, 326, 374, 379, 390, 394, 398, 400, 405, 443, 450, 466, 488, 523, 527, 533, 568, 571, 572, 581, 587, 606, 612, 626, 628, 637, 659, 662, 665, 668, 673, 692, 695, 697, 703, 712, 720, 742, 746, 749, 769, 771, 774, 775, 784, 802, 813, 827, 834, 835, 855, 863, 864, 870, 900, 901, 914, 935, 937, 942, 947, 965, 981, 993]"
c03,OVL-C1903,19,days_475_525,2,82,"[7, 22, 38, 42, 46, 50, 64, 69, 70, 84, 88, 96, 102, 103, 106, 125, 132, 139, 153, 154, 164, 206, 247, 299, 308, 309, 310, 322, 323, 324, 337, 343, 346, 368, 376, 378, 388, 395, 399, 402, 411, 418, 420, 460, 474, 477, 487, 489, 505, 509, 510, 514, 528, 534, 559, 562, 588, 591, 603, 622, 634, 638, 649, 663, 676, 735, 740, 780, 788, 822, 832, 853, 879, 893, 906, 922, 939, 943, 950, 969, 977, 996]"
c04,OVL-C1904,19,days_475_525,3,79,"[5, 10, 11, 13, 14, 29, 93, 107, 118, 131, 173, 192, 199, 201, 208, 226, 236, 262, 270, 289, 320, 327, 335, 380, 381, 382, 396, 437, 440, 448, 461, 464, 468, 491, 506, 516, 532, 537, 541, 553, 576, 597, 611, 619, 639, 643, 644, 650, 652, 657, 664, 670, 682, 685, 688, 690, 702, 719, 738, 745, 761, 778, 783, 804, 808, 810, 828, 837, 850, 881, 898, 899, 921, 924, 945, 979, 980, 985, 1001]"
c05,OVL-C1905,19,days_475_525,4,65,"[2, 30, 43, 52, 57, 77, 90, 104, 109, 119, 133, 168, 177, 182, 218, 232, 244, 250, 256, 260, 266, 305, 313, 356, 384, 416, 425, 439, 465, 472, 521, 545, 554, 556, 574, 575, 598, 602, 625, 648, 651, 689, 699, 700, 721, 730, 743, 744, 763, 765, 790, 812, 841, 845, 868, 876, 886, 889, 908, 912, 944, 946, 948, 949, 966]"
c06,OVL-C1906,19,days_475_525,5,61,"[16, 19, 55, 61, 71, 89, 101, 114, 122, 127, 149, 169, 184, 189, 195, 223, 225, 237, 243, 246, 281, 315, 365, 372, 377, 393, 404, 407, 410, 423, 457, 479, 490, 522, 593, 595, 621, 654, 708, 711, 716, 718, 724, 732, 754, 777, 779, 781, 815, 843, 858, 861, 866, 883, 896, 904, 905, 907, 934, 991, 1004]"
c07,OVL-C1907,19,days_475_525,6,53,"[21, 24, 67, 112, 158, 160, 248, 267, 280, 288, 344, 353, 360, 373, 391, 392, 397, 414, 445, 459, 478, 484, 493, 497, 507, 517, 526, 530, 546, 550, 561, 563, 607, 610, 629, 630, 631, 658, 671, 674, 678, 696, 750, 751, 773, 803, 816, 846, 891, 902, 963, 975, 995]"
c08,OVL-C1908,19,days_475_525,7,47,"[28, 33, 56, 68, 95, 175, 231, 245, 251, 264, 269, 275, 311, 329, 338, 361, 364, 427, 433, 462, 480, 482, 531, 540, 582, 624, 632, 641, 698, 736, 737, 764, 796, 798, 809, 819, 830, 840, 849, 872, 873, 874, 910, 925, 955, 987, 994]"
c09,OVL-C1909,19,days_475_525,8,37,"[3, 4, 35, 141, 167, 188, 207, 241, 301, 304, 317, 371, 387, 421, 424, 431, 441, 451, 456, 469, 512, 547, 552, 570, 585, 614, 645, 667, 795, 817, 848, 851, 860, 954, 957, 978, 988]"
c10,OVL-C1910,19,days_475_525,9,34,"[0, 6, 78, 99, 130, 178, 228, 249, 295, 314, 333, 339, 359, 403, 409, 432, 442, 470, 502, 519, 538, 569, 599, 605, 693, 705, 710, 767, 786, 789, 862, 878, 929, 976]"
