identity_group,status,birth_snapshot,last_snapshot,lifespan_snapshots,observation_ids,observation_count
c01,alive,16,19,4,OVL-C1602=OVL-C1704=OVL-C1802=OVL-C1901,4
c02,alive,10,19,10,OVL-C1008=OVL-C1106=OVL-C1205=OVL-C1301=OVL-C1401=OVL-C1501=OVL-C1604=OVL-C1705=OVL-C1805=OVL-C1902,10
c03,alive,16,19,4,OVL-C1601=OVL-C1701=OVL-C1807=OVL-C1903,4
c04,alive,14,19,6,OVL-C1407=OVL-C1503=OVL-C1603=OVL-C1702=OVL-C1803=OVL-C1904,6
c05,alive,0,19,20,OVL-C0006=OVL-C0107=OVL-C0206=OVL-C0302=OVL-C0406=OVL-C0504=OVL-C0604=OVL-C0704=OVL-C0803=OVL-C0903=OVL-C1003=OVL-C1103=OVL-C1202=OVL-C1303=OVL-C1402=OVL-C1502=OVL-C1606=OVL-C1703=OVL-C1801=OVL-C1905,20
c06,alive,18,19,2,OVL-C1806=OVL-C1906,2
c07,alive,1,19,19,OVL-C0112=OVL-C0213=OVL-C0312=OVL-C0407=OVL-C0506=OVL-C0606=OVL-C0707=OVL-C0807=OVL-C0907=OVL-C1005=OVL-C1110=OVL-C1208=OVL-C1307=OVL-C1406=OVL-C1506=OVL-C1605=OVL-C1706=OVL-C1804=OVL-C1907,19
c08,alive,0,19,20,OVL-C0009=OVL-C0109=OVL-C0209=OVL-C0308=OVL-C0408=OVL-C0507=OVL-C0609=OVL-C0709=OVL-C0809=OVL-C0909=OVL-C1009=OVL-C1109=OVL-C1209=OVL-C1308=OVL-C1410=OVL-C1508=OVL-C1608=OVL-C1708=OVL-C1808=OVL-C1908,20
c09,alive,19,19,1,OVL-C1909,1
c10,alive,14,19,6,OVL-C1411=OVL-C1509=OVL-C1609=OVL-C1709=OVL-C1809=OVL-C1910,6
c11,alive,19,19,1,OVL-C1911,1
c12,alive,0,19,20,OVL-C0012=OVL-C0111=OVL-C0210=OVL-C0313=OVL-C0410=OVL-C0512=OVL-C0608=OVL-C0708=OVL-C0811=OVL-C0911=OVL-C1012=OVL-C1111=OVL-C1211=OVL-C1309=OVL-C1408=OVL-C1510=OVL-C1607=OVL-C1707=OVL-C1810=OVL-C1912,20
c13,alive,17,19,3,OVL-C1710=OVL-C1812=OVL-C1913,3
c14,alive,15,19,5,OVL-C1511=OVL-C1610=OVL-C1711=OVL-C1813=OVL-C1914,5
c15,alive,19,19,1,OVL-C1915,1
c16,alive,18,19,2,OVL-C1814=OVL-C1916,2
c17,alive,19,19,1,OVL-C1917,1
c18,alive,18,19,2,OVL-C1816=OVL-C1918,2
