approach,snapshot_index,local_id,observation_id,decision,from_snapshot,from_local_id,from_observation_id,overlap_size,jaccard,prospective_stability,retrospective_stability,candidate_parent_local_ids,candidate_parent_observation_ids
overlap,1,0,OVL-C0101,new,,,,,,,,4;1;6;9;0;2;3;5;10;7,OVL-C0005;OVL-C0002;OVL-C0007;OVL-C0010;OVL-C0001;OVL-C0003;OVL-C0004;OVL-C0006;OVL-C0011;OVL-C0008
overlap,1,1,OVL-C0102,inherited,0,7,OVL-C0008,36,0.404494,0.720000,0.480000,7;0;10;1;6;5;3,OVL-C0008;OVL-C0001;OVL-C0011;OVL-C0002;OVL-C0007;OVL-C0006;OVL-C0004
overlap,1,2,OVL-C0103,inherited,0,0,OVL-C0001,54,0.439024,0.490909,0.805970,0;7;4;9,OVL-C0001;OVL-C0008;OVL-C0005;OVL-C0010
overlap,1,3,OVL-C0104,inherited,0,1,OVL-C0002,63,0.623762,0.630000,0.984375,1,OVL-C0002
overlap,1,4,OVL-C0105,inherited,0,3,OVL-C0004,31,0.348315,0.508197,0.525424,3;4;9;7;2;0,OVL-C0004;OVL-C0005;OVL-C0010;OVL-C0008;OVL-C0003;OVL-C0001
overlap,1,5,OVL-C0106,inherited,0,2,OVL-C0003,52,0.812500,0.852459,0.945455,2;7;1;0,OVL-C0003;OVL-C0008;OVL-C0002;OVL-C0001
overlap,1,6,OVL-C0107,inherited,0,5,OVL-C0006,50,0.862069,0.877193,0.980392,5,OVL-C0006
overlap,1,7,OVL-C0108,inherited,0,9,OVL-C0010,24,0.347826,0.545455,0.489796,9;0;6;7;4;2;1,OVL-C0010;OVL-C0001;OVL-C0007;OVL-C0008;OVL-C0005;OVL-C0003;OVL-C0002
overlap,1,8,OVL-C0109,inherited,0,8,OVL-C0009,43,0.877551,0.914894,0.955556,8;10,OVL-C0009;OVL-C0011
overlap,1,9,OVL-C0110,inherited,0,6,OVL-C0007,29,0.517857,0.580000,0.828571,6;9;1,OVL-C0007;OVL-C0010;OVL-C0002
overlap,1,10,OVL-C0111,inherited,0,11,OVL-C0012,26,0.866667,0.962963,0.896552,11;8,OVL-C0012;OVL-C0009
overlap,1,11,OVL-C0112,new,,,,,,,,3;6,OVL-C0004;OVL-C0007
overlap,1,12,OVL-C0113,inherited,0,10,OVL-C0011,22,0.733333,0.814815,0.880000,10;0,OVL-C0011;OVL-C0001
overlap,1,13,OVL-C0114,inherited,0,12,OVL-C0013,21,0.840000,0.875000,0.954545,12;0,OVL-C0013;OVL-C0001
overlap,1,14,OVL-C0115,inherited,0,13,OVL-C0014,10,0.833333,1.000000,0.833333,13,OVL-C0014
