identity_group,birth_events,continuation_events,split_events,merge_events,death_events,split_count,merge_count
c01,,OVL-E0239;OVL-E0239;OVL-E0250;OVL-E0250,OVL-E0222;OVL-E0223;OVL-E0260;OVL-E0260;OVL-E0262,OVL-E0225;OVL-E0263;OVL-E0263,,5,3
c02,,OVL-E0158;OVL-E0158;OVL-E0170;OVL-E0170,OVL-E0138;OVL-E0141;OVL-E0208;OVL-E0209;OVL-E0222;OVL-E0222;OVL-E0234;OVL-E0234,OVL-E0147;OVL-E0181;OVL-E0181;OVL-E0197;OVL-E0197;OVL-E0212;OVL-E0212;OVL-E0225;OVL-E0252;OVL-E0252;OVL-E0264;OVL-E0264,,8,12
c03,,OVL-E0224;OVL-E0236;OVL-E0236;OVL-E0265;OVL-E0265,OVL-E0246;OVL-E0246,,,2,0
c04,,OVL-E0237;OVL-E0237;OVL-E0266;OVL-E0266,OVL-E0195;OVL-E0196;OVL-E0209;OVL-E0210;OVL-E0210;OVL-E0247;OVL-E0247,OVL-E0202;OVL-E0214;OVL-E0214;OVL-E0218;OVL-E0226;OVL-E0226,,7,6
c05,OVL-E0006,OVL-E0022;OVL-E0022;OVL-E0047;OVL-E0047;OVL-E0066;OVL-E0066;OVL-E0078;OVL-E0078;OVL-E0091;OVL-E0091;OVL-E0113;OVL-E0113;OVL-E0125;OVL-E0125;OVL-E0144;OVL-E0144;OVL-E0155;OVL-E0155;OVL-E0168;OVL-E0168;OVL-E0213;OVL-E0213;OVL-E0228;OVL-E0228;OVL-E0238;OVL-E0238;OVL-E0249;OVL-E0249,OVL-E0180;OVL-E0180;OVL-E0259;OVL-E0259,OVL-E0036;OVL-E0036;OVL-E0102;OVL-E0102;OVL-E0198;OVL-E0198,,4,6
c06,,OVL-E0267;OVL-E0267,OVL-E0246,,,1,0
c07,,OVL-E0043;OVL-E0043;OVL-E0055;OVL-E0055;OVL-E0093;OVL-E0093;OVL-E0104;OVL-E0104;OVL-E0116;OVL-E0116;OVL-E0129;OVL-E0129;OVL-E0145;OVL-E0145;OVL-E0161;OVL-E0161;OVL-E0173;OVL-E0173;OVL-E0186;OVL-E0186;OVL-E0201;OVL-E0201;OVL-E0217;OVL-E0217;OVL-E0251;OVL-E0251,OVL-E0016;OVL-E0059;OVL-E0074;OVL-E0074;OVL-E0223;OVL-E0235;OVL-E0235;OVL-E0261;OVL-E0261,OVL-E0067;OVL-E0067;OVL-E0079;OVL-E0079;OVL-E0082;OVL-E0227;OVL-E0227,,9,7
c08,OVL-E0009,OVL-E0024;OVL-E0024;OVL-E0039;OVL-E0039;OVL-E0051;OVL-E0051;OVL-E0068;OVL-E0068;OVL-E0080;OVL-E0080;OVL-E0096;OVL-E0096;OVL-E0106;OVL-E0106;OVL-E0118;OVL-E0118;OVL-E0131;OVL-E0131;OVL-E0148;OVL-E0148;OVL-E0160;OVL-E0160;OVL-E0174;OVL-E0174;OVL-E0187;OVL-E0187;OVL-E0204;OVL-E0204;OVL-E0219;OVL-E0219;OVL-E0230;OVL-E0230;OVL-E0241;OVL-E0241;OVL-E0253;OVL-E0253;OVL-E0268;OVL-E0268,,,,0,0
c09,,,OVL-E0261,,,1,0
c10,,OVL-E0220;OVL-E0220;OVL-E0231;OVL-E0231;OVL-E0242;OVL-E0242;OVL-E0254;OVL-E0254;OVL-E0269;OVL-E0269,OVL-E0194,,,1,0
c11,,,OVL-E0259,,,1,0
c12,OVL-E0012,OVL-E0026;OVL-E0026;OVL-E0040;OVL-E0040;OVL-E0056;OVL-E0056;OVL-E0069;OVL-E0069;OVL-E0083;OVL-E0083;OVL-E0095;OVL-E0095;OVL-E0105;OVL-E0105;OVL-E0133;OVL-E0133;OVL-E0149;OVL-E0149;OVL-E0162;OVL-E0162;OVL-E0176;OVL-E0176;OVL-E0188;OVL-E0188;OVL-E0203;OVL-E0203;OVL-E0240;OVL-E0240;OVL-E0270;OVL-E0270,OVL-E0110;OVL-E0110;OVL-E0211;OVL-E0211;OVL-E0248;OVL-E0248,OVL-E0229;OVL-E0229,,6,2
c13,,OVL-E0256;OVL-E0256;OVL-E0271;OVL-E0271,OVL-E0235,,,1,0
c14,,OVL-E0232;OVL-E0232;OVL-E0243;OVL-E0243;OVL-E0257;OVL-E0257;OVL-E0272;OVL-E0272,OVL-E0208,,,1,0
c15,,,OVL-E0260,,,1,0
c16,,OVL-E0273;OVL-E0273,OVL-E0248,,,1,0
c17,,,OVL-E0262,,,1,0
c18,,OVL-E0274;OVL-E0274,OVL-E0247,,,1,0
dead-OVL-C0001,OVL-E0001,OVL-E0019;OVL-E0019;OVL-E0092;OVL-E0092;OVL-E0112;OVL-E0112;OVL-E0123;OVL-E0123,OVL-E0031;OVL-E0031;OVL-E0044;OVL-E0044;OVL-E0058;OVL-E0072;OVL-E0072;OVL-E0099;OVL-E0136,OVL-E0065;OVL-E0065;OVL-E0100;OVL-E0100;OVL-E0146,,9,5
dead-OVL-C0002,OVL-E0002,OVL-E0020;OVL-E0020;OVL-E0033;OVL-E0033;OVL-E0048;OVL-E0048;OVL-E0064;OVL-E0064;OVL-E0089;OVL-E0089;OVL-E0111;OVL-E0111;OVL-E0126;OVL-E0126;OVL-E0143;OVL-E0143;OVL-E0156;OVL-E0156;OVL-E0169;OVL-E0169;OVL-E0182;OVL-E0182,OVL-E0073;OVL-E0194;OVL-E0194;OVL-E0209,OVL-E0075;OVL-E0075;OVL-E0101;OVL-E0101;OVL-E0212;OVL-E0214,,4,6
dead-OVL-C0003,OVL-E0003,OVL-E0021;OVL-E0021;OVL-E0049;OVL-E0049;OVL-E0077;OVL-E0077;OVL-E0115;OVL-E0115;OVL-E0132;OVL-E0132,OVL-E0060;OVL-E0086;OVL-E0141,OVL-E0034;OVL-E0034;OVL-E0063;OVL-E0063;OVL-E0090;OVL-E0090;OVL-E0103;OVL-E0103;OVL-E0147,,3,9
dead-OVL-C0004,OVL-E0004,OVL-E0037;OVL-E0037;OVL-E0050;OVL-E0050,OVL-E0016;OVL-E0016;OVL-E0059;OVL-E0059,OVL-E0067;OVL-E0079,,4,2
dead-OVL-C0005,OVL-E0005,OVL-E0017,,,,0,0
dead-OVL-C0007,OVL-E0007,OVL-E0025;OVL-E0025;OVL-E0041;OVL-E0041;OVL-E0052;OVL-E0052,OVL-E0060,OVL-E0063;OVL-E0071,,1,2
dead-OVL-C0008,OVL-E0008,OVL-E0018;OVL-E0018;OVL-E0038;OVL-E0038,,OVL-E0046,,0,1
dead-OVL-C0010,OVL-E0010,OVL-E0023;OVL-E0023;OVL-E0054,,OVL-E0035;OVL-E0035,,0,2
dead-OVL-C0011,OVL-E0011,OVL-E0027;OVL-E0027;OVL-E0042;OVL-E0042;OVL-E0053;OVL-E0053,OVL-E0061,,,1,0
dead-OVL-C0013,OVL-E0013,OVL-E0028;OVL-E0028,,OVL-E0035,,0,1
dead-OVL-C0014,OVL-E0014,OVL-E0029;OVL-E0029,,OVL-E0036,,0,1
dead-OVL-C0015,OVL-E0015,OVL-E0030;OVL-E0030,,OVL-E0034,,0,1
dead-OVL-C0101,,OVL-E0017;OVL-E0032;OVL-E0032,OVL-E0045,OVL-E0046,,1,1
dead-OVL-C0214,,OVL-E0057;OVL-E0057,OVL-E0031,OVL-E0071,,1,1
dead-OVL-C0301,,OVL-E0076;OVL-E0076,OVL-E0045,OVL-E0046;OVL-E0062;OVL-E0062;OVL-E0088,,1,4
dead-OVL-C0306,,,OVL-E0044;OVL-E0058,OVL-E0065,,2,1
dead-OVL-C0311,,OVL-E0054;OVL-E0070;OVL-E0070;OVL-E0085;OVL-E0085,,OVL-E0088,,0,1
dead-OVL-C0314,,,OVL-E0045,OVL-E0062,,1,1
dead-OVL-C0405,,,OVL-E0061;OVL-E0073,OVL-E0075,,2,1
dead-OVL-C0411,,OVL-E0084;OVL-E0084,OVL-E0058,OVL-E0094,,1,1
dead-OVL-C0413,,OVL-E0081;OVL-E0081,OVL-E0060;OVL-E0086,OVL-E0071;OVL-E0090,,2,2
dead-OVL-C0414,,,OVL-E0061,OVL-E0082,,1,1
dead-OVL-C0509,,,OVL-E0072,OVL-E0094,,1,1
dead-OVL-C0510,,OVL-E0107;OVL-E0107;OVL-E0130;OVL-E0130;OVL-E0157;OVL-E0157;OVL-E0175;OVL-E0175;OVL-E0190;OVL-E0190;OVL-E0205;OVL-E0205,OVL-E0074;OVL-E0087;OVL-E0087;OVL-E0140;OVL-E0140;OVL-E0210;OVL-E0223,OVL-E0082;OVL-E0119;OVL-E0119;OVL-E0218;OVL-E0218;OVL-E0225;OVL-E0227,,7,7
dead-OVL-C0511,,OVL-E0097;OVL-E0097,OVL-E0073,OVL-E0101,,1,1
dead-OVL-C0601,,,OVL-E0098;OVL-E0098;OVL-E0109,OVL-E0088;OVL-E0117,,3,2
dead-OVL-C0607,,,OVL-E0099,OVL-E0094;OVL-E0100,,1,2
dead-OVL-C0612,,,OVL-E0086,OVL-E0102,,1,1
dead-OVL-C0613,,,OVL-E0086,OVL-E0103,,1,1
dead-OVL-C0614,,OVL-E0108;OVL-E0108,OVL-E0087,OVL-E0119,,1,1
dead-OVL-C0706,,OVL-E0114;OVL-E0114;OVL-E0159;OVL-E0159;OVL-E0171;OVL-E0171;OVL-E0184;OVL-E0184;OVL-E0199;OVL-E0199;OVL-E0216;OVL-E0216;OVL-E0224,OVL-E0098;OVL-E0137;OVL-E0137,OVL-E0124;OVL-E0124;OVL-E0142,,3,3
dead-OVL-C0711,,,OVL-E0099,OVL-E0117,,1,1
dead-OVL-C0712,,OVL-E0120;OVL-E0120;OVL-E0134;OVL-E0134;OVL-E0150;OVL-E0150;OVL-E0163;OVL-E0163;OVL-E0177;OVL-E0177;OVL-E0192;OVL-E0192,OVL-E0098,OVL-E0200,,1,1
dead-OVL-C0804,,OVL-E0127;OVL-E0127,OVL-E0109;OVL-E0138,OVL-E0147,,2,1
dead-OVL-C0808,,OVL-E0128;OVL-E0128,OVL-E0109;OVL-E0139,OVL-E0117;OVL-E0142;OVL-E0146,,2,3
dead-OVL-C0812,,,OVL-E0109,OVL-E0124,,1,1
dead-OVL-C0813,,OVL-E0135;OVL-E0135;OVL-E0151;OVL-E0151,OVL-E0110,OVL-E0154,,1,1
dead-OVL-C0815,OVL-E0121,,,,OVL-E0122,0,0
dead-OVL-C1001,,,OVL-E0137;OVL-E0139;OVL-E0166;OVL-E0166,OVL-E0142;OVL-E0154;OVL-E0154;OVL-E0181,,4,4
dead-OVL-C1006,,,OVL-E0136;OVL-E0139;OVL-E0152,OVL-E0146;OVL-E0153,,3,2
dead-OVL-C1007,,,OVL-E0136,OVL-E0153,,1,1
dead-OVL-C1011,,,OVL-E0141,OVL-E0154,,1,1
dead-OVL-C1013,,OVL-E0164;OVL-E0164;OVL-E0178;OVL-E0178;OVL-E0189;OVL-E0189,OVL-E0138,OVL-E0197,,1,1
dead-OVL-C1016,,OVL-E0165;OVL-E0165;OVL-E0179;OVL-E0179;OVL-E0193;OVL-E0193;OVL-E0207;OVL-E0207,OVL-E0140,OVL-E0214,,1,1
dead-OVL-C1101,,OVL-E0167;OVL-E0167;OVL-E0183;OVL-E0183;OVL-E0215;OVL-E0215,OVL-E0152;OVL-E0195;OVL-E0195,OVL-E0153;OVL-E0202;OVL-E0226,,3,3
dead-OVL-C1107,,OVL-E0172;OVL-E0172;OVL-E0185;OVL-E0185,OVL-E0152;OVL-E0196;OVL-E0196;OVL-E0208,OVL-E0200;OVL-E0200;OVL-E0202;OVL-E0212,,4,4
dead-OVL-C1214,,OVL-E0191;OVL-E0191;OVL-E0206;OVL-E0206;OVL-E0221;OVL-E0221;OVL-E0233;OVL-E0233;OVL-E0244;OVL-E0244;OVL-E0258;OVL-E0258,OVL-E0166;OVL-E0262,OVL-E0263,,2,1
dead-OVL-C1315,,,OVL-E0180,OVL-E0198,,1,1
dead-OVL-C1512,,,OVL-E0211,OVL-E0229,,1,1
